,Year,Month,ET_fill,ppt,eto_hargreaves,aet,def,pr,pet,ro,delta,pr_delta,ratio_budyko_hargreaves_Fu,aet_budyko_Fu,ratio_budyko_hargreaves_Turc-pike,aet_budyko_Turc-pike,ratio_budyko_hargreaves_Zhang,aet_budyko_Zhang,ratio_budyko_hargreaves_wang-Tang,aet_budyko_wang-Tang
11,2010,4,16.906998235156067,55.199999999999996,19.791591354693686,75.45,37.9,61.0,111.6,3.0,-8.400000000000006,63.6,0.27811624126868306,17.688192944688243,0.2775317615133509,17.651020032249118,0.25868569285571075,16.452410065623205,0.2786324570539453,17.72102426863092
12,2010,5,9.896685640998054,19.8,17.075145438066915,18.4,145.70000000000002,7.0,163.0,0.0,-10.150000000000002,29.950000000000003,0.4496613567703427,13.467357635271766,0.4440641360626802,13.299720875077274,0.41068551118526675,12.30003105999874,0.45512431548612153,13.630973248809342
13,2010,10,7.246847268518067,24.700000000000003,10.20851208600847,29.0,64.7,28.0,96.1,1.0,-1.8000000000000007,26.500000000000004,0.33272254127598555,8.817147343813618,0.330918907974264,8.769351061317996,0.30704865908794204,8.136789465830466,0.33440413508439104,8.861709579736363
14,2010,11,15.01841213853227,60.7,19.68680659887052,43.7,3.9,46.0,48.900000000000006,2.0,0.0999999999999996,60.6,0.2885497605154803,17.486115487238106,0.28776606095355284,17.4386232937853,0.2679485891857642,16.23768450465731,0.2892547572689523,17.52883829049851
15,2010,12,14.146228764204514,106.2,26.481590225294898,33.0,0.0,101.0,33.0,5.0,63.45,42.75,0.4764853812012575,20.369750046353758,0.46989264582186563,20.087910608884755,0.4347420115019662,18.585220991709054,0.48297458965562556,20.64716370777799
16,2011,1,10.5301489292532,40.099999999999994,23.93201965158949,26.6,2.2,28.0,29.5,1.0,-1.1000000000000014,41.199999999999996,0.455656400739217,18.773043710455738,0.44983806212668687,18.533328159619497,0.41604682702384416,17.14112927338238,0.4613462532208129,19.00746563269749
17,2011,2,21.852125167065505,19.3,22.973982080553775,46.900000000000006,0.0,53.0,50.0,3.0,0.0999999999999943,19.200000000000006,0.6884890293308692,13.218989363152692,0.6764527860683359,12.987893492512054,0.6370167164185606,12.230720955236368,0.7006095833310886,13.451703999956905
18,2011,3,29.93475160222838,84.4,31.712166617522143,72.9,0.0,94.0,79.2,5.0,0.0999999999999943,84.30000000000001,0.32629767911679775,27.506894349546055,0.3246594672993612,27.36879309333615,0.30136978948950605,25.40547325396536,0.32781968446877646,27.63519940071786
19,2011,4,5.4074397469521385,3.1,8.464380772154286,42.8,79.80000000000001,7.0,120.5,0.0,-34.45,37.550000000000004,0.20908707532531068,7.851219678465417,0.20940175731869856,7.863035987317132,0.19693752946344328,7.395004231352297,0.2087556438040251,7.838774424841143
20,2011,5,22.766118185288704,23.700000000000003,20.26477855110186,25.5,142.65,12.0,166.25,1.0,-13.5,37.2,0.43518103413033304,16.18873446964839,0.4301122069487673,16.000174098494146,0.39776686226136854,14.796927276122911,0.4401043985942933,16.37188362770771
