point,Year,Month,observed,simulated,model
3,2020,9,3.920682208,3.80091848,Bagging
0,2018,12,9.64312643,8.37732628,Bagging
9,2012,10,13.61446888,12.03320351,Bagging
9,2013,9,10.13412501,9.64242039,Bagging
1,2017,10,2.74337293,3.36828836,Bagging
4,2018,10,1.50759297,1.87440055,Bagging
3,2020,1,3.218538485,4.08109549,Bagging
5,2016,12,5.484272443,7.41610194,Bagging
9,2013,1,7.309064098,9.17580334,Bagging
4,2019,1,4.525495613,7.20419164,Bagging
8,2017,10,2.93672387,3.53505604,Bagging
0,2018,2,2.498632739,3.06176345,Bagging
3,2018,1,5.656245483,5.68567778,Bagging
9,2015,11,16.64762587,15.45774475,Bagging
5,2019,2,24.92049038,25.32168499,Bagging
5,2018,12,13.86023451,12.6235484,Bagging
6,2019,3,23.64348657,25.03640642,Bagging
1,2018,1,5.653355531,6.51231316,Bagging
2,2018,4,9.618171061,9.88289748,Bagging
4,2016,5,2.869377965,3.17448099,Bagging
2,2017,5,16.61527819,15.80471008,Bagging
7,2019,9,10.38984487,10.11146973,Bagging
0,2018,10,4.346560852,6.50171146,Bagging
1,2018,12,6.878712176,6.13744419,Bagging
9,2009,11,14.38211176,12.93067093,Bagging
3,2017,9,8.65570481,8.04391496,Bagging
0,2017,9,3.331262836,3.46726706,Bagging
7,2017,5,6.615374114,7.73153501,Bagging
5,2016,10,19.45612758,18.43308249,Bagging
4,2016,10,5.859264947,6.23011812,Bagging
9,2016,9,6.126430906,6.54171838,Bagging
0,2018,4,8.692970257,8.99967534,Bagging
4,2017,1,12.50871221,13.47446319,Bagging
9,2010,12,14.14622876,14.15522701,Bagging
4,2015,4,7.150572033,11.77856614,DTR
8,2018,2,5.450234295,7.92267265,DTR
7,2018,12,19.96671802,8.11457481,DTR
3,2019,4,5.828626136,7.92267265,DTR
3,2017,12,0.567424986,4.94648834,DTR
9,2014,3,11.35296671,10.72378663,DTR
6,2018,4,11.11017613,23.63910874,DTR
4,2014,2,6.7912084,5.80032695,DTR
5,2019,4,14.78028042,7.92267265,DTR
4,2016,4,11.08191898,10.72378663,DTR
2,2018,2,2.398463588,7.92267265,DTR
9,2012,5,5.654710074,4.94648834,DTR
2,2019,4,21.81838127,7.92267265,DTR
0,2019,3,13.16736556,11.77856614,DTR
7,2019,10,3.099965587,4.94648834,DTR
4,2014,4,4.297692827,11.77856614,DTR
3,2018,2,2.291174492,7.92267265,DTR
6,2019,2,27.07093515,24.85030185,DTR
4,2013,4,4.280438492,4.94648834,DTR
2,2016,12,6.939217466,8.11457481,DTR
9,2015,10,3.580061972,4.94648834,DTR
7,2018,10,8.359141989,4.94648834,DTR
2,2017,12,0.399636535,4.94648834,DTR
5,2018,10,16.42467201,4.94648834,DTR
3,2017,11,1.898530626,4.94648834,DTR
9,2011,5,22.76611819,10.72378663,DTR
9,2016,2,14.13958863,4.94648834,DTR
4,2018,4,4.312692098,5.80032695,DTR
0,2019,2,33.38872766,26.03879784,DTR
1,2018,10,5.483880108,7.92267265,DTR
9,2014,12,5.660187314,8.11457481,DTR
9,2012,6,3.003905531,4.94648834,DTR
7,2018,4,11.33125405,23.63910874,DTR
6,2019,5,31.80515037,23.63910874,DTR
7,2019,12,19.90500868,24.85030185,DTR
2,2019,3,9.796348087,11.77856614,DTR
