date,ws,vpd,t_avg,sw_in,es,t_dew,vp,wd,theta_2,rh,H,LE,theta_mean,Rn,theta_1,G,t_min,t_max,G_subday_gaps,LE_subday_gaps,H_subday_gaps,ppt,Rn_subday_gaps,ASCE_ETo,rso,flux,energy,H_corr,ebr,flux_corr,ebr_5day_clim,ebc_cf,LE_corr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
1997-04-11,1.670208333333333,0.05218749999999999,7.659999999999998,,1.0772371023346556,6.773649730112772,1.0250496023346554,269.7916666666667,,53.75520833333334,102.49875,36.18229166666666,,143.96104166666666,,0.28125000000000105,2.84,13.75,,,,,,,320.2698586542769,138.68104166666666,143.67979166666666,97.37753231544808,0.9652090948767732,131.75202250208744,0.9488158839463634,0.9500362913249976,34.37449018663936,1.0525913684890071,1.2590645782706174,1.1961570424788894,4.9,3.7,0.0,0.3232856871564566,0.3335138813242162,1.2340013608996,False,
1997-04-12,1.6150000000000002,0.07624999999999997,10.351874999999998,,1.2938204811455911,9.2711774908288,1.217570481145592,138.3125,,43.91520833333334,87.65979166666669,39.15020833333332,,123.9689583333333,,2.798333333333338,4.75,16.42,,,,,,,321.8408299638662,126.81000000000004,121.17062499999996,83.27998337332197,1.0465407766940218,120.47410210292296,0.9454767130268492,0.9500362913249976,37.194118729601,1.0525913684890071,1.3658377188863493,1.2975954010025816,5.5,4.3,0.0,0.3017663723261818,0.3489574935772156,1.500517222382027,False,
1997-04-13,1.630208333333333,0.10587291666666666,11.782312499999994,,1.4153460982868749,10.406704912755616,1.3094731816202083,116.97916666666669,,26.7310625,147.55022916666667,65.22708333333334,,163.6852083333334,,3.5575416666666664,7.46,17.7,,,,,,,323.3905072713633,212.7773125,160.12766666666673,140.17807250165347,1.3287979331075408,202.14616884560002,0.9434397807479984,0.9500362913249976,61.96809634394657,1.0525913684890071,2.278692021339484,2.1648401170252254,5.8,4.4,0.0,0.492009117505733,0.3825830327001202,1.6833653438805292,False,
1997-04-14,1.4483333333333333,0.10880624999999998,13.675625000000005,,1.596659513404297,12.367635419293133,1.4878532634042971,214.97916666666663,,33.36145833333333,94.58187499999998,47.04564583333333,,139.11770833333333,,3.3774999999999973,9.35,19.05,,,,,,,324.91858991968945,141.6275208333333,135.74020833333333,90.37571885042084,1.0433719129525916,135.32919498916104,0.9386804066687416,0.9555289409352572,44.953476138740186,1.0465407766940218,1.6465039453790706,1.573282171173786,5.6,4.4,0.0,0.35756412981222396,0.36390215620579264,1.6011694873054878,False,
1997-04-15,1.368125,0.13312291666666667,15.645833333333336,,1.824982020716453,14.229299416057847,1.6918591040497866,166.22916666666666,,29.79645833333333,124.97772916666678,67.74916666666667,,162.6935625,,4.926250000000001,10.96,21.97,,,,,,,326.4247946042433,192.7268958333334,157.7673125,119.7825316315041,1.22158952180499,184.71543410435902,0.9338415455309956,0.9584310135109394,64.93290247285489,1.0433719129525916,2.3755621026201093,2.276812393672369,5.8,4.6,0.0,0.4949592160157325,0.3400071894417899,1.5640330714322332,False,
1997-04-16,1.461666666666667,0.1582958333333333,17.169187500000003,,2.0138259126506832,15.61881906451801,1.85553007931735,156.70833333333334,,24.11458333333334,134.0929166666667,62.17145833333334,,166.67208333333338,,5.7925,12.58,23.24,,,,,,,327.90885519619474,196.26437500000003,160.8795833333334,136.15082401809957,1.2199458186894443,199.27642000712657,0.9279669459629536,1.0153468759020916,63.12559598902706,0.9848850907346748,2.183171542486009,2.21667640522152,6.7000003,5.1,0.0,0.4346424323963765,0.3117479161226961,1.58991437222575,False,
1997-04-17,1.8910416666666665,0.15297291666666665,16.93625,,1.9874806109349925,15.407806458772313,1.8345076942683258,232.91666666666663,,24.985875000000004,120.84064583333334,22.42333333333333,,164.8133333333334,,2.6225,12.13,22.9,,,,,,,329.3705225408588,143.26397916666667,162.1908333333334,125.19633981356226,0.8833050316242697,148.42792087962764,0.9211168334714296,1.0360449412545876,23.231581066065374,0.9652090948767732,0.7872268840360405,0.8156024308251516,7.8,5.7000003,0.0,0.1430881382278439,0.26516480193155195,1.5114394505592867,False,
1997-04-18,2.273333333333333,0.14700624999999995,15.500208333333333,,1.8138159301481185,13.953598318111641,1.6668096801481185,223.6875,,21.846666666666675,125.1614583333334,24.81229166666668,,167.9331250000001,,1.253541666666666,9.42,21.83,,,,,,,330.80956423190065,149.97375000000005,166.6795833333334,130.20052295045858,0.8997727676105102,156.01177022752017,0.9138216249351956,1.0402605137733776,25.81124727706157,0.9612976622294938,0.8698987637303274,0.9049213348889364,8.1,5.8,0.0,0.1560209198084373,0.2339271884458453,1.3567776929859026,False,
1997-04-19,2.4743750000000007,0.04307291666666666,11.661666666666667,,1.393590721821261,10.982267525296749,1.3505178051545943,258.3541666666667,,70.78647916666667,155.64770833333333,11.78729166666667,,167.42668750000004,,-2.577916666666665,8.03,16.74,,,,,,,332.2257643621819,167.435,170.00460416666667,165.04446175781854,0.9848850907346748,177.54337503793647,0.9086060833063536,1.060371935604482,12.49891328011792,0.943065321160102,0.4117386972573502,0.4365961593740443,5.4,4.2000003,0.0,0.10395145909252536,0.1838510229926741,0.7721743517245383,False,
1997-04-20,1.6724999999999994,0.12994166666666668,18.516874999999995,,2.2128792325917814,17.281950335155898,2.0829375659251146,193.04166666666663,,45.70250000000001,106.29125000000003,22.71564583333334,,156.15645833333323,,7.431270833333335,9.8,25.86,,,,,,,333.61892325210306,129.00689583333335,148.72518749999992,114.82458505057943,0.8674179404435677,139.36390138158902,0.9028874775923036,1.0802825731241226,24.539316331009587,0.9256837283860376,0.7987003823963607,0.862822104250361,6.6,5.2000003,0.0,0.16592731816772413,0.1495342760621716,0.7775782803835751,False,
