date,sw_in,ws,LE,Rn,t_avg,wd,rh,lw_in,G,theta_1,H,sw_out,lw_out,t_min,t_max,H_subday_gaps,G_subday_gaps,Rn_subday_gaps,LE_subday_gaps,rso,flux,energy,ebr_corr,ebr_5day_clim,LE_corr,ebc_cf,H_corr,ebr,flux_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2006-09-27,224.80125,2.1149108436041657,,48.31833333333334,15.008376467291663,267.6761854266249,25.77354166666666,253.67500000000007,1.0412708333333338,4.6014583333333325,,45.34010416666666,383.975,12.18578112,18.08910446,29,0,0,29,233.6405757214491,,47.2770625,1.076603402083513,1.077480458164515,20.37466448677225,0.9288471484157816,,,,,0.7139827391791403,4.3,3.1000001,0.0,,0.2303170052088516,0.7139827391791403,True,0.7139827391791403
2006-09-28,223.19739583333333,1.9195334383333336,,47.14541666666666,16.627241457083333,248.3865864358751,22.998958333333345,256.44166666666666,-0.5295416666666624,4.301875,,45.97677083333334,385.92708333333337,14.37469817,19.05605524,32,0,0,32,231.18816626256782,,47.67495833333332,1.1282279816908058,1.0917951310001228,20.692991570607592,0.8863456821035065,,,,,0.7262636316946334,5.8,4.0,0.0,,0.18156590792365834,0.7262636316946334,True,0.7262636316946334
2006-09-29,220.6258958333333,1.7902293987083322,,41.12833333333333,17.080603306249994,276.86718678506253,18.760833333333334,249.49166666666665,-2.754395833333333,4.022708333333333,,46.566125,381.82291666666674,14.70274383,19.27164437,34,0,0,34,228.7383913495124,,43.88272916666666,1.1282279816908058,1.1061098038357309,14.263190243330364,0.8863456821035065,,,,,0.5008141225894684,4.5,3.2,0.0,,0.1565044133092089,0.5008141225894684,True,0.5008141225894684
2006-09-30,204.58514583333337,2.797646969666667,,30.349583333333324,17.441288429375,217.94021217916668,13.501666666666667,254.65625,-0.7009375000000005,3.758958333333332,,43.05149999999998,384.89583333333326,14.54272186,19.67152321,22,0,0,22,226.2921293922044,,31.05052083333333,1.269186703973041,1.1212659146166009,16.09145936392472,0.7879061424687297,,,,,0.5652045503874656,6.6,4.3,0.0,,0.13144291869475944,0.5652045503874656,True,0.5652045503874656
2006-10-01,173.19029166666667,3.2376149715625004,11.918542661906251,25.397916666666664,12.838819423104162,213.38632931152077,19.376874999999995,260.2729166666666,-4.460193749999998,3.4845833333333327,30.185735178781247,36.54445833333333,370.5625,9.817088608999999,15.03571304,13,0,0,13,223.8502608588869,42.104277840687494,29.858110416666666,1.4101454262552755,1.1259725260651698,8.451995404159588,0.7091467173393308,21.40611501250708,1.4101454262552755,29.858110416666666,0.4167917092942453,0.2955664724602627,5.3,3.6000001000000004,0.0,0.08210179562502308,0.10638142408031002,0.3829731373272585,False,
2006-10-02,67.41131250000001,3.0718570123958333,,-1.0195833333333355,9.476079044729168,222.2784861630209,47.07833333333333,295.02499999999986,-8.890500000000003,3.1964583333333336,,14.013083333333334,348.92291666666665,7.664146271,12.47978827,23,0,0,23,221.41366758607776,,7.870916666666665,1.1282279816908058,1.1325375669191158,8.302287090255186,0.8863456821035065,,,,,0.2894011931386352,3.8,2.7,1.5,,0.10718562708838338,0.2894011931386352,True,0.2894011931386352
2006-10-03,193.474,5.410142576041667,,47.27583333333331,9.759092454041669,115.8612546766667,57.34812499999999,256.62500000000006,-0.3357520833333332,2.998125,,39.5166875,362.3916666666667,7.0340566839999985,12.34377007,13,0,0,13,218.98323208173446,,47.61158541666664,1.4101454262552755,1.1356797971674641,9.837095037947496,0.7091467173393308,,,,,0.3429940066828268,4.6,3.2,0.7,,0.10718562708838338,0.3429940066828268,True,0.3429940066828268
2006-10-04,199.40789583333333,4.949461412791668,16.16744507585417,47.29604166666668,9.975419916229166,111.95731505208336,67.36416666666666,265.9624999999999,0.3637916666666669,2.8952083333333327,36.78283261785417,41.66589583333333,375.4500000000001,7.750303735,14.06646775,4,0,0,4,216.55983682308204,52.950277693708344,46.93225000000001,1.269186703973041,1.1463509734396304,12.73842928329132,0.7879061424687297,28.98141975700645,1.1282279816908058,41.719849040297774,0.5638331200580332,0.4442475786210331,4.9,3.4,0.0,0.13066105253559798,0.10718562708838338,0.3644311321005035,False,
2006-10-05,180.7992291666667,4.173500235854167,13.83269849672917,25.685416666666665,11.864441149020832,175.271656222375,52.071875,258.475,-1.3675625,2.7462499999999985,26.315060759260408,38.00802083333333,374.3729166666667,7.774173362999999,16.64910648,3,0,0,3,214.14436355056841,40.14775925598958,27.05297916666667,1.269186703973041,1.1527506732790018,10.89886811249088,0.7879061424687297,20.73379801165911,1.4840420719895295,31.632666124149985,0.4832797910075534,0.3807791158658553,5.1,3.5,0.0,0.10879403310453008,0.11972754282006355,0.4190463998702224,False,
2006-10-06,131.997625,3.672621338229167,,22.03479166666667,8.495666854937499,142.5795176859791,63.46166666666667,274.67291666666665,-5.152608333333334,2.547916666666667,,26.99002083333333,356.96666666666647,5.172594554,10.11531107,14,0,0,14,211.73769255943498,,27.1874,1.269186703973041,1.1384054278809652,10.589464001013166,0.7879061424687297,,,,,0.36878322389404977,4.0,2.8,0.0,,0.13170829424787492,0.36878322389404977,True,0.36878322389404977
2006-10-07,172.12422916666665,3.8065755196875,,36.684375,5.206887400479167,318.6659465965417,67.88020833333333,250.40416666666675,-10.672583333333336,2.3960416666666675,,36.604604166666654,348.4604166666666,2.806973433,7.905898677000001,11,0,0,11,209.3407019904031,,47.35695833333333,1.1282279816908058,1.136874611781313,8.725712663944504,0.8863456821035065,,,,,0.3029290767701123,3.2,2.3,0.0,,0.13170829424787492,0.3029290767701123,True,0.3029290767701123
2006-10-08,195.70760416666667,1.873345982541667,,36.49604166666668,6.301200080916666,198.23117545020835,50.75770833333333,232.20208333333335,-6.15725625,2.190833333333333,,40.94964583333333,349.71875,2.60740618,9.680433512,23,0,0,23,206.95426712098453,,42.653297916666666,1.1936884206982032,1.1225293663832767,8.37081635692454,0.8377395496683192,,,,,0.2909102132288295,3.0,2.2,0.0,,0.1322319151040134,0.2909102132288295,True,0.2909102132288295
2006-10-09,151.36345833333334,4.148576283864581,13.705868399908091,68.42977083333334,1.6046566999999998,,89.08020833333335,283.8416666666667,-9.086395833333333,2.169583333333334,52.51508800082291,30.598812500000005,335.81041666666664,-0.591520003,3.465605526,11,0,0,12,204.5792596589352,66.220956400731,77.51616666666666,1.1282279816908058,1.1286824305535008,12.148137275737431,0.8863456821035065,46.546521494815046,0.8542857477136726,58.69465877055247,0.4742037566900006,0.4203084521794439,4.0,2.7,0.0,0.1556697971034977,0.14619327051964776,0.394721830403049,False,
2006-10-10,203.7690416666666,2.003845731802083,,99.13485416666668,3.469184114541666,,65.37583333333332,271.84583333333336,-10.371437500000004,2.044375,,42.73916666666667,332.99583333333345,-0.282390973,6.503652392999999,31,0,0,32,202.2165470393687,,109.50629166666668,1.1282279816908058,1.1348354947237251,9.241549397491363,0.8863456821035065,,,,,0.32030925187056425,2.7,2.0,0.3,,0.16015462593528212,0.32030925187056425,True,0.32030925187056425
2006-10-11,197.51475,2.1690831480625,,37.803125,8.065299965604169,254.6174530688958,29.146041666666665,228.27083333333331,-5.493308333333332,2.0760416666666663,,41.45735416666667,345.6125,4.501451128,11.25083131,24,0,0,24,199.86699172704957,,43.29643333333333,1.1282279816908058,1.1430569531044763,10.003438025036994,0.8863456821035065,,,,,0.34823196270183304,2.7,2.0,0.0,,0.1741159813509165,0.34823196270183304,True,0.34823196270183304
2006-10-12,198.71841666666663,2.561169680270833,,30.001875,10.419052781187503,222.58575871381248,24.68499999999999,229.5625,-3.849187499999997,2.200416666666666,,41.82281250000001,355.3354166666666,7.203571776,13.78081578,30,0,0,30,197.53145052538082,,33.8510625,0.8542857477136726,1.1576856261344208,11.320430500440766,1.1705685160688948,,,,,0.3949624260174905,2.8,2.1000001,0.0,,0.18807733676655086,0.3949624260174905,True,0.3949624260174905
2006-10-13,193.92812500000005,1.8049407056666664,,34.18312500000001,12.268433956791663,120.47369904895832,20.599354166666668,238.3895833333333,-4.768187499999999,2.240625,,40.83249999999999,356.8729166666667,9.558839244,13.83212463,33,0,0,33,195.21077389358746,,38.95131250000001,0.8542857477136726,1.1670511762409599,25.17102809799601,1.1705685160688948,,,,,0.8797519077757934,3.9,2.6000001,0.0,,0.3383661053612242,0.8797519077757934,True,0.8797519077757934
