date,lw_in,theta_1,theta_mean,es,sw_out,vpd,H,vp,Rn,rh,theta_2,ws,LE,wd,t_avg,sw_in,t_dew,lw_out,G,t_min,t_max,H_subday_gaps,ppt,LE_subday_gaps,G_subday_gaps,Rn_subday_gaps,rso,flux,energy,flux_corr,ebr,ebr_corr,LE_corr,ebc_cf,ebr_5day_clim,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2018-06-22,-55.115,,37.558854166666656,3.2704947402929068,55.18977083333332,0.4895941250000001,1.897834375,2.7809006152929054,199.36454166666667,86.91770833333332,36.28437499999999,2.222465833333333,194.65421791666677,296.306,25.366999999999997,306.54439583333334,22.383463183562736,-3.919833333333335,8.439333333333332,20.937,29.423,3.0,0.0,3.0,0.0,0.0,362.44101185340014,196.55205229166677,190.92520833333333,195.82099070972396,1.0294714564276373,1.0037333157149966,193.9302151966604,0.996280570091133,,1.8907755130635489,6.889543966782278,6.863918790893774,7.3,6.0,0.0,1.1439864651489624,1.0161956485005026,6.097173891003015,False,,5.081264004211867
2018-06-23,-44.94958333333334,,37.29375,3.4650904585758777,44.1204375,0.3231834145833333,2.0080745833333338,3.1419070439925436,163.91720833333338,92.61395833333331,35.73541666666667,1.7616589583333333,145.55186145833332,257.9168291666667,26.200083333333332,249.9618333333333,24.27242644244064,-3.731875,9.890592708333333,20.818,31.354,7.0,0.254,7.0,0.0,0.0,362.36757361769736,147.55993604166662,154.02661562500003,147.01109720220276,0.9580158302051026,1.0037333157149966,145.0104915115339,0.996280570091133,,2.000605690668848,5.1557813672005395,5.136604799779795,7.7000003,6.3,1.7,0.8153340705185971,0.9938484515206328,6.261245434141535,False,,4.3232752854167495
2018-06-24,-43.483125,,36.7453125,3.176060431612873,42.48654166666668,0.05332525000000001,-14.229449374999994,3.122735181612873,142.35395833333334,98.57608333333332,35.44375000000001,2.7401433333333327,147.30357802083338,253.2989375,24.904895833333335,224.3440625,24.169895598708084,-4.6543125000000005,6.2856708333333335,20.923,28.307,3.0,1.016,3.0,0.0,0.0,362.2707521062992,133.07412864583335,136.0682875,132.57916875165162,0.9779951750023558,1.0037333157149966,146.75569268705954,0.996280570091133,,-14.17652393540791,5.211297818897472,5.191914761925852,6.3,5.3,2.2,0.9796065236001388,0.9902831397562788,5.248500829589798,False,,3.3498610278904764
2018-06-25,,,37.35989583333333,3.474194034225294,,0.1444791666666667,-8.395296145833337,3.32971486755863,,96.80437499999998,35.08125,2.6193797916666672,175.76007416666667,264.86470833333334,26.303520833333334,,25.188825130799817,,,21.752,32.009,2.0,0.0,2.0,30.0,30.0,362.15056053222486,167.36477802083334,,166.74227645977174,,1.0037333157149966,175.10634689002654,0.996280570091133,,-8.364070430254728,6.226449085967322,6.203290245010938,8.1,6.5,0.0,0.954352345386298,1.001010785460378,6.506570105492457,False,,
2018-06-26,,,37.90729166666668,4.038364066972161,,0.6585343541666666,-30.69698854166666,3.3798297128054937,,86.08062500000003,37.24166666666667,3.555224791666667,238.7547414583333,256.8672708333334,28.82266666666666,,25.455043574247192,,,19.927,33.076,0.0,11.43,0.0,48.0,48.0,362.00700944952865,208.05775291666663,,202.1015265820449,,1.0294714564276373,231.91972926265942,0.9713722452005557,,-29.818202680614476,8.478765425220361,8.236037407625144,9.2,7.2000003,8.6,1.1438940389381158,0.9724156495226612,7.001392954773509,False,,
2018-06-27,,,42.7484375,3.8947795762811834,,0.4593412083333333,-18.016766875,3.4354383679478517,,90.25325000000002,42.63229166666667,3.120789375,211.0155895833333,259.09491666666673,28.084395833333332,,25.677425671558066,,,22.128,33.533,0.0,0.0,0.0,48.0,48.0,361.8401067740109,192.9988227083333,,192.28097711477585,,1.0037333157149966,210.23073188819987,0.996280570091133,,-17.949754773424047,7.488315313757227,7.460463049812215,10.0,7.7000003,0.0,0.9688912691701556,1.0116860442736773,7.789982830353013,False,,
2018-06-28,,,43.27083333333334,4.371438417537092,,0.6415393791666667,-20.34665083333334,3.7298990383704282,,87.77422916666669,42.658333333333346,2.6921929166666665,,266.3631666666666,30.183958333333337,,27.142619592071572,,,22.409,35.53800000000001,2.0,10.922,3.0,48.0,48.0,361.6498578133872,,,,,1.0037333157149966,207.00927975121448,0.996280570091133,,-20.270972891678568,,7.361130660892009,8.900001,7.2000003,14.3,,1.0223792178315234,7.361130660892009,True,7.361130660892009,
2018-06-29,,,43.29427083333332,3.6285197897166857,,0.15713822916666667,4.479828333333333,3.471381560550018,,96.116625,42.63854166666665,1.7689618749999996,,189.17556666666653,26.9699375,,25.738437423950877,,,21.282,32.044000000000004,0.0,1.016,1.0,48.0,48.0,361.4362653070369,,,,,0.9680055026037292,162.18728316647204,1.033051978847447,,4.627895524646861,,5.749330575083079,6.6,5.8,0.0,,0.9912638596576728,5.749330575083079,True,5.749330575083079,
2018-06-30,,,43.25729166666667,4.18281007753416,,0.6889558770833335,,3.493854200450828,,86.99708333333332,42.662500000000016,1.4576516666666663,,230.84354166666668,29.27816666666667,,26.05327443472207,,,23.891,35.973,11.0,0.0,11.0,48.0,48.0,361.19932947548114,,,,,0.9108018897247194,177.9214138637664,1.0979336025556994,,,,6.3212191861118,7.9,6.6,0.0,,0.9577604965834786,6.3212191861118,True,6.3212191861118,
2018-07-01,,,43.303125,3.69861457510416,,0.2431858125,,3.4554287626041598,,94.4953958333333,42.59270833333331,1.788778958333334,,242.87312499999996,27.4649375,,25.881979809133806,,,24.102,31.379,10.0,0.0,10.0,48.0,48.0,360.93904807975304,,,,,0.9030065675036492,221.07881696385638,1.1074116578847129,,,,7.840719318017094,9.5,7.7000003,0.0,,1.0182751982709382,7.840719318017094,True,7.840719318017094,
