date,rh,H,sw_out,sw_in,g_2,Rn,theta_1,g_1,wd,lw_in,t_avg,G,lw_out,LE,ws,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2012-07-19,83.80610562499999,,27.65577989583333,149.6363279166667,-0.1651437291666685,104.41382418750004,48.991426875,-4.867781458333333,,432.6151604166667,,-2.516462593749999,449.46737708333336,,,19.6689,26.5847,0,0,4,0.762,17,351.1526039210433,,106.93028678125003,1.0472320281351415,0.8821902654942047,,125.39092886504402,0.9548982203884177,,,,4.4151375648753355,7.5,5.7000003,2.7,,0.7745854969297697,4.4151375648753355,True,4.4151375648753355
2012-07-20,74.75719083333333,-5.951873333333333,33.03416670833334,201.2929925625,-19.114138416666666,145.7133017260417,55.88984895833333,-20.406805068750003,,402.9397895833334,20.357656250000005,-19.760471742708333,424.19816041666667,,3.372213645833334,18.3409,23.6968,0,0,4,15.239999999999998,18,350.1949876170549,,165.47377346875004,1.2763209486638785,0.8755411354473072,,104.4718237372184,0.7835019875266123,,-7.596500619127243,,3.6798217075352326,6.1,4.7000003,14.5,,0.7829407388623427,3.6798217075352326,True,3.6798217075352326
2012-07-21,65.40247020833331,,57.36164704166666,319.51316456249987,12.167662687500005,218.482327125,53.53975708333334,-3.4118709450625,,400.2460958333333,,4.377895871218752,442.5521020833333,,,13.8182,27.4759,0,0,8,0.0,16,349.2074569525306,,214.10443125378123,1.2763209486638785,0.8688920054004096,,132.590635247155,0.7835019875266123,,,,4.668646286690002,7.4,5.9,0.0,,0.7912959807949156,4.668646286690002,True,4.668646286690002
2012-07-22,62.82339770833334,,59.03993787500002,298.724085625,24.043454479166666,203.42095985416654,50.07390020833334,3.4082633874999986,,428.84068958333336,,13.725858933333328,463.94274999999993,,,18.6923,30.8077,0,0,4,0.0,7,348.19013133077067,,189.69510092083326,1.2763209486638785,0.8622428753535117,,165.78504275834578,0.7835019875266123,,,,5.837453925910666,9.8,7.3,0.0,,0.7996512227274886,5.837453925910666,True,5.837453925910666
2012-07-23,64.12110500000001,14.314307916666673,55.81631079166666,279.2383406041667,28.51090247708333,192.98582899999988,46.42802729166665,2.0288718208333343,290.6184374999999,443.1351999999998,27.41999375000001,15.269887148958334,472.6320999999999,,2.764239791666668,23.2068,32.398,0,0,0,0.0,8,347.14313496865714,,177.71594185104158,1.2763209486638785,0.8624671252669641,,196.1688287945061,0.7835019875266123,,18.269651059666874,,6.95696563772915,12.400001,8.7,0.90000004,,0.7996512227274886,6.95696563772915,True,6.95696563772915
2012-07-24,66.71039145833335,9.087645416666668,51.65790337499999,259.2645626666667,20.643444502083334,172.81551341666668,42.71514895833332,-4.465072539583335,185.9990243750001,429.5554145833333,25.1886375,8.089185981249999,463.0440708333333,148.20923150253248,2.0445602083333334,19.8043,28.8547,0,0,0,0.0,3,346.0665971158674,157.29687691919915,164.72632743541666,1.2763209486638785,0.8513268722932955,200.7612991713776,189.16254695205663,0.7835019875266123,0.9548982203884177,11.598752219320948,5.244776660062198,6.694018322300752,8.5,6.5,0.90000004,1.0298489726616542,0.7996512227274886,5.197732947728675,False,
2012-07-25,63.355534375,18.027199375,61.57039683333334,304.52868520833334,26.52712789583333,198.9362993750001,38.550709375,-1.0728636229166693,,413.45174166666663,23.76824375,12.727132136458335,455.7196104166665,95.9525034630528,2.056017708333333,13.7579,30.0147,0,0,7,0.0,11,344.960652285323,113.9797028380528,186.2091672385417,1.2763209486638785,0.8531163342123335,145.47468245469054,122.4661902466377,0.7835019875266123,0.6121057546648069,23.008492208052875,3.3908762508050128,4.32784639322927,10.5,7.6,0.0,0.5694534727933249,0.7996512227274886,6.077349292728911,False,
2012-07-26,70.84964479166669,,32.67971929166667,168.8551172916667,9.722237291666673,112.42505583333332,36.18991562499999,0.9585943235416656,,439.0987020833332,,5.340415807604167,461.7110624999999,,,21.9963,29.9216,0,0,5,1.016,7,343.8254404944934,,107.08464002572916,1.2763209486638785,0.8549057961313712,,188.4953225882562,0.7835019875266123,,,,6.637105148638157,12.1,8.3,2.3,,0.7996512227274886,6.637105148638157,True,6.637105148638157
2012-07-27,80.40484708333334,,43.71215816666666,227.60777947916665,2.512598666666665,155.55340144583332,37.55384166666667,-2.1325712083333315,,420.60173958333337,,0.19001372916666712,447.94599166666666,,,18.537,29.7588,0,0,5,10.922,25,342.6611075170996,,155.3633877166666,1.2763209486638785,0.8725002963136451,,102.19625923459671,0.7835019875266123,,,,3.5984305022736987,5.7000003,4.5,9.2,,0.7996512227274886,3.5984305022736987,True,3.5984305022736987
2012-07-28,79.60880979166666,18.038831875,41.25815775,248.7762284166666,-0.6080283541666672,183.13081212500006,42.86999,-8.707617374999998,,414.27646250000015,21.951522916666665,-4.657822864583335,437.73742083333326,,1.8299803125000005,19.4185,25.3618,0,0,5,0.0,13,341.4678051446866,,187.78863498958344,1.2763209486638785,0.8757412935672225,,140.4597496320308,0.7835019875266123,,23.023339011488204,,4.955029747470946,7.9,6.1,0.0,,0.8122999586017945,4.955029747470946,True,4.955029747470946
2012-07-29,69.43401895833333,,57.093691499999984,303.94222310416666,10.56513845833334,205.79813783333333,38.82075354166668,-4.482037889583334,,404.54184583333335,,3.0415502843750017,444.13483958333336,,,17.1325,26.0795,0,0,15,0.0,21,340.2456914574658,,202.75658754895832,1.2763209486638785,0.8789822908207996,,147.60102346584338,0.7835019875266123,,,,5.197176775199433,8.1,6.3,0.0,,0.8249486944761005,5.197176775199433,True,5.197176775199433
2012-07-30,66.05830041666668,,52.15176837500001,275.5111954791667,24.82211921666665,186.73044377083332,35.50626208333333,1.7164965729166677,,417.23462708333335,,13.269307894791671,452.52069791666685,,,16.9781,29.1856,0,0,24,0.0,23,338.9949311037554,,173.46113587604165,1.963170399534348,0.8822232880743769,,161.75813418967007,0.509380133399115,,,,5.695662526382764,9.0,6.8,0.0,,0.8375974303504065,5.695662526382764,True,5.695662526382764
2012-07-31,65.95870500000001,,52.12005464583333,284.1672780625,28.979182789583334,196.08807291666676,33.39537083333335,-0.8346184166666668,,421.8319895833334,,14.072282186458333,456.31930624999984,,,19.4506,29.1271,0,0,8,0.0,12,337.7156955872863,,182.0157907302084,1.1306139772077928,0.8844751791143057,,164.2008779717633,0.8844751791143057,,,,5.7816739303280436,9.5,6.8,1.5,,0.8502461662247124,5.7816739303280436,True,5.7816739303280436
2012-08-01,72.72798562500002,,56.98194060416667,289.5603741666667,16.591225437500004,189.47287616666677,31.710065208333344,-4.0280806562499984,,407.9877729166665,,6.2815723906250005,449.4110791666667,,,17.7071,27.4395,0,0,16,0.0,18,336.40816356157563,,183.1913037760417,1.1365196975676912,0.8798791627986191,,164.19298760940072,0.8798791627986191,,,,5.781396102931894,8.6,6.7000003,0.0,,0.8628949020990184,5.781396102931894,True,5.781396102931894
2012-08-02,65.19628208333332,,51.977025875,275.9774931250001,25.2328344375,181.58923368750004,29.91153208333333,-0.25761121041666585,,410.73458749999986,,12.487611613541672,451.5736104166667,,,16.355,30.324,0,0,17,0.0,19,335.0725211305068,,169.10162207395837,1.1424874385142745,0.8752831464829327,,166.59980879658414,0.8752831464829327,,,,5.866142637084365,8.7,6.7000003,0.0,,0.8755436379733244,5.866142637084365,True,5.866142637084365
2012-08-03,67.82750791666669,24.18628872395833,55.42123824999999,290.108286875,24.547168875,195.07773708333332,28.48030875000001,2.858520952083334,,424.5670958333332,25.034316406250007,13.70284491354166,462.76038541666657,,1.5654146223958334,17.9685,31.3057,0,0,9,0.0,15,333.7089621542092,,181.3748921697916,1.1496207342192453,0.8698520914196465,,190.78037308962672,0.8698520914196465,,27.80505900087563,,6.7502620412419905,10.400001,7.6,0.0,,0.8881923738476303,6.7502620412419905,True,6.7502620412419905
2012-08-04,73.64922395833334,9.160923151041667,45.9690541875,235.5036455,15.06268539583334,162.48982354375005,27.5510875,2.2773165250000003,,433.21368333333334,25.196483593750006,8.670000960416667,458.87888541666666,53.390601758033476,2.165308710937499,20.4793,32.1585,0,0,11,3.048,20,332.3176885592684,62.551524909075134,153.81982258333338,1.1374282044064958,0.8791763701004714,71.14786866021754,60.72797628982231,0.8791763701004714,0.4066545121334232,10.419892370395221,1.8893823532774552,2.149036777525695,9.3,6.6,5.8,0.32561163295843865,0.9008411097219364,5.94555132416478,False,
2012-08-05,73.95227083333333,-8.370612395833334,37.680415645833335,223.33833279166663,-9.013379666666664,158.9061889497916,39.000037916666656,-11.21109230625,,417.4156937500002,23.490303125,-10.112235986458336,442.8096166666665,,2.168304583333334,18.0722,27.5981,0,0,2,19.812,14,330.8989106522593,,169.01842493624994,1.1433810621204423,0.8745990581175651,,116.3528856103447,0.8745990581175651,,-9.570799691746457,,4.1107043051830905,5.6,4.5,13.7,,0.9134898455962422,4.1107043051830905,True,4.1107043051830905
2012-08-06,71.89677354166669,,56.84135910416668,312.4913068749999,-3.2673536083333365,208.14816804166668,38.86999062500001,-10.950527091666672,,382.6961458333333,,-7.1089403499999975,427.99604375,,,13.2065,24.4405,0,0,14,0.0,15,329.45284743554964,,215.25710839166672,1.1487705402036699,0.8704958605769139,,144.66402553731956,0.8704958605769139,,,,5.093762198088014,6.9,5.5,0.0,,0.9261385814705484,5.093762198088014,True,5.093762198088014
2012-08-07,66.13218875,4.015684791666667,57.09009847916665,305.5481452083334,20.734722206250005,204.53817560416653,34.315400624999995,-3.47078775,,398.46695624999984,22.180966666666666,8.631967228125003,440.4710229166667,,1.3951428124999996,14.7768,28.3437,0,0,5,0.0,10,327.97972692427885,,195.90620837604152,1.6143126989877994,0.8520722492808731,,170.2772949195211,0.6194586715615981,,6.482570954319677,,6.008238831007067,8.5,6.4,0.0,,0.9387873173448542,6.008238831007067,True,6.008238831007067
2012-08-08,74.55900020833333,,50.00384525000001,271.46624991666664,22.800486562500016,187.53930660416657,31.490217291666678,-0.32231857291666605,,415.78084375,,11.239083994791665,448.3294854166666,,,17.2731,27.2624,0,0,16,0.0,9,326.47978646339806,,176.3002226093749,1.6143126989877994,0.8471922769170939,,172.9344265680082,0.6194586715615981,,,,6.089190740602624,8.400001,6.4,0.0,,0.95143605321916,6.089190740602624,True,6.089190740602624
2012-08-09,83.78393208333334,-4.563685833333333,13.431145916666665,71.53730922916667,-7.801951104166666,48.81216842499999,30.88015208333333,-11.985133479166667,,414.78176875,19.957980208333336,-9.893542291666668,423.3019354166668,,1.94283625,17.1224,22.1462,0,0,4,17.272000000000002,33,324.95327304360865,,58.70571071666666,1.6143126989877994,0.8423123045533145,,117.73975420662308,0.6194586715615981,,-7.367215994940717,,4.145564593101905,5.4,4.3,23.2,,0.9640847890934662,4.145564593101905,True,4.145564593101905
2012-08-10,88.72210187499998,6.700214895833335,19.250448541666668,111.44632708333336,-10.445897458333333,82.85372202083333,54.44902541666666,-12.870271216666668,,399.47971875,17.156938541666666,-11.6580843375,408.2865541666667,,2.193519479166667,15.2451,19.1148,0,0,3,13.716,35,323.4004436150372,,94.51180635833332,1.2015435061670905,0.8374323321895353,,97.35369427482138,0.8322628309897727,,8.050599698012551,,3.4185673373872025,4.4,3.5,11.400001,,0.976733524967772,3.4185673373872025,True,3.4185673373872025
2012-08-11,86.771154375,-2.375672291666667,14.346881791666668,84.39973304166666,-9.650047404166664,59.66333416666666,57.09240791666668,-12.474437449999998,,394.5761979166668,16.824284375,-11.062242427083332,404.30065,,2.2370015625,14.3154,19.4556,0,0,4,0.0,13,321.82156539745034,,70.72557659374998,1.3381567258317588,0.8339362108089219,,90.19054289737907,0.7472966213119987,,-3.1790218554658978,,3.1660232346946504,4.5,3.2,0.0,,0.989382260842078,3.1660232346946504,True,3.1660232346946504
2012-08-12,74.84061416666665,7.5092484895833325,38.15191547916667,238.759331875,8.112634700000003,172.39161545833323,55.78709166666669,1.8843978083333333,,396.18357708333343,19.577508333333334,4.998516254166665,423.4256708333335,131.8058061422282,1.0686225520833332,15.3024,23.9978,0,0,2,0.0,7,320.216916185807,139.31505463181153,167.39309920416656,1.275533977366497,0.8346558625979525,177.7010857415454,168.1227841485938,0.7839853878801628,0.8322628309897727,9.578301592951588,4.639125801659413,5.9173625852941685,6.7000003,5.1,0.0,1.160267173587092,1.002030996716384,5.1103580832535584,False,
2012-08-13,79.49195375000002,,21.3608461875,128.95324077083336,0.9518237083333336,89.6479125,54.493435833333336,0.8093234687499993,,404.23870833333336,,0.8805735885416662,421.46269583333327,,,16.1947,23.0271,0,0,16,0.0,21,318.58678464993875,,88.76733891145834,1.3060951464159851,0.8353755143869832,,83.56970392691564,0.7656410045960808,,,,2.9425712245130007,3.5,2.9,0.8,,1.01467973259069,2.9425712245130007,True,2.9425712245130007
