date,Rn,ws,g_1,t_avg,theta_1,sw_out,rh,lw_out,sw_in,LE,wd,G,H,lw_in,g_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,ppt,LE_subday_gaps,H_subday_gaps,rso,flux,energy,ebr_5day_clim,ebr_corr,ebc_cf,H_corr,ebr,flux_corr,LE_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2018-10-07,,,,,,,,,,,,,,,,,,,,,,,242.58620614168063,,,,,,,,,181.6155812698689,,6.394862710477987,9.3,6.1,0.0,,1.0483381656484108,6.394862710477987,True,6.394862710477987
2018-10-08,,,,,,,,,,,,,,,,,,,,,,,240.7348166568919,,,,,,,,,137.16041177164635,,4.829552599283655,6.7000003,4.6,0.0,,1.0499027607413445,4.829552599283655,True,4.829552599283655
2018-10-09,,,,,,,,,,,,,,,,,,,,,,,238.88608235278164,,,,,,,,,143.33720394009933,,5.047043508556016,7.0,4.8,0.0,,1.0514673558342778,5.047043508556016,True,5.047043508556016
2018-10-10,122.93540606249998,2.9630096104166666,-5.172464895833337,23.38091645833333,0.34648074791666666,34.68356820833333,59.13807479166669,430.777175,230.04120906249992,,140.50145866666665,-4.246256041666666,12.1958269375,358.35495,-3.320047187499997,17.94922,29.1347,,,,,,237.04076491508945,,127.18166210416665,0.8301305359645593,0.8301305359645593,1.2046298222701362,14.691456836157966,,,143.08350999260443,,5.05455356530052,6.8,4.8,0.0,,1.0530319509272112,5.05455356530052,True,5.05455356530052
2018-10-11,61.26402681249999,1.506440125,-8.381830502083332,16.279011249999996,0.198382025,46.35991279643749,35.74660270833333,380.2686541666668,189.8355527291666,,204.97407139583333,-14.003275424999998,4.055515454791666,298.0570333333333,-19.624720347916664,7.722403999999999,26.11659,,,,,,235.19962919320443,,75.26730223749998,0.8470403864640785,0.8470403864640785,1.180581252063367,4.7878655133802805,,,120.23207461482987,,4.218386184080579,5.8,4.0,0.0,,1.0545965460201447,4.218386184080579,True,4.218386184080579
2018-10-12,,,,,,,,,,,,,,,,11.16132,17.81275,,,,,,233.36344255845802,,,0.8526770032972516,0.8526770032972516,1.1727770259231327,,,,89.98566266807116,,3.1684834233392345,4.3,3.0,3.8,,1.0561611411130782,3.1684834233392345,True,3.1684834233392345
2018-10-13,88.8851063958333,2.6423207750000004,-5.855338195833332,22.82518729166668,0.3139558479166667,27.88754035166666,65.66868562500002,439.46609791666657,166.66993039041668,,195.7962437333333,-4.935934858333333,21.57032635,389.56881875,-4.016531520833333,19.52046,26.30538,,,,,,231.53297426072086,,93.82104125416664,0.8554953117138381,0.8554953117138381,1.1689134777333514,25.213845189621853,,,92.86979508984244,,3.2789499335475165,4.1,3.1000001,0.0,,1.0577257362060115,3.2789499335475165,True,3.2789499335475165
2018-10-14,97.90925739583332,1.11654425,1.0734228124999985,22.47595895833333,0.30547015625,37.257533333333335,62.74640791666669,443.1673104166666,214.08892139583332,,185.34259712500008,2.53755089583333,25.938759385625005,364.24517291666666,4.001678979166668,17.23469,27.62888,,,,,,229.70899478453916,,95.3717065,0.8571862967637901,0.8571862967637901,1.1666075435122878,30.26035236862029,,,93.03850651670264,,3.2838001785594275,3.9,3.1000001,0.0,,1.0592903312989452,3.2838001785594275,True,3.2838001785594275
2018-10-15,80.97485187499997,5.617042645833332,-26.722027312499996,20.50812645833333,0.2820435187500001,45.67385199166667,19.744671250000003,415.8287833333334,232.41001795833333,,210.08619465000004,-24.628700385416675,18.425063458333334,310.06746458333345,-22.535373458333336,16.7443,24.3865,,,,,,227.89227520603282,,105.60355226041663,0.8583136201304246,0.8583136201304246,1.1650753017854307,21.466586369133424,,,183.69414803140305,,6.47121494981945,9.5,6.1,0.0,,1.0608549263918787,6.47121494981945,True,6.47121494981945
2018-10-16,81.31841229166669,3.882204708333332,-9.486595729166662,20.511773749999996,0.26559653125000005,43.57249220833332,22.32520041666667,419.6293999999999,227.6968713125,,101.85536191458333,-7.728204260416665,18.5313664375,316.8234333333333,-5.9698127916666675,16.92657,25.19792,,,,,,226.0835865517772,,89.04661655208334,0.8591188511065921,0.8591188511065921,1.1639833053505289,21.570201158583107,,,162.85375626568097,,5.737065517338206,8.400001,5.4,0.0,,1.0624195214848122,5.737065517338206,True,5.737065517338206
