date,rh,H,sw_out,sw_in,theta_2,Rn,theta_1,wd,lw_in,t_avg,theta_mean,G,lw_out,LE,ws,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2015-02-13,,,,,,,,,,,,,,,,,,,,,,,190.54518101436955,,,1.192795327960259,0.8383667981916488,,,0.8383667981916488,,,,,4.5,2.9,0.0,,,,False,
2015-02-14,,,,,,,,,,,,,,,,,,,,,,,192.38568643986463,,,1.1723316328008584,0.8530009529904649,,,0.8530009529904649,,,,,4.8,3.1000001,0.0,,,,False,
2015-02-15,,,,,,,,,,,,,,,,,,,,,,,194.24597562007816,,,1.1664086714842972,0.8573324465493418,,,0.8573324465493418,,,,,1.9,1.3000001,1.1,,,,False,
2015-02-16,,,,,,,,,,,,,,,,,,,,,,,196.12530750872253,,,1.1605452583688336,0.8616639401082189,,,0.8616639401082189,,,,,2.2,1.5,0.0,,,,False,
2015-02-17,,,,,,,,,,,,,,,,,,,,,,,198.02293088449852,,,1.1525207029865507,0.8676633724745068,,,0.8676633724745068,,,,,2.8,1.9,0.0,,,,False,
2015-02-18,,,,,,,,,,,,,,,,,,,,,,,199.93808486944664,,,1.1446063566620843,0.8736628048407948,,,0.8736628048407948,,,,,2.1000001,1.4,0.0,,,,False,
2015-02-19,,,,,,,,,,,,,,,,,,,,,,,201.86999946717881,,,1.1127615609414767,0.8986651184768889,,,0.8986651184768889,,,,,3.4,2.2,0.0,,,,False,
2015-02-20,,,,,,,,,,,,,,,,,,,,,,,203.81789612005704,,,1.1053988807727435,0.9046508164554472,,,0.9046508164554472,,,,,2.3,1.7,0.0,,,,False,
2015-02-21,,,,,,,,,,,,,,,,,,,,,,,205.78098828433048,,,1.1271449221724834,0.8871973606309457,,,0.8871973606309457,,,,,2.6000001,1.9,0.7,,,,False,
2015-02-22,,,,,,,,,,,,,,,,,,,,,,,207.75848202218685,,,1.1497637344438114,0.8697439048064441,,,0.8697439048064441,,,,,0.2,0.2,1.1,,,,False,
2015-02-23,,,,,,,,,,,,,,,,,,,,,,,209.74957660962983,,,1.1733089361666509,0.8522904489819425,,,0.8522904489819425,,,,,1.6,1.1,0.0,,,,False,
2015-02-24,,,,,,,,,,,,,,,,,,,,,,,211.7534651590449,,,1.190741661726498,0.8398127252472757,,,0.8398127252472757,,,,,2.7,1.9,0.0,,,,False,
2015-02-25,,,,,,,,,,,,,,,,,,,,,,,213.7693352552744,,,1.1956845107048213,0.8363410172559056,,,0.8363410172559056,,,,,2.7,1.9,0.0,,,,False,
2015-02-26,,,,,,,,,,,,,,,,,,,,,,,215.7963696039828,,,1.2034816149346308,0.8309225397301284,,,0.8309225397301284,,,,,1.5,1.0,0.0,,,,False,
2015-02-27,,,,,,,,,,,,,,,,,,,,,,,217.83374669106064,,,1.2110783484195908,0.8257104103173507,,,0.8257104103173507,,,,,1.5,1.1,1.5,,,,False,
2015-02-28,,,,,,,,,,,,,,,,,,,,,,,219.88064145177884,,,1.2137821613586903,0.8238710633880252,,,0.8238710633880252,,,,,0.8,0.6,4.7000003,,,,False,
2015-03-01,,,,,,,,,,,,,,,,,,,,,,,221.93622594837882,,,1.2159908381669708,0.8223746171537251,,,0.8223746171537251,,,,,1.0,0.8,0.0,,,,False,
2015-03-02,,,,,,,,,,,,,,,,,,,,,,,223.99967005476228,,,1.2181871858339597,0.8208919053071546,,,0.8208919053071546,,,,,1.7,1.3000001,0.0,,,,False,
2015-03-03,,,,,,,,,,,,,,,,,,,,,,,226.07014214691517,,,1.2206641690065212,0.8192261437590027,,,0.8192261437590027,,,,,2.1000001,1.5,0.0,,,,False,
2015-03-04,,,,,,,,,,,,,,,,,,,,,,,228.1468097976924,,,1.223151245778073,0.8175603822108509,,,0.8175603822108509,,,,,0.2,0.2,1.0,,,,False,
2015-03-05,,,,,,,,,,,,,,,,,,,,,,,230.22884047456773,,,1.2240584759241075,0.8169544345053011,,,0.8169544345053011,,,,,2.9,2.0,0.0,,,,False,
2015-03-06,,,,,,,,,,,,,,,,,,,,,,,232.31540223894982,,,1.2249670528822802,0.8163484867997509,,,0.8163484867997509,,,,,5.4,3.5,0.0,,,,False,
2015-03-07,,,,,,,,,,,,,,,,,,,,,,,234.40566444565457,,,1.192098700383426,0.8388567152018205,,,0.8388567152018205,,,,,5.8,3.9,0.0,,,,False,
2015-03-08,,,,,,,,,,,,,,,,,,,,,,,236.49879844112385,,,1.1647976559269122,0.8585182112203249,,,0.8585182112203249,,,,,4.8,3.3,0.0,,,,False,
2015-03-09,,,,,,,,,,,,,,,,,,,,,,,238.59397825898174,,,1.13459721888823,0.8813700433532534,,,0.8813700433532534,,,,,2.3,1.7,0.0,,,,False,
2015-03-10,,,,,,,,,,,,,,,,,,,,,,,240.69038131152303,,,1.1074748889782229,0.9029550104947468,,,0.9029550104947468,,,,,3.3,2.6000001,0.0,,,,False,
2015-03-11,,,,,,,,,,,,,,,,,,,,,,,242.787189075739,,,1.0857950214876737,0.9209841454512068,,,0.9209841454512068,,,,,5.4,3.8,0.0,,,,False,
2015-03-12,,,,,,,,,,,,,,,,,,,,,,,244.88358777250028,,,1.0700196319923283,0.9345622922245316,,,0.9345622922245316,,,,,5.2000003,3.7,0.0,,,,False,
2015-03-13,,,,,,,,,,,,,,,,,,,,,,,246.9787690375251,,,1.054696075464261,0.9481404389978558,,,0.9481404389978558,,,,,4.8,3.2,0.0,,,,False,
2015-03-14,,,,,,,,,,,,,,,,,,,,,,,249.0719305827911,,,1.0440663356984985,0.9577935479846524,,,0.9577935479846524,,,,,5.3,3.6000001000000004,0.0,,,,False,
2015-03-15,,,,,,,,,,,,,,,,,,,,,,,251.16227684706607,,,1.0350351380273854,0.9661507742682466,,,0.9661507742682466,,,,,4.7000003,3.4,0.0,,,,False,
2015-03-16,,,,,,,,,,,,,,,,,,,,,,,253.24901963426075,,,1.0286454045103923,0.9721523040060372,,,0.9721523040060372,,,,,8.7,5.7000003,0.0,,,,False,
2015-03-17,,,,,,,,,,,,,,,,,,,,,,,255.3313787383384,,,1.0231603260380304,0.9773639326617424,,,0.9773639326617424,,,,,4.8,3.2,0.7,,,,False,
2015-03-18,,,,,,,,,,,,,,,,,,,,,,,257.4085825535517,,,1.0325312807788602,0.968493660788348,,,0.968493660788348,,,,,2.2,1.6,0.0,,,,False,
2015-03-19,,,,,,,,,,,,,,,,,,,,,,,259.47986866881,,,1.0408719259868098,0.9607329922477632,,,0.9607329922477632,,,,,1.0,0.90000004,2.9,,,,False,
2015-03-20,,,,,,,,,,,,,,,,,,,,,,,261.54448444502367,,,1.050719538010544,0.9517287571271612,,,0.9517287571271612,,,,,2.9,2.4,0.0,,,,False,
2015-03-21,,,,,,,,,,,,,,,,,,,,,,,263.60168757431717,,,1.0558071595203369,0.9471426585649496,,,0.9471426585649496,,,,,4.4,3.2,0.0,,,,False,
2015-03-22,,,,,,,,,,,,,,,,,,,,,,,265.65074662004383,,,1.062168560827539,0.9414701553780659,,,0.9414701553780659,,,,,5.4,3.9,0.0,,,,False,
2015-03-23,,,,,,,,,,,,,,,,,,,,,,,267.69094153659086,,,1.0625014411441316,0.9411751940055456,,,0.9411751940055456,,,,,5.5,4.0,0.0,,,,False,
2015-03-24,,,,,,,,,,,,,,,,,,,,,,,269.7215641680104,,,1.0656483939714028,0.9383958214146528,,,0.9383958214146528,,,,,6.0,4.2000003,0.0,,,,False,
2015-03-25,,,,,,,,,,,,,,,,,,,,,,,271.74191872456976,,,1.058410847323217,0.9448126902034862,,,0.9448126902034862,,,,,5.0,3.5,0.0,,,,False,
2015-03-26,,,,,,,,,,,,,,,,,,,,,,,273.7513222363704,,,1.0484434380713752,0.9537948960217754,,,0.9537948960217754,,,,,4.8,3.4,0.0,,,,False,
2015-03-27,,,,,,,,,,,,,,,,,,,,,,,275.7491049832444,,,1.0413908228725175,0.9602542849779034,,,0.9602542849779034,,,,,4.0,2.8,0.0,,,,False,
2015-03-28,,,,,,,,,,,,,,,,,,,,,,,277.7346109001994,,,1.0324801309515403,0.9685416406787349,,,0.9685416406787349,,,,,6.2000003,4.4,0.0,,,,False,
2015-03-29,,,,,,,,,,,,,,,,,,,,,,,279.70719795774556,,,1.0303293508902696,0.9705634408414522,,,0.9705634408414522,,,,,6.8,4.6,0.0,,,,False,
2015-03-30,,,,,,,,,,,,,,,,,,,,,,,281.66623851650354,,,1.0295312952960332,0.9713157866779156,,,0.9713157866779156,,,,,7.2000003,4.9,0.0,,,,False,
2015-03-31,,,,,,,,,,,,,,,,,,,,,,,283.61111965556,,,1.0299624266066465,0.9709092042266421,,,0.9709092042266421,,,,,8.3,5.7000003,0.0,,,,False,
2015-04-01,,,,,,,,,,,,,,,,,,,,,,,285.54124347410567,,,1.0360602253801516,0.9651948559583778,,,0.9651948559583778,,,,,9.0,6.2000003,0.0,,,,False,
2015-04-02,,,,,,,,,,,,,,,,,,,,,,,287.45602736595765,,,1.0421600371433093,0.9595455250242801,,,0.9595455250242801,,,,,7.4,5.3,0.0,,,,False,
2015-04-03,,,,,,,,,,,,,,,,,,,,,,,289.3549042666407,,,1.0497290893260154,0.9526267397639288,,,0.9526267397639288,,,,,2.9,2.2,0.0,,,,False,
2015-04-04,,,,,,,,,,,,,,,,,,,,,,,291.23732287277375,,,1.0561640348048242,0.9468226213410088,,,0.9468226213410088,,,,,6.3,4.3,0.0,,,,False,
2015-04-05,,,,,,,,,,,,,,,,,,,,,,,293.10274783357664,,,1.068455575823747,0.9359303490264722,,,0.9359303490264722,,,,,6.7000003,4.6,0.3,,,,False,
2015-04-06,,,,,,,,,,,,,,,,,,,,,,,294.95065991438616,,,1.0846276106561583,0.9219754228781232,,,0.9219754228781232,,,,,10.1,6.8,0.0,,,,False,
2015-04-07,,,,,,,,,,,,,,,,,,,,,,,296.7805561321433,,,1.1005317461175046,0.9086516618242372,,,0.9086516618242372,,,,,9.3,6.5,0.0,,,,False,
2015-04-08,,,,,,,,,,,,,,,,,,,,,,,298.59194986288287,,,1.1164956227799103,0.8956595794886741,,,0.8956595794886741,,,,,7.6,5.4,0.0,,,,False,
2015-04-09,,,,,,,,,,,,,,,,,,,,,,,300.3843709213318,,,1.1258939432332742,0.8881831241833139,,,0.8881831241833139,,,,,2.7,2.3,0.0,,,,False,
2015-04-10,,,,,,,,,,,,,,,,,,,,,,,302.15736561278936,,,1.1354835355970572,0.8806820782955541,,,0.8806820782955541,,,,,6.9,4.8,0.0,,,,False,
2015-04-11,,,,,,,,,,,,,,,,,,,,,,,303.91049675753936,,,1.1329939388534205,0.882617254786015,,,0.882617254786015,,,,,6.8,4.6,1.1,,,,False,
2015-04-12,,,,,,,,,,,,,,,,,,,,,,,305.6433436881046,,,1.1304984503319793,0.8845655646023598,,,0.8845655646023598,,,,,8.8,6.1,20.7,,,,False,
2015-04-13,,,,,,,,,,,,,,,,,,,,,,,307.35550221973256,,,1.1212968928409597,0.8918244636051411,,,0.8918244636051411,,,,,2.6000001,2.0,0.0,,,,False,
2015-04-14,,,,,,,,,,,,,,,,,,,,,,,309.04658459455845,,,1.113246354076309,0.8982737705255974,,,0.8982737705255974,,,,,4.4,3.0,0.0,,,,False,
2015-04-15,,,,,,,,,,,,,,,,,,,,,,,310.71621939996413,,,1.101449687221472,0.907894397357913,,,0.907894397357913,,,,,4.7000003,3.6000001000000004,0.0,,,,False,
2015-04-16,,,,,,,,,,,,,,,,,,,,,,,312.36405146171035,,,1.0903772411133708,0.9171137862148632,,,0.9171137862148632,,,,,7.3,5.3,35.5,,,,False,
2015-04-17,,,,,,,,,,,,,,,,,,,,,,,313.98974171248216,,,1.0769738955297343,0.9285276125547376,,,0.9285276125547376,,,,,4.7000003,3.6000001000000004,2.9,,,,False,
2015-04-18,,,,,,,,,,,,,,,,,,,,,,,315.59296703654815,,,1.0603003706179723,0.943128973365512,,,0.943128973365512,,,,,4.5,3.6000001000000004,7.0,,,,False,
2015-04-19,,,,,,,,,,,,,,,,,,,,,,,317.1734200912854,,,1.0456307073611155,0.9563605897953448,,,0.9563605897953448,,,,,2.8,2.4,4.6,,,,False,
2015-04-20,,,,,,,,,,,,,,,,,,,,,,,318.7308091063845,,,1.0292868200530436,0.9715464926952679,,,0.9715464926952679,,,,,6.3,4.5,0.0,,,,False,
2015-04-21,,,,,,,,,,,,,,,,,,,,,,,320.26485766158834,,,1.0147151850687857,0.9854982114337943,,,0.9854982114337943,,,,,7.8,5.5,0.0,,,,False,
2015-04-22,,,,,,,,,,,,,,,,,,,,,,,321.7753044438785,,,1.01074312750078,0.9893710605509196,,,0.9893710605509196,,,,,4.7000003,3.6000001000000004,0.0,,,,False,
2015-04-23,,,,,,,,,,,,,,,,,,,,,,,323.2619029850572,,,1.0048424134867842,0.9951809224791964,,,0.9951809224791964,,,,,5.9,4.4,0.0,,,,False,
2015-04-24,,,,,,,,,,,,,,,,,,,,,,,324.7244213807219,,,1.0052874748494454,0.9947403354943448,,,0.9947403354943448,,,,,5.9,4.4,0.0,,,,False,
2015-04-25,,,,,,,,,,,,,,,,,,,,,,,326.16264199166136,,,1.0063613165622844,0.9936788939940432,,,0.9936788939940432,,,,,8.6,6.1,0.0,,,,False,
2015-04-26,,,,,,,,,,,,,,,,,,,,,,,327.5763611287408,,,1.009269252997165,0.9908158769628238,,,0.9908158769628238,,,,,4.4,3.5,27.7,,,,False,
2015-04-27,,,,,,,,,,,,,,,,,,,,,,,328.9653887223708,,,1.0113154010050596,0.9888112047005176,,,0.9888112047005176,,,,,3.4,2.4,1.8000001,,,,False,
2015-04-28,,,,,,,,,,,,,,,,,,,,,,,330.32954797768207,,,1.0137820687028622,0.986405294462846,,,0.986405294462846,,,,,5.0,3.9,0.0,,,,False,
2015-04-29,,,,,,,,,,,,,,,,,,,,,,,331.66867501655145,,,1.016260798564854,0.983999384225174,,,0.983999384225174,,,,,6.0,4.5,0.0,,,,False,
2015-04-30,,,,,,,,,,,,,,,,,,,,,,,332.98261850764095,,,1.019704597392134,0.9806761708807352,,,0.9806761708807352,,,,,5.6,4.5,0.0,,,,False,
2015-05-01,,,,,,,,,,,,,,,,,,,,,,,334.2712392856257,,,1.0271360290038365,0.9735808809762478,,,0.9735808809762478,,,,,7.4,5.6,0.0,,,,False,
2015-05-02,,,,,,,,,,,,,,,,,,,,,,,335.5344099607993,,,1.0324886301491074,0.9685336678773736,,,0.9685336678773736,,,,,8.2,5.9,0.0,,,,False,
2015-05-03,,,,,,,,,,,,,,,,,,,,,,,336.77201452024485,,,1.0358970319602632,0.9653469110802124,,,0.9653469110802124,,,,,8.7,6.3,0.0,,,,False,
2015-05-04,,,,,,,,,,,,,,,,,,,,,,,337.9839479217681,,,1.0390472463397609,0.9624201435716112,,,0.9624201435716112,,,,,7.4,5.6,0.0,,,,False,
2015-05-05,,,,,,,,,,,,,,,,,,,,,,,339.1701156817779,,,1.0398927041899657,0.9616376727817894,,,0.9616376727817894,,,,,5.7000003,4.3,70.5,,,,False,
2015-05-06,,,,,,,,,,,,,,,,,,,,,,,340.33043345830004,,,1.0391924699963355,0.9622856485897422,,,0.9622856485897422,,,,,5.3,4.2000003,9.900001,,,,False,
2015-05-07,,,,,,,,,,,,,,,,,,,,,,,341.4648266302893,,,1.0379865954627252,0.9634035780146168,,,0.9634035780146168,,,,,4.8,3.8,2.1000001,,,,False,
2015-05-08,,,,,,,,,,,,,,,,,,,,,,,342.57322987439886,,,1.036769707144582,0.9645343542628658,,,0.9645343542628658,,,,,4.4,3.9,3.4,,,,False,
2015-05-09,,,,,,,,,,,,,,,,,,,,,,,343.6555867403333,,,1.0361868175429512,0.9650769369670628,,,0.9650769369670628,,,,,3.6000001000000004,3.2,1.1,,,,False,
2015-05-10,,,,,,,,,,,,,,,,,,,,,,,344.71184922590066,,,1.0356045829939775,0.96561951967126,,,0.96561951967126,,,,,3.0,2.9,3.4,,,,False,
2015-05-11,,,,,,,,,,,,,,,,,,,,,,,345.74197735283815,,,1.037837237119802,0.9635422243811491,,,0.9635422243811491,,,,,5.9,4.4,0.0,,,,False,
2015-05-12,,,,,,,,,,,,,,,,,,,,,,,346.74593874446253,,,1.0400795387777615,0.961464929091038,,,0.961464929091038,,,,,6.6,5.0,0.0,,,,False,
2015-05-13,,,,,,,,,,,,,,,,,,,,,,,347.72370820615515,,,1.0472478299982348,0.9548838119833444,,,0.9548838119833444,,,,,4.4,3.2,15.400001,,,,False,
2015-05-14,,,,,,,,,,,,,,,,,,,,,,,348.67526730965517,,,1.0567120778253634,0.9463315703345868,,,0.9463315703345868,,,,,7.0,5.5,2.4,,,,False,
2015-05-15,,,,,,,,,,,,,,,,,,,,,,,349.6006039820881,,,1.0640060304815016,0.939844297261608,,,0.939844297261608,,,,,5.8,4.6,5.6,,,,False,
2015-05-16,,,,,,,,,,,,,,,,,,,,,,,350.49971210061796,,,1.0714013759839685,0.9333570241886296,,,0.9333570241886296,,,,,4.2000003,3.5,32.3,,,,False,
2015-05-17,,,,,,,,,,,,,,,,,,,,,,,351.37259109355125,,,1.0789810211296555,0.9268003610972092,,,0.9268003610972092,,,,,6.9,5.4,0.0,,,,False,
2015-05-18,,,,,,,,,,,,,,,,,,,,,,,352.21924554868446,,,1.0780502518245754,0.927600543951938,,,0.927600543951938,,,,,6.8,5.3,0.0,,,,False,
