date,rh,H,sw_in,g_2,vp,theta_1,G,lw_out,g_1,ws,es,LE,wd,sw_out,vpd,Rn,lw_in,t_avg,theta_mean,t_dew,theta_2,t_min,t_max,Rn_subday_gaps,H_subday_gaps,LE_subday_gaps,G_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,245.22431451201737,,,,,,,,,,,,3.8,2.7,0.0,,,,False,
2013-03-28,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,247.81579315055615,,,,,,,,,,,,3.6000001000000004,2.6000001,0.0,,,,False,
2013-03-29,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,250.3998429004825,,,,,,,,,,,,5.4,3.7,0.0,,,,False,
2013-03-30,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,252.97558041640355,,,,,,,,,,,,6.0,4.0,0.0,,,,False,
2013-03-31,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,255.54213126514338,,,,,,,,,,,,4.7000003,3.1000001,0.0,,,,False,
2013-04-01,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,258.0986304263988,,,,,,,,,,,,3.9,2.8,0.0,,,,False,
2013-04-02,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,260.6442227684969,,,,,,,,,,,,5.7000003,3.9,0.0,,,,False,
2013-04-03,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,263.17806349863264,,,,,,,,,,,,4.9,3.3,0.0,,,,False,
2013-04-04,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,265.6993185870496,,,,,,,,,,,,4.2000003,3.1000001,0.0,,,,False,
2013-04-05,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,268.2071651647065,,,,,,,,,,,,5.9,4.0,0.0,,,,False,
2013-04-06,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,270.70079189405493,,,1.6822226820251585,0.594451620873487,,,0.594451620873487,,,,,6.0,4.0,0.0,,,,False,
2013-04-07,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,273.17939931264243,,,1.5403338022519368,0.6492099300411509,,,0.6492099300411509,,,,,5.0,3.5,3.9,,,,False,
2013-04-08,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,275.64220014933767,,,1.4205186318119885,0.7039682392088147,,,0.7039682392088147,,,,,1.5,1.1,4.6,,,,False,
2013-04-09,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,278.08841961306143,,,1.3673392542142873,0.7313473937926466,,,0.7313473937926466,,,,,2.2,1.7,0.0,,,,False,
2013-04-10,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,280.5172956539957,,,1.3291125846979297,0.7523817105586073,,,0.7523817105586073,,,,,3.7,2.8,0.6,,,,False,
2013-04-11,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,282.92807919732866,,,1.311362644017498,0.7625655683895297,,,0.7625655683895297,,,,,5.0,3.3,2.0,,,,False,
2013-04-12,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,285.32003434968175,,,1.6822226820251585,0.7731303411370899,,,0.594451620873487,,,,,3.8,2.7,0.0,,,,False,
2013-04-13,,,,,,,,,,,,,,,,,,,,,,-1.9637011999999998,8.045303299999999,19.0,19.0,19.0,19.0,,287.6924385784502,,,1.4205186318119885,0.7839331857075483,,15.39725587679364,0.7039682392088147,,,,0.5421524781174231,4.7000003,3.2,1.2,,0.16942264941169471,0.5421524781174231,True,0.5421524781174231
