date,rh,es,sw_in,H,vpd,vp,Rn,ws,t_avg,G,t_dew,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2004-05-31,69.24166666666666,3.842258280913357,289.48943750000007,92.5172291666667,1.4006666666666665,2.4415916142466934,203.1018958333334,1.7844999999999993,27.735000000000007,3.6134166666666654,20.25584120087122,107.904125,,22.18,36.12,0.0,0.0,2.0,7.5,2.0,6.296881866088036,353.7668947782827,200.42135416666667,199.48847916666676,1.0685687439410991,0.8153671564443399,214.16399468084919,115.30297531731334,0.935831228145226,1.004676335214429,98.86101936353585,3.827899314374302,4.090373562293942,8.900001,6.9,0.0,0.5928077626512959,0.590821853746797,4.0766707908529005,False,
2004-06-01,73.23770833333333,3.5573233825499933,311.34712499999995,70.9484583333333,1.0448541666666664,2.5124692158833284,226.6286458333333,1.948604166666667,26.661041666666666,1.9390416666666663,20.758027163418728,128.89854166666666,,22.29,31.61,0.0,0.0,4.0,5.3,4.0,5.8774675402191265,354.0126923849038,199.847,224.68960416666664,1.0546795897993595,0.8125216026958206,210.77455198263252,135.94666105073566,0.9481552593525,0.8894358986531512,74.82789093189693,4.56792068020148,4.817692709230907,9.400001,7.5,26.5,0.6423590278974542,0.6557542706762759,4.918157030072068,False,
2004-06-02,77.91729166666667,3.301642481416016,258.161375,39.315625000000026,0.8575624999999997,2.4440799814160172,183.36633333333336,1.9008958333333332,25.284625,0.4876458333333333,20.309807573728296,148.5578541666667,,20.92,33.81,0.0,0.0,2.0,53.90000000000001,2.0,5.4706598845333545,354.2429590080653,187.87347916666667,182.8786875,1.0411468626431215,0.809918552526942,195.6038834082229,154.67054378661942,0.960479290559774,1.0273120489595962,40.9333396216035,5.257601616033899,5.4739354275610985,8.2,6.7000003,16.6,0.8170052511133616,0.7094469568578613,4.753294823781758,False,
2004-06-03,78.76145833333334,3.240244531418631,271.0001041666667,60.01452083333334,0.8111041666666668,2.4291403647519654,198.7585000000001,1.476604166666667,24.976666666666667,1.7816041666666669,20.21460142768075,129.1777083333333,,20.41,32.18,0.0,0.0,1.0,4.9,1.0,5.16431057417382,354.4578385995086,189.19222916666664,196.97689583333351,1.0265992599830494,0.8067807158193413,194.22460245704343,132.61373978130615,0.9740899287386116,0.960479290559774,61.610862675737295,4.57035891805903,4.6919270831363304,8.900001,7.5,6.8,0.6255902777515109,0.7094469568578613,5.320852176433959,False,
2004-06-04,85.10354166666666,3.0149297677283813,208.76579166666667,37.82739583333334,0.5267291666666668,2.4882006010617137,154.87447916666662,1.3090416666666669,23.809166666666666,-0.689541666666667,20.550721252894107,120.22841666666666,224.4944375,20.24,31.16,0.0,0.0,0.0,44.90000000000001,0.0,4.0939487147656335,354.65746980928014,158.0558125,155.56402083333333,1.0265357835519835,0.8036329735786256,162.24994732963287,123.41877190813105,0.9741501621500566,1.0160177890319275,38.83117542150188,4.248933375444576,4.361682151822172,6.5,5.5,29.4,0.7930331185131222,0.7503386920741154,4.126862806407635,False,
2004-06-05,81.62564583333331,3.072564113857687,215.95637500000007,27.712625,0.6161666666666668,2.456397447191021,154.5025208333333,1.4777291666666663,24.27333333333333,1.03,20.36813052727649,123.87227083333332,262.72689583333334,20.55,30.13,0.0,0.0,0.0,0.4,1.0,4.158821365403201,354.84198572356183,151.58489583333332,153.47252083333333,1.0228053371030847,0.7999186602966983,155.04184048254845,126.69721972741209,0.977703150075774,0.9877005669174492,28.344620755136372,4.3796722617911055,4.479552164122281,6.8,5.7000003,2.9,0.7858863032204193,0.7719346249094476,4.400027593564238,False,
2004-06-06,78.71858333333333,3.147171200537094,276.14702083333333,,0.7539166666666665,2.393254533870428,203.7260833333333,,24.582916666666666,0.34777083333333314,19.986253372069907,,,20.96,29.81,0.0,0.0,6.0,45.6,8.0,,355.0115136173884,,203.3783125,1.0228053371030847,0.7967287347272795,,107.5392809313325,0.977703150075774,,,,3.8033348417923456,6.0,5.0,24.2,,0.7606669683584691,3.8033348417923456,True,3.8033348417923456
2004-06-07,80.48708333333336,3.2135516240868007,314.66025,114.85536458333333,0.6977708333333332,2.5157807907534666,236.09185416666665,1.7981145833333334,24.96020833333333,1.7340000000000009,20.759499696863056,153.59896875,,19.75,29.25,0.0,0.0,4.0,0.0,1.0,5.220524957637313,355.16617472227546,268.4543333333333,234.3578541666666,1.03337199073728,0.7929798297935641,277.413188858716,158.72487211238078,0.9677057332340988,1.1454889544364004,118.68831674633525,5.434306394252023,5.615660016904544,7.6,6.7000003,0.0,0.8381581739488196,0.8056925318941218,5.398140205398376,False,
2004-06-08,80.41020833333333,3.338247126784456,293.1402708333333,66.04079166666666,0.7088125000000002,2.629434626784456,218.33045833333327,1.806875,25.71416666666667,2.4383958333333324,21.480308214934386,,188.0608958333333,20.89,29.08,0.0,0.0,0.0,0.0,8.0,4.944833077218117,355.30608400875917,,215.89206249999992,1.0410162945748491,0.7907892522524798,,130.58647952014428,0.9605997573826641,,68.7495402316229,,4.62349849239434,5.9,5.0,3.1000001,,0.9246996984788679,4.62349849239434,True,4.62349849239434
2004-06-09,82.82541666666667,3.349004905276366,188.17170833333338,,0.6031041666666667,2.7459007386097007,127.49631249999996,,25.85020833333333,1.9817916666666668,22.18408282138645,,,22.29,29.24,0.0,0.0,34.0,3.6,34.0,,355.43134998383636,,125.51452083333328,1.0410162945748491,0.7903650166913767,,139.06075961145388,0.9605997573826641,,,,4.924183970398387,6.1,5.1,2.5,,0.965526268705566,4.924183970398387,True,4.924183970398387
