date,rh,sw_in,H,Rn,theta_1,wd,t_avg,G,LE,ws,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2017-05-14,62.858252138888886,,,127.25529109756941,2.774058011111111,154.7990353330455,11.863631350464306,-1.9545524168958357,,1.3710676956098988,5.194758297390422,18.338541878594185,0.0,0.0,7.0,0.0,6.0,338.12697299992914,,129.20984351446523,1.2096107289078526,0.8348568175812027,,101.44854969433425,0.8267122439488377,,,,3.5443551380095313,5.7000003,4.3,0.0,,0.8242686367464026,3.5443551380095313,True,3.5443551380095313
2017-05-15,,,,,,,,,,,4.6968053029378325,19.609753122965397,20.0,20.0,30.0,0.0,32.0,339.51422145402137,,,1.2483850294909729,0.8010349182156954,,107.68333239800582,0.8010349182156954,,,,3.791635729033452,5.9,4.6,4.8,,0.8242686367464026,3.791635729033452,True,3.791635729033452
2017-05-16,64.73017861805556,,,115.90585966104172,3.18854574375,,,-8.860305712270833,,,8.897411760118302,15.753712715996699,0.0,0.0,18.0,2.7939999999999996,19.0,340.866803858914,,124.76616537331257,1.3005906828655849,0.7688814114804398,,80.92567868297668,0.7688814114804398,,,,2.8494725029176147,5.0,3.7,1.8000001,,0.7701277034912472,2.8494725029176147,True,2.8494725029176147
2017-05-17,52.5288623888889,,,136.18268008340272,3.5571570437499997,200.01300934437438,15.474283455985454,10.9956025523125,52.498624239490425,1.7188975243883138,7.845968626234252,21.902805401272243,0.0,0.0,3.0,0.0,4.0,342.1844366634793,,125.18707753109024,1.8354103813349285,0.7385688227485206,,96.35651993496222,0.5448372800815703,,,1.8405133509063951,3.3780973112391335,6.3,4.8,0.0,0.7037702731748194,0.7159867702360916,3.43673649713324,False,
2017-05-18,,,,,,,,,,,9.671363750881653,24.163218265109663,1.0,1.0,9.0,0.0,9.0,343.46684532529406,,,1.7756009730118312,0.7159877816178608,,84.58458738891048,0.5631895990143371,,,,2.9783062664142124,5.2000003,4.5,0.0,,0.6618458369809361,2.9783062664142124,True,2.9783062664142124
2017-05-19,54.02006577083333,,,169.48182837901385,3.8239813694444447,149.8011913266553,19.663334867954266,20.966323129805552,,1.5392037002490653,11.863825122409365,27.061766806708427,0.0,0.0,3.0,0.0,5.0,344.7137641662071,,148.5155052492083,1.7756009730118312,0.7004914491139774,,77.6904782739172,0.5631895990143371,,,,2.734672066766013,5.1,4.5,0.0,,0.6077049037257807,2.734672066766013,True,2.734672066766013
2017-05-20,59.515245027777794,,,124.07897145243055,3.6711171298611096,,19.488727853571817,17.22489096592917,,1.761563867755025,11.919453386094856,25.846100397745772,0.0,0.0,11.0,0.0,11.0,345.92493623927453,,106.85408048650135,1.7756009730118312,0.6821547531951094,,72.73754928041627,0.5631895990143371,,,,2.5599011184917217,5.2000003,4.0,0.0,,0.6399752796229304,2.5599011184917217,True,2.5599011184917217
2017-05-21,55.603545555555534,,,162.87431557250005,3.3968123590277766,238.87080691584939,20.009172053337114,24.18134992751389,,0.7783785946823546,9.919730150010876,29.02777951558425,0.0,0.0,13.0,0.0,7.0,347.10011320752074,,138.69296564498615,1.7756009730118312,0.6690020711384725,,116.43290238047005,0.5631895990143371,,,,4.099752849364662,7.0,5.7000003,0.0,,0.7192548479979312,4.099752849364662,True,4.099752849364662
2017-05-22,52.031244778409096,,30.11740446616668,161.54061999059348,2.837931607133839,,21.21439943597052,22.60892546003852,45.57776209898447,0.9999716509693108,10.502945034450818,31.9732464430067,0.0,0.0,9.0,0.0,6.0,348.2390552348901,75.69516656515114,138.93169453055495,1.7195664992303417,0.6715022508544234,130.16287257909454,78.37399281530405,0.5815419179471039,0.5448372800815703,51.78887976379049,1.6067151147286405,2.7628534850944044,6.3,5.4,0.0,0.5116395342767416,0.7192548479979312,3.883976179188828,False,
2017-05-23,43.95922681944447,,-4.658065656471709,160.0897695884027,2.4750966819444447,219.05491402246045,23.65540101175904,22.55189447606945,84.64210533966725,3.3975324762323846,12.090477171156067,34.61640323893238,0.0,0.0,3.0,0.0,3.0,349.3415308896421,79.98403968319555,137.5378751123333,1.7195664992303417,0.6731682342552485,137.5378751123333,145.54772876641744,0.5815419179471039,0.5815419179471039,-8.00985365408414,2.9908509101844625,5.142967029345778,10.0,7.3,0.0,0.7045160314172298,0.7192548479979312,5.250560390384896,False,
2017-05-24,36.12552604166667,,,150.92577586520838,2.3135985659722214,268.44774362209944,16.42486701821207,9.670898774270837,116.26669332359728,4.440172422060242,11.27117120530869,20.648989468044704,0.0,0.0,1.0,0.0,0.0,350.4073170603312,,141.25487709093755,1.5001749018792463,0.6791092984658499,,174.42037524855198,0.6665889415609574,,,4.079829859359622,6.1204583589488415,9.2,6.5,0.0,0.9416089782998218,0.6243527180316579,4.0582926672057775,False,
2017-05-25,54.96172919444446,,60.641164334748105,124.84626512555555,2.2548762715277784,155.06890701388,15.705161715754773,9.624191204131943,,1.4102283836637457,9.603843792385533,21.610875601874447,0.0,0.0,5.0,0.0,9.0,351.43619888440645,,115.22207392142359,1.5001749018792463,0.6998690281339134,,69.38653383869747,0.6665889415609574,,90.97235275572402,,2.4331131888460518,5.1,4.0,0.0,,0.6082782972115128,2.4331131888460518,True,2.4331131888460518
