date,theta_8,WS_1_1_1,sw_out,vp,theta_20,theta_10,SW_IN_1_1_1,theta_3,ws,Rn,theta_17,theta_5,WD_1_5_1,SW_IN_1_1_2,theta_13,theta_11,theta_12,LE,theta_26,lw_in,theta_22,theta_24,WS_1_3_1,theta_mean,WD_1_3_1,WD_1_1_1,sw_in,SW_IN_1_1_3,theta_4,g_3,theta_9,G,lw_out,t_dew,theta_23,WS_1_5_1,vpd,theta_6,theta_16,theta_25,theta_1,theta_2,theta_15,theta_14,WD_1_2_1,g_1,t_avg,WS_1_4_1,rh,theta_18,H,g_2,theta_19,wd,theta_21,WS_1_2_1,es,WD_1_4_1,theta_7,t_min,t_max,LE_subday_gaps,Rn_subday_gaps,G_subday_gaps,ppt,H_subday_gaps,rso,flux,energy,ebr_corr,ebr_5day_clim,LE_corr,ebc_cf,H_corr,ebr,flux_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2018-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.99133682080398,,,,,,,,,,,,2.0,1.3000001,3.0,,,,False,,
2018-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.74707652488013,,,,,,,,,,,,2.2,1.4,1.6,,,,False,,
2018-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.53696127732158,,,,,,,,,,,,2.4,1.5,5.2000003,,,,False,,
2018-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.3604998771239,,,,,,,,,,,,2.1000001,1.4,3.1000001,,,,False,,
2018-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.2171820220939,,,,,,,,,,,,2.2,1.4,2.2,,,,False,,
2018-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.10647833022009,,,,,,,,,,,,2.3,1.5,3.0,,,,False,,
2018-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0278403975885,,,,,,,,,,,,1.9,1.2,3.9,,,,False,,
2018-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.9807008928101,,,,,,,,,,,,0.7,0.5,1.7,,,,False,,
2018-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.96447368782069,,,,,,,,,,,,1.2,0.8,0.0,,,,False,,
2018-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.97855402480803,,,,,,,,,,,,1.4,0.90000004,0.3,,,,False,,
2018-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.02231871891863,,,,,,,,,,,,0.8,0.6,0.0,,,,False,,
2018-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0951263963015,,,,,,,,,,,,1.6,1.1,0.7,,,,False,,
2018-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.19631776694877,,,,,,,,,,,,1.8000001,1.2,1.7,,,,False,,
2018-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.32521593170384,,,0.8258979225107129,0.8258979225107129,,1.2108033847088755,,,,,,1.2,0.8,1.4,,,,False,,
2018-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.48112672272242,,,0.8258979225107129,0.8258979225107129,,1.2108033847088755,,,,,,1.5,1.0,2.5,,,,False,,
2018-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.663339076585,,,0.8258979225107129,0.8258979225107129,,1.2108033847088755,,,,,,2.1000001,1.3000001,11.0,,,,False,,
2018-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.8711254391839,,,0.8258979225107129,0.8258979225107129,,1.2108033847088755,,,,,,0.7,0.5,7.0,,,,False,,
2018-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.10374220143038,,,0.8258979225107129,0.8258979225107129,,1.2108033847088755,,,,,,0.4,0.3,0.0,,,,False,,
2018-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.36043016475494,,,0.8258979225107129,0.8258979225107129,,1.2108033847088755,,,,,,0.7,0.5,0.4,,,,False,,
2018-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.64041503530984,,,0.8258979225107128,0.8258979225107128,,1.210803384708876,,,,,,1.2,0.8,0.0,,,,False,,
2018-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.94290794571197,,,0.8258979225107128,0.8258979225107128,,1.210803384708876,,,,,,1.1,0.8,0.0,,,,False,,
2018-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.26710600311287,,,0.8258979225107128,0.8258979225107128,,1.210803384708876,,,,,,1.3000001,0.90000004,0.0,,,,False,,
2018-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.612192862318,,,0.8258979225107128,0.8258979225107128,,1.210803384708876,,,,,,1.5,1.0,0.0,,,,False,,
2018-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.97733932263057,,,0.8307653336436992,0.8307653336436992,,1.2037093502855316,,,,,,1.4,0.90000004,2.1000001,,,,False,,
2018-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.36170394704342,,,0.8405001559096715,0.8405001559096715,,1.1897677745433637,,,,,,1.6,1.1,2.3,,,,False,,
2018-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.76443370235958,,,0.8502349781756441,0.8502349781756441,,1.1761454488095844,,,,,,1.8000001,1.3000001,0.0,,,,False,,
2018-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.18466461877918,,,0.8599698004416165,0.8599698004416165,,1.1628315313938633,,,,,,1.5,1.0,0.0,,,,False,,
2018-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.62152246745723,,,0.8697046227075891,0.8697046227075891,,1.149815666020921,,,,,,1.6,1.1,0.6,,,,False,,
2018-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.07412345449669,,,0.8794394449735615,0.8794394449735615,,1.137087954964384,,,,,,2.6000001,1.8000001,3.0,,,,False,,
2018-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.5415749298216,,,0.8891742672395341,0.8891742672395341,,1.124638933945454,,,,,,1.7,1.2,9.900001,,,,False,,
2018-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.02297610934016,,,0.8989090895055066,0.8989090895055066,,1.1124595486625948,,,,,,1.2,0.90000004,3.0,,,,False,,
2018-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.5174188087932,,,0.908643911771479,0.908643911771479,,1.1005411328299273,,,,,,2.0,1.3000001,0.7,,,,False,,
2018-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.02398818766338,,,0.9183787340374516,0.9183787340374516,,1.0888753876123831,,,,,,1.9,1.3000001,0.0,,,,False,,
2018-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.54176350150658,,,0.9281135563034241,0.9281135563034241,,1.077454362355068,,,,,,2.4,1.7,0.7,,,,False,,
2018-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.06981886105962,,,0.93298096743641,0.93298096743641,,1.0718332258671266,,,,,,2.2,1.5,1.5,,,,False,,
2018-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.60722399647113,,,0.93298096743641,0.93298096743641,,1.0718332258671266,,,,,,2.1000001,1.5,1.0,,,,False,,
2018-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.1530450250013,,,0.93298096743641,0.93298096743641,,1.0718332258671266,,,,,,2.1000001,1.5,0.0,,,,False,,
2018-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.70634522054115,,,0.93298096743641,0.93298096743641,,1.0718332258671266,,,,,,2.8,2.0,0.4,,,,False,,
