date,theta_14,WS_1_3_1,theta_6,theta_30,theta_9,theta_11,theta_15,g_3,WD_1_1_1,es,theta_4,sw_out,WD_1_3_1,theta_16,theta_17,theta_7,theta_8,lw_in,theta_32,theta_20,sw_in,theta_22,g_2,theta_5,theta_27,theta_13,lw_out,wd,ws,theta_12,theta_21,SW_IN_1_1_1,theta_28,t_avg,theta_mean,t_dew,theta_19,theta_2,rh,WS_1_2_1,WD_1_4_1,theta_3,theta_34,WS_1_5_1,theta_24,WS_1_1_1,WS_1_4_1,theta_25,Rn,theta_23,H,WD_1_5_1,vp,theta_1,theta_26,SW_IN_1_1_2,LE,g_1,vpd,theta_29,theta_18,theta_33,theta_31,theta_10,G,WD_1_2_1,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2017-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.52134701053302,,,1.4724086018532607,0.6791593031590151,,,0.6791593031590151,,,,,4.2000003,2.6000001,7.5,,,,False,
2017-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.25496331485198,,,1.4684338158834418,0.6809976651200845,,,0.6809976651200845,,,,,3.4,2.2,1.2,,,,False,
2017-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.01998086052106,,,1.4654667810570103,0.6823764365908868,,,0.6823764365908868,,,,,4.7000003,3.0,11.0,,,,False,
2017-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.81581081474425,,,1.4631673637120728,0.6834488144015106,,,0.6834488144015106,,,,,2.8,1.9,0.0,,,,False,
2017-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.64184739524273,,,1.4613330187601417,0.6843067166500097,,,0.6843067166500097,,,,,3.5,2.2,0.4,,,,False,
2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.49746804292613,,,1.4598356085830533,0.685008636671509,,,0.685008636671509,,,,,3.4,2.2,24.800001,,,,False,
2017-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.38203362567776,,,1.4305189020560996,0.699047037101495,,,0.699047037101495,,,,,5.4,3.4,3.9,,,,False,
2017-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.29488867316633,,,1.4290839447785428,0.6997489571229942,,,0.6997489571229942,,,,,3.4,2.2,0.0,,,,False,
2017-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.2353616425015,,,1.427334012825808,0.7006068593714934,,,0.7006068593714934,,,,,1.3000001,0.90000004,0.90000004,,,,False,
2017-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.2027652144545,,,1.4251526153401843,0.7016792371821173,,,0.7016792371821173,,,,,1.0,0.8,7.3,,,,False,
2017-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.1963966198766,,,1.433466758742567,0.69760947988581,,,0.69760947988581,,,,,1.7,1.3000001,0.0,,,,False,
2017-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.215537995856,,,1.441878478519229,0.6935397225895026,,,0.6935397225895026,,,,,3.0,2.0,0.0,,,,False,
2017-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.25945677107052,,,1.4503895025720992,0.6894699652931953,,,0.6894699652931953,,,,,3.7,2.4,0.0,,,,False,
2017-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.32740607970712,,,1.4590015998427308,0.6854002079968881,,,0.6854002079968881,,,,,2.7,1.8000001,0.0,,,,False,
2017-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.41862520324116,,,1.4677165815379989,0.6813304507005805,,,0.6813304507005805,,,,,2.8,1.9,1.0,,,,False,
2017-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.53234003928887,,,1.4765363023999918,0.6772606934042732,,,0.6772606934042732,,,,,2.8,2.0,0.0,,,,False,
2017-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.66776359667404,,,1.4854626620219689,0.6731909361079658,,,0.6731909361079658,,,,,2.9,2.0,0.0,,,,False,
2017-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.8240965157773,,,1.5163697148491433,0.6594697785160432,,,0.6594697785160432,,,,,0.8,0.7,1.3000001,,,,False,
2017-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.00052761316996,,,1.5163697148491433,0.6594697785160432,,,0.6594697785160432,,,,,0.7,0.6,0.0,,,,False,
2017-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.1962344494695,,,1.5163697148491433,0.6594697785160432,,,0.6594697785160432,,,,,0.8,0.6,0.0,,,,False,
2017-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.41038391929368,,,1.5163697148491433,0.6594697785160432,,,0.6594697785160432,,,,,1.6,1.2,3.3,,,,False,
2017-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.64213286213248,,,1.5163697148491433,0.6594697785160432,,,0.6594697785160432,,,,,1.7,1.3000001,16.7,,,,False,
2017-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.89062869290424,,,1.5163697148491433,0.6594697785160432,,,0.6594697785160432,,,,,1.3000001,1.0,3.3,,,,False,
2017-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.15501005091232,,,1.5163697148491433,0.6594697785160432,,,0.6594697785160432,,,,,2.7,1.8000001,3.7,,,,False,
2017-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.43440746587387,,,1.5163697148491433,0.6594697785160432,,,0.6594697785160432,,,,,4.0,2.7,1.1,,,,False,
2017-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.72794403964755,,,1.5163697148491433,0.6594697785160432,,,0.6594697785160432,,,,,4.7000003,3.0,3.2,,,,False,
2017-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.03473614225112,,,1.5163697148491433,0.6594697785160432,,,0.6594697785160432,,,,,2.2,1.6,0.6,,,,False,
