date,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,LE_corr,ET_fill_val,LE
2016-01-27,,0.5413009182048119,3.9,2.5,0.0,,0.21652036728192475,0.5413009182048119,True,15.373071378155132,0.5413009182048119,
2016-01-28,,0.6470195507505941,4.7000003,3.0,0.0,,0.21567318358353135,0.6470195507505941,True,18.375505014361032,0.6470195507505941,
2016-01-29,,0.9667169994831212,7.2000003,4.5,0.0,,0.21482599988513806,0.9667169994831212,True,27.454986562403857,0.9667169994831212,
2016-01-30,,1.1554856278150314,8.8,5.4,0.0,,0.2139788161867447,1.1554856278150314,True,32.81605930347185,1.1554856278150314,
2016-01-31,,0.3623237853931056,2.5,1.7,0.0,,0.21313163248835135,0.3623237853931056,True,10.290079376410818,0.3623237853931056,
2016-02-01,,0.2759697986107124,2.0,1.3000001,0.0,,0.21228444878995803,0.2759697986107124,True,7.837606162442058,0.2759697986107124,
2016-02-02,,0.2748684597422058,1.9,1.3000001,0.0,,0.21143726509156469,0.2748684597422058,True,7.80632788363692,0.2748684597422058,
2016-02-03,,0.25270810771352314,1.7,1.2,0.0,,0.2105900813931713,0.25270810771352314,True,7.176968756311214,0.25270810771352314,
2016-02-04,,0.755074461705163,5.8,3.6000001000000004,0.0,,0.20974289769477802,0.755074461705163,True,21.444289498181654,0.755074461705163,
2016-02-05,,0.9609202644615216,7.4,4.6,0.0,,0.20889571399638465,0.9609202644615216,True,27.290357945953613,0.9609202644615216,
2016-02-06,,0.8113892880032201,6.2000003,3.9,0.0,,0.2080485302979913,0.8113892880032201,True,23.043643600885893,0.8113892880032201,
2016-02-07,,0.8080852714986922,6.1,3.9,0.0,,0.20720134659959796,0.8080852714986922,True,22.94980876733867,0.8080852714986922,
2016-02-08,,0.6190624887036138,4.6,3.0,0.0,,0.20635416290120465,0.6190624887036138,True,17.581517980684648,0.6190624887036138,
2016-02-09,,0.7398251545281298,5.6,3.6000001000000004,0.0,,0.20550697920281127,0.7398251545281298,True,21.011205644421693,0.7398251545281298,
2016-02-10,,1.2484247330590703,9.8,6.1,0.0,,0.20465979550441796,1.2484247330590703,True,35.455551406084325,1.2484247330590703,
2016-02-11,,0.9171567531271106,7.1,4.5,0.0,,0.20381261180602456,0.9171567531271106,True,26.04746409361391,0.9171567531271106,
2016-02-12,,0.3653377851109549,2.5,1.8000001,0.0,,0.20296542810763124,0.3653377851109549,True,10.37567766608286,0.3653377851109549,
2016-02-13,,0.1212709514644172,0.6,0.6,0.0,,0.2021182444092379,0.1212709514644172,True,3.4441230935689537,0.1212709514644172,
2016-02-14,,0.24152528245036556,1.5,1.2,0.0,,0.20127106071084452,0.24152528245036556,True,6.859373930220578,0.24152528245036556,
2016-02-15,,0.4810173239437933,3.5,2.4,0.0,,0.2004238770124512,0.4810173239437933,True,13.661003346606494,0.4810173239437933,
2016-02-16,,0.6586030784198326,5.0,3.3,0.0,,0.19957669331405786,0.6586030784198326,True,18.704479881539548,0.6586030784198326,
2016-02-17,,0.6955532836548258,5.3,3.5,0.0,,0.19872950961566446,0.6955532836548258,True,19.753874263501604,0.6955532836548258,
2016-02-18,,0.7717410899488868,6.0,3.9,0.0,,0.1978823259172712,0.7717410899488868,True,21.917625598319212,0.7717410899488868,
2016-02-19,,0.6502159599269292,5.0,3.3,0.0,,0.19703514221887786,0.6502159599269292,True,18.466283774878477,0.6502159599269292,
2016-02-20,,0.6278014766205212,4.7000003,3.2,0.0,,0.19618795852048448,0.6278014766205212,True,17.829707260438692,0.6278014766205212,
2016-02-21,,0.9571698152573944,7.6,4.9,0.0,,0.19534077482209114,0.9571698152573944,True,27.183844320396872,0.9571698152573944,
2016-02-22,,0.8946705006206556,7.2000003,4.6,1.7,,0.1944935911236978,0.8946705006206556,True,25.40884931727954,0.8946705006206556,
2016-02-23,,1.0456906185642043,8.6,5.4,2.9,,0.19364640742530445,1.0456906185642043,True,29.69785562523697,1.0456906185642043,
2016-02-24,,0.3663185204844394,2.8,1.9,0.0,,0.1927992237269111,0.3663185204844394,True,10.403530777711897,0.3663185204844394,
2016-02-25,,0.4414896829126043,3.4,2.3,0.0,,0.19195204002851776,0.4414896829126043,True,12.538409191403822,0.4414896829126043,
2016-02-26,,0.5159831212039256,3.8,2.7,0.0,,0.1911048563301244,0.5159831212039256,True,14.654040082728805,0.5159831212039256,
2016-02-27,,0.7610306905269244,6.1,4.0,0.0,,0.1902576726317311,0.7610306905269244,True,21.613447775476352,0.7610306905269244,
2016-02-28,,0.8334061693702779,6.7000003,4.4,0.0,,0.18941048893333773,0.8334061693702779,True,23.66892812821065,0.8334061693702779,
2016-02-29,,0.4336955930489731,3.2,2.3,0.0,,0.1885633052349444,0.4336955930489731,True,12.317055235089226,0.4336955930489731,
2016-03-01,,0.6757780643845903,5.4,3.6000001000000004,0.0,,0.18771612153655104,0.6757780643845903,True,19.192253458629864,0.6757780643845903,
2016-03-02,,1.2146480959480253,10.2,6.5,0.0,,0.18686893783815767,1.2146480959480253,True,34.496287093464645,1.2146480959480253,
2016-03-03,,0.7254848588854979,5.8,3.9,0.0,,0.18602175413976435,0.7254848588854979,True,20.603937928658066,0.7254848588854979,
2016-03-04,,0.9814252586585128,8.2,5.3,0.0,,0.18517457044137106,0.9814252586585128,True,27.872704527674603,0.9814252586585128,
2016-03-05,,0.8479059614388678,7.0,4.6,0.0,,0.18432738674297766,0.8479059614388678,True,24.08072557939196,0.8479059614388678,
2016-03-06,,0.9907931139387912,8.3,5.4,0.0,,0.18348020304458434,0.9907931139387912,True,28.138753786119533,0.9907931139387912,
2016-03-07,,0.9496917528519191,7.9,5.2000003,0.0,,0.18263301934619094,0.9496917528519191,True,26.9714656170484,0.9496917528519191,
2016-03-08,,0.6180718585389603,4.7000003,3.4,0.0,,0.18178583564779768,0.6180718585389603,True,17.553383854695948,0.6180718585389603,
2016-03-09,,0.5066282168305047,3.7,2.8,0.0,,0.18093865194940428,0.5066282168305047,True,14.388358633036528,0.5066282168305047,
2016-03-10,,0.5762927069906655,4.3,3.2,0.0,,0.18009146825101094,0.5762927069906655,True,16.366846279624482,0.5762927069906655,
2016-03-11,,0.5915061304766045,4.6,3.3,0.0,,0.1792442845526176,0.5915061304766045,True,16.798911028250956,0.5915061304766045,
2016-03-12,,0.6779089747394156,5.3,3.8,1.1,,0.17839710085422428,0.6779089747394156,True,19.252771805973182,0.6779089747394156,
2016-03-13,,0.798974627201239,6.5,4.5,0.0,,0.1775499171558309,0.798974627201239,True,22.69106436034556,0.798974627201239,
2016-03-14,,1.1662380239674022,10.2,6.6,0.0,,0.1767027334574376,1.1662380239674022,True,33.12142984317977,1.1662380239674022,
2016-03-15,,0.8441066723851964,7.2000003,4.8,0.0,,0.17585554975904422,0.8441066723851964,True,23.972824890802627,0.8441066723851964,
2016-03-16,,0.7700368273569623,6.6,4.4,0.0,,0.1750083660606509,0.7700368273569623,True,21.869224146203322,0.7700368273569623,
2016-03-17,,0.6618124846719264,5.4,3.8,0.0,,0.17416118236225756,0.6618124846719264,True,18.79562776201713,0.6618124846719264,
2016-03-18,,0.27730240199431044,2.0,1.6,0.0,,0.1733139986638642,0.27730240199431044,True,7.875452407009248,0.27730240199431044,
2016-03-19,,0.4829070736794598,3.8,2.8,0.0,,0.17246681496547087,0.4829070736794598,True,13.714672676541493,0.4829070736794598,
