date,rh,es,H,sw_out,sw_in,vpd,t_dew,vp,Rn,ws,lw_in,t_avg,G,lw_out,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2004-01-11,67.91645833333334,1.8861973197769264,49.3580625,32.14425,196.36222916666665,0.06729583333333332,15.350603668467107,1.8189014864435944,84.67006249999999,,301.73250000000013,16.164083333333334,-14.12254166666667,381.28125,64.44697916666665,48.18285416666669,11.519,22.445,,,,,,,203.29099459805198,113.80504166666664,98.79260416666664,0.8747847428247194,1.0032217844102949,99.55491410653148,56.37723409614254,1.1431383642688542,1.151959123120932,43.177680010388926,2.260896643202261,1.977797888576962,4.7000003,3.3,0.0,0.5993326935081703,0.5820492084746477,1.9207623879663371,False,
2004-01-12,67.02033333333333,2.020548893339079,10.760124999999995,,197.29402083333332,0.07666666666666667,16.322309664051016,1.943882226672412,,,,17.176979166666666,-6.121020833333336,,62.662,53.62516666666667,12.171,23.186,,,,,,,204.03900514051148,73.422125,,0.8747847428247194,0.9908289957335126,64.22855473576939,54.81576155488256,1.1431383642688542,,9.41279318088683,2.200413528904148,1.924888182990448,4.2000003,3.0,0.0,0.6416293943301493,0.5192798922054195,1.5578396766162586,False,
2004-01-13,68.81991666666666,2.100873207277922,15.417791666666664,,179.06408333333331,0.07587708333333333,16.94802243843065,2.024996123944589,,,,17.787208333333332,-2.1999375000000017,,49.38054166666666,137.60656250000002,12.743,24.41,,,,,,,204.8172903123192,64.79833333333332,,0.8815873043181546,0.9760717102776988,57.12538800764255,43.533258613686975,1.1343176054167765,,13.592129393955572,1.735043173590123,1.5295920342809324,4.3,3.2,0.0,0.4779975107127914,0.5010477402352227,1.6033527687527127,False,
2004-01-14,62.65612499999998,2.0439663246288298,21.493624999999994,,203.39416666666668,0.08717083333333335,16.290188892374886,1.9567954912954968,,,,17.219062500000003,-5.44875,,47.20747916666666,173.17210416666663,11.513,24.805,,,,,,,205.62547043279918,68.70110416666665,,0.8815873043181546,0.9622990058982668,60.56602122597239,41.61751430219711,1.1343176054167765,,18.948506923775287,1.6577857514497432,1.4614828717576251,4.5,3.4,0.0,0.42984790345812507,0.5390378738624223,1.832728771132236,False,
2004-01-15,,2.12952007511556,38.547750000000015,,199.92033333333328,,,,,,,18.2379375,,,26.505375,,12.837,23.668000000000006,,,,,,,206.4631497747005,65.05312500000002,,0.8815873043181546,0.9475740177279244,57.35000910622196,23.366802096191808,1.1343176054167765,,33.983207010030156,0.9317006054323864,0.8213754251747302,4.1,3.1000001,0.0,0.2649598060254031,0.5358054816438129,1.6609970466763686,False,
2004-01-16,83.46872916666669,1.907024671006455,,,195.5813125,0.035804166666666665,16.019409067571033,1.8712205043397885,,,,16.588104166666668,0.40104166666666585,,,288.71187500000013,13.594,20.649,,,,,,,207.32991669770826,,,1.0936335686447516,0.9302235094935604,,46.60023952216525,0.9143830517558236,,,,1.6354710611287615,4.0,3.2,0.0,,0.511084706602738,1.6354710611287615,True,1.6354710611287615
2004-01-17,75.67122916666666,2.083394096381148,20.022208333333328,,196.4100833333333,0.05860625000000001,16.930539952587075,2.024787846381148,,,,17.654458333333334,1.0974166666666645,,50.57933333333333,105.72506249999996,11.933,23.583,,,,,,,208.22534379508159,70.60154166666666,,1.4775261322256283,0.9153074183241944,104.31562278791651,74.73228675055078,0.6768069803907151,,29.583336037365747,1.7769376359475029,2.6254717924476654,4.3,3.2,0.0,0.8204599351398953,0.559378894055607,1.7900124609779426,False,
2004-01-18,86.81599999999997,2.501500616694026,11.698270833333336,17.612083333333327,120.284375,0.03657916666666668,20.343978713551373,2.4649214500273584,65.83597916666666,,380.7914583333333,20.952041666666673,5.767708333333334,417.6283333333334,28.95635416666666,159.2933541666667,18.289,25.54,,,,,,,209.1489880539869,40.654625,60.06827083333333,1.4775261322256283,0.9048672003751856,60.06827083333333,42.783769975230456,0.6768069803907151,0.6768069803907151,17.284500858102874,1.0205164630377683,1.5078397425047725,3.2,2.6000001,17.1,0.5799383401965148,0.611172142281879,1.5890476310500996,False,
2004-01-19,89.44479166666662,2.3340926780498976,18.813145833333326,,111.936875,0.0265,19.352958693919607,2.3075926780498976,,,,19.891645833333328,3.674020833333333,,23.70758333333333,255.74899999999997,17.497,23.559,,,,,,,210.10039103007236,42.520729166666655,,1.4775261322256283,0.8948836831564578,62.82548850503845,35.02857390691677,0.6768069803907151,,27.796914598121692,0.8346802356392566,1.2332618602092469,3.1000001,2.5,0.0,0.4933047440836987,0.6832581035735482,1.7081452589338706,False,
2004-01-20,80.0658958333333,1.7786586322661444,43.87679166666667,,216.23354166666664,0.03720625000000001,14.959091168908856,1.741452382266144,,,,15.55775,-8.289874999999999,,54.83625,266.40262500000006,11.841,18.452,,,,,,,211.0790790368017,98.71304166666668,,1.4775261322256283,0.8872760561229177,145.85109865397732,81.02199236825761,0.6768069803907151,,64.82910628571969,1.9226203104861397,2.840721751091022,5.2000003,3.7,0.0,0.7677626354300059,0.6971041676205972,2.57928542019621,False,
