date,lw_in,ws,es,sw_out,LE,H,wd,t_avg,sw_in,Rn,t_dew,vpd,rh,vp,lw_out,G,t_min,t_max,H_subday_gaps,ppt,LE_subday_gaps,G_subday_gaps,Rn_subday_gaps,rso,flux,energy,flux_corr,ebr,ebr_corr,LE_corr,ebc_cf,ebr_5day_clim,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2017-10-04,-54.34958333333336,0.8136666666666669,3.2332197294815312,36.252541666666666,86.68535066195835,7.7470715546458315,145.46562500000005,25.056874999999994,193.12222916666667,111.93083333333334,,75.02112638710416,79.53208333333333,-71.78790665762263,-9.410729166666664,-1.5950552916666672,21.22,32.01,0.0,0.0,0.0,0.0,0.0,235.87202325635158,94.43242221660415,113.525888625,111.18614767760886,0.8318139885126502,0.8493182306344209,102.06462964677729,1.1774149711269275,0.8444450645350183,9.121518030831568,3.0672001828785134,3.611367414764412,6.3,4.6,0.0,0.785079889051188,0.932975242684992,4.291686027375509,False,,
2017-10-05,-60.55875000000001,0.7610416666666664,3.2461480241733263,41.25062500000001,109.49082177429169,13.591466353979163,159.95833333333331,25.01458333333333,224.27727083333332,133.045125,,91.9941262043,75.75604166666666,-88.74797818012662,-10.577229166666664,-0.17163801458333205,19.86,30.59,0.0,0.0,0.0,0.0,0.0,233.86978451829705,123.08228812827086,133.21676301458334,135.78107418148522,0.9239249276368992,0.9064760230410231,120.78733357665062,1.103173139257699,0.8533399927977602,14.993740604834596,3.87397102221094,4.273660773965801,5.4,3.9,0.0,1.095810428066968,0.9376025475858826,3.656650025001689,False,,
2017-10-06,-50.58395833333334,0.3317083333333334,3.1859996101356427,36.899333333333345,94.71650995350001,20.383855043458336,186.87327083333332,24.613124999999997,205.9269375,128.28533333333328,,77.97418560064169,80.608125,-74.78818599050602,-9.8416875,1.322656911041669,19.07,31.78,0.0,0.0,0.0,0.0,0.0,231.87021438079387,115.10036499695832,126.96267642229162,126.96267642229161,0.9065685147824236,0.9065685147824236,104.47804926937259,1.103060589127122,0.8619410260475536,22.484627152919007,3.3499305249482427,3.6951763383843375,6.2000003,4.4,0.0,0.8398127859758066,0.9641758130578624,4.242373669405566,False,,
2017-10-07,-49.545625,2.036083333333333,2.998756193433985,40.27172916666665,96.99694142806247,0.3807805188541663,105.80762500000002,23.73958333333333,217.9809375,132.44633333333334,,67.74809221713123,79.99020833333334,-64.74933602369728,-4.28275,1.4850206770833327,19.38,29.6,0.0,0.0,0.0,0.0,0.0,229.8740936956734,97.37772194691664,130.96131265625002,107.41352733862296,0.7435609797415191,0.9065685147824236,106.99350335516752,1.103060589127122,0.8706195691377971,0.42002398345540776,3.427690892357884,3.7809507350699576,7.0,4.8,1.9,0.7876980385059333,1.0170948365122106,4.882055409254054,False,,
2017-10-08,-68.56072916666669,2.7730624999999995,2.3738444956631435,44.2725,152.33666620145834,-28.852191772166663,88.82845833333334,20.01416666666667,232.03514583333333,121.90405208333333,,94.16904996104164,61.674375,-91.7952054653785,-2.7021354166666662,-9.293084791666667,16.1,25.0,0.0,0.0,0.0,0.0,0.0,227.88220618862744,123.48447442929168,131.19713687499998,136.2108571120275,0.9412131801850474,0.9065685147824236,168.03657276584238,1.103060589127122,0.8843665410971521,-31.82571565381486,5.3639965164275045,5.916813157486353,4.4,3.3,0.0,1.792973709994546,1.048856097159019,3.4612250706114067,False,,
2017-10-09,-77.96895833333333,2.1294166666666667,2.2865153080422194,45.26166666666666,135.51385038835414,-25.115239546604172,39.30441666666668,19.235208333333336,231.39589583333336,111.18628125,,92.77906514791664,62.66729166666665,-90.49254983987444,-3.0210104166666665,-7.773968458333332,13.23,25.52,0.0,0.0,0.0,0.0,0.0,225.89533781448674,110.39861084174996,118.96024970833332,121.77635671391657,0.9280294141314028,0.9065685147824236,149.47998764426256,1.103060589127122,0.893993325540654,-27.703630930345987,4.76806686148058,5.259466641222276,5.8,4.2000003,12.900001,1.2522538768927542,1.0530577319551406,4.422842775493825,False,,
2017-10-10,-71.20947916666665,2.0892500000000003,2.2038890155713795,41.470229166666655,118.73405819445831,-13.228259531416665,49.53379166666666,18.774895833333336,215.56460416666664,105.09295833333334,,82.50848447125,65.14375000000001,-80.30459545567865,-2.2080625,-7.048544685416667,15.28,24.28,0.0,28.14319999999999,1.0,0.0,0.0,223.9142761097488,105.50579866304165,112.14150301875002,115.27580074102532,0.9408273995168508,0.9152467212096612,129.7290178079307,1.0926015650493914,0.9003134521887748,-14.453217066905374,4.175820240329542,4.562507729948983,4.4,3.4,0.0,1.3419140005806152,1.0110357555831924,3.4375216654027367,False,,
2017-10-11,-53.63208333333333,2.027270833333333,2.473152293032721,29.75797916666667,69.26260000570835,5.025180261020833,105.25479166666666,20.1915625,159.420625,79.3023541666667,,89.87097510208332,66.05624999999999,-87.39782280905062,-3.2717916666666667,-0.5134747354166662,13.32,27.87,0.0,0.9652,0.0,0.0,0.0,221.93980954365142,74.28778026672919,79.81582890208338,80.22636259573977,0.9307399458052876,0.9259771708841512,74.79946826288852,1.0799402311886044,0.9023099044820656,5.4268943328512504,2.439253667343881,2.634248169439002,3.4,2.7,0.0,0.9756474529320392,0.9655517092583062,2.6069896610385204,False,,
2017-10-12,-39.86864583333333,2.0792083333333333,2.5269229852972033,28.544895833333324,76.57319926000002,5.5112499318124994,129.5041666666667,21.03375,153.50831249999996,87.43509375000002,,82.57682068645833,68.06958333333333,-80.04989770116111,-2.3403229166666666,0.4817773229166671,15.96,24.92,0.0,0.0,0.0,0.0,0.0,219.97272686908875,82.08444919181251,86.95331642708334,88.64629903719525,0.9440059627932222,0.9259771708841512,82.69447851169548,1.0799402311886044,0.9040254235660888,5.951820525499772,2.698901931775354,2.9146527761568466,3.1000001,2.6000001,0.0,1.121020236843698,0.9619092876602328,2.5009642855188323,False,,
2017-10-13,-34.29852083333333,2.1803333333333317,3.1057365337222285,27.88708333333333,58.60997132502086,20.65523832289584,137.72708333333335,24.3875,155.30729166666669,94.741125,,105.80987599895832,68.15687500000001,-102.7041394652361,-1.6194375,10.355694616666666,21.03,30.64,0.0,0.0,0.0,0.0,0.0,218.01381647465928,79.26520964791669,84.38543038333334,85.41238934986305,0.9393234031970058,0.9280294141314028,63.1552948996529,1.0775520525240665,0.8917378874359109,22.25709445021016,2.0724636848621825,2.2331874974048342,5.2000003,3.8,0.0,0.5876809277441168,0.8459191077746987,3.2144925692072888,False,,
