date,rh,theta_14,g_4,theta_6,theta_3,g_5,theta_11,g_3,theta_15,G,theta_4,theta_24,sw_out,theta_16,theta_17,theta_25,Rn,theta_7,theta_8,theta_23,lw_in,theta_20,H,sw_in,theta_22,g_2,theta_1,theta_26,theta_5,theta_27,theta_13,lw_out,LE,g_1,ws,wd,theta_12,theta_21,theta_18,theta_28,t_avg,theta_mean,theta_10,theta_9,theta_19,theta_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2010-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,167.61161151735095,,,1.3373182499913654,0.7477651636074335,,,0.7477651636074335,,,,,2.2,1.5,0.0,,,,False,
2010-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,169.79140980419808,,,1.3423015381325722,0.7449890889577712,,,0.7449890889577712,,,,,2.4,1.6,0.0,,,,False,
2010-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,171.99326765318844,,,1.3482472109764183,0.7417037408709245,,,0.7417037408709245,,,,,2.6000001,1.7,0.0,,,,False,
2010-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,174.21641324874747,,,1.3530610639818048,0.7390649443840972,,,0.7390649443840972,,,,,3.3,2.2,0.0,,,,False,
2010-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,176.46006171223198,,,1.3568470137557729,0.7370027643956596,,,0.7370027643956596,,,,,2.5,1.7,6.1,,,,False,
2010-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,178.72341566535408,,,1.3597736143016643,0.7354165351366725,,,0.7354165351366725,,,,,2.2,1.5,1.3000001,,,,False,
2010-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,181.00566581591113,,,1.3628070302029764,0.7337796018347954,,,0.7337796018347954,,,,,3.0,2.1000001,1.0,,,,False,
2010-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,183.30599156449685,,,1.3662573090359758,0.7319265510137288,,,0.7319265510137288,,,,,2.3,1.6,1.3000001,,,,False,
2010-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,185.623561630823,,,1.3691438671029548,0.7303834345151425,,,0.7303834345151425,,,,,2.7,1.9,0.0,,,,False,
2010-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,187.95753469824302,,,1.3730566586108657,0.7283020651250542,,,0.7283020651250542,,,,,3.0,2.1000001,0.0,,,,False,
