date,lw_in,sw_in,es,ws,wd,Rn,t_dew,H,sw_out,lw_out,vp,LE,vpd,rh,G,t_avg,t_min,t_max,LE_subday_gaps,H_subday_gaps,Rn_subday_gaps,G_subday_gaps,ASCE_ETo,rso,flux,energy,flux_corr,ebr_5day_clim,LE_corr,H_corr,ebc_cf,ebr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2016-05-20,300.55322770833334,335.09460520833323,1.668796387609218,5.2032833125,253.0928241875,186.7532852083333,7.176561431887077,86.4529624583334,52.7628625,396.13168520833335,1.0298142396925516,99.96724285416668,0.6389821479166666,61.53404166666667,-5.143177083333334,14.430450395833338,10.271886,18.835095000000006,0,0,0,0,4.895286874900179,351.2076274489263,186.4202053125001,191.89646229166667,203.43628928267867,0.8885373225817922,109.0920638242017,94.34422545847694,1.0912781098038926,0.9714624390998771,0.9163566931436976,3.501181958869015,3.820763230154069,8.1,5.8,0.0,0.6587522810610464,0.6798514023528004,3.9431381336462414,False,
2016-05-21,325.97322841666664,254.69900000000004,1.6561433065315831,3.2069809583333337,252.24617010416665,147.616161875,9.329688624248073,60.90835483333333,41.21002291666665,391.84604362500005,1.1910281877815831,68.71693758333335,0.46511511875,72.33966666666667,-2.105642395833334,14.335373416666668,10.729646,18.685382,0,0,0,0,3.71588050415098,351.9972522954496,129.6252924166667,149.72180427083333,141.45724409123687,0.8883805558487453,74.98928975745206,66.46795433378479,1.0912781098038926,0.8657743142220364,0.9163566931436976,2.406474409761625,2.6261328451761043,5.5,4.0,0.0,0.6565332112940261,0.6732071201926332,2.6928284807705327,False,
2016-05-22,329.5267749375,286.74538333333334,1.7289139512273486,3.6600765624999987,257.26753208333326,175.31321333333335,9.473275605567697,68.80465320833332,43.58264791666666,397.37629702083336,1.2021001074773492,86.24375427083334,0.5268138437500001,70.94558333333335,-1.7120684375,14.915279,10.237411,19.894385,0,0,0,0,4.157949336807605,352.7595070250145,155.04840747916666,177.02528177083335,169.77301534197,0.8883128167186519,94.43413482939937,75.33888051257061,1.0949678110352847,0.8758546006998217,0.913268855871212,3.0219424197893696,3.308929676471438,6.3,5.0,0.0,0.6617859352942876,0.6713991193007735,3.3569955965038667,False,
2016-05-23,329.0995899166666,330.0792333333333,1.9239908297724624,3.5929400833333336,249.76165316666663,204.90802625000003,10.236957602132646,83.03033458333331,46.77699583333335,407.49380116666674,1.2674396714391285,97.09299375,0.6565511583333333,67.307,0.8991655208333343,16.482698125,11.683381,22.329527,0,0,0,0,5.046404880897585,353.49438892940555,180.12332833333332,204.00886072916668,198.8469238318184,0.8888285773544947,107.1856894465158,91.66123438530256,1.1039487537329726,0.8829191422840069,0.9058391493432348,3.4072084739625565,3.761383548539389,6.7000003,5.0,0.0,0.7522767097078777,0.6533618432504626,3.266809216252313,False,
2016-05-24,326.06733468750014,314.2450483333334,1.900925740573204,3.616952625,250.4393414375,187.58224770833328,11.646899279524126,81.50688554166666,47.33792791666667,405.3922073958333,1.3922459384898696,89.77858695833334,0.5086798020833333,73.691625,0.6621610416666673,16.428841437500004,12.602642,21.524224,0,0,0,0,4.588441540784284,354.20189870179206,171.2854725,186.9200866666666,189.09038389893837,0.8897690039251505,99.1109591845594,89.97942471437892,1.1039487537329726,0.9163566931436976,0.9058391493432348,3.150367016113333,3.4778437412397785,7.2000003,5.5,0.0,0.6323352256799596,0.6550019902811978,3.602510946546588,False,
2016-05-25,337.9192302083333,321.88442729166667,1.9990902159641075,4.194665250000001,253.08502254166663,202.3474408333334,12.25562026492926,93.6039992916667,47.412908958333304,410.04330770833326,1.4514268034641076,89.55729041666667,0.5476634125000001,72.89304166666666,1.791724375,17.215044687499994,13.615529,22.70923,0,0,0,0,4.9899499837057935,354.8820401529821,183.16128970833336,200.5557164583334,200.55571645833342,0.8901793349678054,98.06235024978879,102.49336620854464,1.0949678110352847,0.913268855871212,0.913268855871212,3.1449725803807858,3.44364374210554,7.3,5.7000003,0.0,0.6041479931335336,0.6619191731596901,3.772939485585985,False,
2016-05-26,330.19974768749995,341.19527499999987,2.2160535593517263,3.4777030625,251.55811000000003,203.55185333333338,12.335051031559301,77.48482316666667,51.29095208333333,416.5522172708333,1.4623962489350586,100.19431133333336,0.7536573104166665,67.474625,2.506701875000001,18.5636868125,13.041878,26.429439,0,0,0,0,5.8331184178038695,355.5348199391861,177.67913450000003,201.0451514583334,196.14865909562823,0.8903754462331457,110.6093851275668,85.53927396806144,1.1039487537329726,0.8837772670027509,0.9058391493432348,3.52307105286952,3.889289898128018,8.3,6.4,0.0,0.6077015465825027,0.645855542128699,4.133475469623674,False,
2016-05-27,345.2464214166667,338.34764583333333,2.689079351383361,2.8851331458333336,257.2918799375,203.28207791666668,12.59245374601792,60.05718260416666,49.79397083333334,430.51801850000015,1.4852649701333622,117.09868889583332,1.20381438125,58.83508333333334,3.57945,21.329348333333336,13.48633,30.145619,0,0,0,0,6.4697341764690375,356.16024730145415,177.15587150000002,199.70262791666667,195.5710035589037,0.8907119137381444,129.2709516703203,66.30005188858335,1.1039487537329726,0.8870983489207005,0.9058391493432348,4.1284402871661845,4.5575865098781065,8.8,6.8,0.0,0.6702333102761919,0.6204979985456394,4.219386390110348,False,
2016-05-28,345.3178452708333,334.75741270833333,2.962438431261372,2.0269515625000003,199.36796204166663,195.171916875,10.770981411782444,50.9444216875,49.7025625,435.2007786041667,1.3197674729280384,130.18203139583332,1.6426709583333334,47.80141666666668,2.798473125,23.141894604166666,16.175431,31.082974,0,0,0,0,6.491529602221162,356.75833381688966,181.12645308333333,192.37344375,199.9543221494196,0.8915763949211591,143.7142913178569,56.240030831562656,1.1039487537329726,0.9415356379372054,0.9058391493432348,4.59773638288537,5.07566534987905,9.5,7.2000003,0.0,0.7049534914434725,0.6261728258085933,4.508444533673719,False,
2016-05-29,334.30393635416664,342.17178750000016,2.4275081716356044,4.444928770833334,262.44643979166665,200.082854375,12.69101045698863,71.77606152083334,53.18452500000001,423.20834447916667,1.4957809174689378,108.27528404166662,0.9317272541666664,61.89408333333333,1.3153958333333318,20.111082416666672,14.963014,27.548431,0,0,0,0,6.5687579051861045,357.329093161688,180.0513455625,198.76745854166663,197.15042772452824,0.8917311680775828,118.5579507563274,78.59247696820083,1.0949678110352847,0.9058391493432348,0.913268855871212,3.812886456854323,4.174987937387861,10.3,7.6,0.0,0.5493405180773502,0.619608564876548,4.709025093061765,False,
