date,rh,es,H,sw_in,vpd,t_dew,vp,theta_2,Rn,theta_1,ws,t_avg,theta_mean,G,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2004-01-21,67.95583333333333,0.8156095306089521,35.570648809523796,133.2473125,,,,0.0884375,48.88679166666667,0.05458333333333334,2.8766071428571416,3.9542291666666656,0.07151041666666666,,23.59425446428572,,0.985,6.9110000000000005,0.0,48.0,21.0,1.0,21.0,,178.23933109671657,59.16490327380953,,0.9379116912863013,1.0661984590772589,55.49145449432911,22.129327109237586,1.0661984590772589,,33.362127385091526,0.8181454371801203,0.7673481707037768,2.6000001,1.8000001,1.2,0.4263045155962918,0.21936721098147935,0.394861001703384,False,
2004-01-22,35.667916666666656,0.9705277887122796,,183.8864166666667,,,,0.08789583333333333,61.97749999999999,0.054833333333333324,,6.453479166666664,0.07136458333333336,,,,3.989,9.38,0.0,48.0,11.0,0.0,11.0,,179.44423723019162,,,0.9311207631462936,1.0739745472122872,,16.409340009432174,1.0739745472122872,,,,0.5703547704885674,4.1,2.6000001,0.3,,0.21936721098147935,0.5703547704885674,True,0.5703547704885674
2004-01-23,41.04437499999999,1.07792063296322,52.70032291666666,172.39291666666665,,,,0.08799999999999998,57.76291666666666,0.054291666666666655,2.7496875000000007,7.959624999999999,0.07114583333333334,,12.820052083333335,,5.4270000000000005,11.34,0.0,48.0,7.0,0.0,7.0,,180.6812978119024,65.520375,,0.9235956919133886,1.0827248424343845,60.51433608254969,11.840544874271929,1.0827248424343845,,48.67379120827776,0.4462368991811195,0.4121424776564711,3.0,2.0,0.0,0.20607123882823555,0.2412525155943172,0.4825050311886344,False,
2004-01-24,75.10041666666667,0.7901973572649963,48.88627083333333,96.51670833333333,,,,0.08624999999999998,38.2273125,0.05260416666666667,2.4734375,3.5229166666666685,0.0694270833333333,,5.047072916666667,,1.134,6.707000000000002,0.0,48.0,9.0,0.0,9.0,,181.9500347610883,53.93334374999999,,0.9195676961406576,1.0874675178313784,49.595360657349616,4.6411252142330754,1.0874675178313784,,44.95423544311655,0.17493889357640113,0.16086815533144685,3.1000001,2.1000001,0.0,0.07660387984336138,0.24833111615991146,0.5214953687689257,False,
2004-01-25,90.3637708333333,0.7823566271118809,,114.35060416666666,,,,0.08522916666666662,60.15035416666668,0.052395833333333364,,3.3408750000000005,0.06881250000000004,,,,1.217,7.77,0.0,48.0,28.0,1.1,28.0,,183.2499543515247,,,0.9190661259038198,1.088060991276976,,10.587301021261842,1.088060991276976,,,,0.3669079997252461,2.6000001,1.8000001,0.0,,0.2038377663008164,0.3669079997252461,True,0.3669079997252461
2004-01-26,66.20002083333333,0.8838432736850891,71.13396458333331,183.53779166666664,,,,0.08437499999999998,74.54960416666664,0.05191666666666669,1.5232708333333334,4.975395833333333,0.06814583333333334,,15.605827083333335,,1.197,9.7,0.0,48.0,16.0,0.0,16.0,,184.5805472906745,86.73979166666666,,0.9105070512853586,1.0982891330586673,78.97719193952298,14.209215600515025,1.0982891330586673,,64.76797633900796,0.5416658776802087,0.4931906010685026,2.1000001,1.5,0.0,0.3287937340456684,0.2148909850503677,0.3223364775755515,False,
2004-01-27,56.49499999999998,1.0020219911579813,88.85616041666668,188.0795,,,,0.08429166666666668,87.20524999999998,0.05168750000000003,1.3231875,6.760604166666668,0.06798958333333327,,14.977870833333334,,3.372,11.27,0.0,48.0,15.0,0.0,15.0,,185.94128881917243,103.83403125,,0.6655757760181054,1.1102249425246709,69.10941592630697,9.968908002994779,1.5024585269353274,,59.14050792331218,0.520751766688055,0.3465997612262016,2.3,1.7,0.0,0.2038822124860009,0.2170959216059007,0.3690630667300312,False,
2004-01-28,78.06708333333333,0.9533254440716306,,161.84227083333332,,,,0.08420833333333334,86.25922916666666,0.05114583333333336,,6.162395833333332,0.06767708333333332,,,,3.747,9.87,0.0,48.0,25.0,1.5,25.0,,187.3316388312961,,,0.6655757760181054,1.12273110529749,,13.671676884714456,1.5024585269353274,,,,0.4750679103408051,2.5,1.8000001,0.0,,0.2639266021934138,0.4750679103408051,True,0.4750679103408051
2004-01-29,40.69541666666667,1.2067008993890618,82.44671874999997,191.4730833333333,,,,0.08352083333333334,67.56083333333332,0.05152083333333336,2.521145833333333,9.472479166666668,0.06752083333333332,,24.56959375,,4.533,15.12,0.0,48.0,12.0,0.0,12.0,,188.751042017007,107.01631249999998,,0.6655757760181054,1.1375282401483593,71.22746523878355,16.352926426605833,1.5024585269353274,,54.87453881217772,0.8564441685620393,0.5700284921068602,3.3,2.2,0.0,0.25910386004857283,0.274599906575713,0.6041197944665686,False,
2004-01-30,56.56520833333333,1.1195226420255586,,192.83002083333332,,,,0.08339583333333335,84.62204166666673,0.05127083333333336,,8.323166666666667,0.06733333333333336,,,,2.261,12.89,0.0,29.0,29.0,0.0,29.0,,190.19892802607532,,,0.7667443848012645,1.1522035411432112,,17.68204457259343,1.3042156158198588,,,,0.6156847138057467,3.6000001000000004,2.4,0.0,,0.2565352974190612,0.6156847138057467,True,0.6156847138057467
2004-01-31,86.45020833333334,0.780708332232328,,81.71604166666667,0.0127875,2.9574505163097093,0.7679208322323281,0.08206249999999997,33.70756249999999,0.049916666666666665,,3.335437499999998,0.06598958333333334,-3.5856041666666663,,,1.2009999999999998,6.574,0.0,0.0,8.0,0.0,8.0,,191.6747116547274,,37.29316666666665,0.8108436335567349,1.1668478384167935,,16.32430401930608,1.2332834083108448,,,,0.5657236797711827,3.0,2.0,0.3,,0.2828618398855913,0.5657236797711827,True,0.5657236797711827
2004-02-01,60.936041666666654,0.9134721065618684,103.96433333333331,194.47822916666664,0.037575,4.686200966603045,0.8758971065618687,0.080875,80.12358333333337,0.0491875,1.5042708333333332,5.416104166666666,0.06503124999999997,-2.946145833333333,20.84448958333333,,1.81,10.42,0.0,0.0,15.0,0.0,15.0,1.3913307990592656,193.1777930551817,124.80882291666666,83.0697291666667,0.8048895677600229,1.1658548155061104,100.45731953003308,16.777512210907467,1.2424064617745785,1.5024585269353274,83.67980731912563,0.7237982461299023,0.5825776574729598,2.7,1.9,0.0,0.30661981972261043,0.3518954673605585,0.6686013879850612,False,
2004-02-02,65.83085416666667,0.9180201500363816,,162.8500208333334,0.034689583333333315,4.8373524505669065,0.8833305667030481,0.08029166666666664,82.28779166666669,0.04843750000000002,,5.514395833333333,0.06436458333333332,-0.9775208333333336,,,2.006,10.02,0.0,0.0,15.0,1.7,15.0,,194.7075579683629,,83.26531250000002,0.8048895677600229,1.1577251579726795,,27.678243463794217,1.2424064617745785,,,,0.9611812569585294,3.5,2.4,0.0,,0.4004921903993873,0.9611812569585294,True,0.9611812569585294
2004-02-03,99.75833333333333,0.6493221618965649,,46.46012500000001,0.0005458333333333333,0.6461663918091022,0.6487763285632315,0.14979166666666666,26.009104166666663,0.10608333333333336,,0.8123333333333332,0.1279375,-11.224333333333336,,,-0.5760000000000001,2.827,0.0,0.0,33.0,10.3,33.0,,196.26337798000682,,37.2334375,0.8048895677600229,1.1508027562727146,,17.00796925044651,1.2424064617745785,,,,0.5880113159990997,2.3,1.6,9.6,,0.3675070724994373,0.5880113159990997,True,0.5880113159990997
