date,rh,es,H,sw_out,sw_in,vpd,t_dew,vp,Rn,ws,lw_in,t_avg,G,lw_out,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2016-10-12,69.60533208333335,0.9589027249312501,,19.702504697916673,80.0767525,0.28676664770416666,0.8288993718680852,0.6721360772270831,37.75163955624999,3.5703951729166663,324.94092500000005,6.3024815000000025,-10.0677650380625,346.862075,49.82047294979167,327.4576333333334,4.3761410000000005,9.13772,0.0,0.0,7.0,0.0,0.0,1.6187178866376841,178.2722121700584,,47.819404594312495,1.1654381892275605,0.8311909927532142,,58.062681781065855,0.8580463633706641,,,1.7314084347685892,2.0178495110300294,1.9,1.3000001,0.0,1.5521918121621907,0.9906581968486724,1.2878557549690937,False,
2016-10-13,61.22687062500001,0.9632169458197782,14.065208031250002,47.10119127083333,176.96255562500005,0.4007671594020834,-1.3366166996018891,0.5624497864176949,55.01187135416668,2.1391867375,267.17203958333334,6.0257584870833325,-12.76310732802083,340.7801229166667,47.322403678895824,186.50588750000009,-0.4155206,11.90701,0.0,0.0,1.0,0.0,0.0,1.810356002296184,176.0256527610368,61.387611710145826,67.77497868218751,1.1654381892275605,0.8409570937326675,71.54346703247694,55.15133645342801,0.8580463633706641,0.9057562673388138,16.392130579048942,1.644161077421383,1.916168108868412,2.9,2.0,0.0,0.958084054434206,0.927635226666734,1.855270453333468,False,
2016-10-14,72.715979375,1.4050787244095035,-24.0034995625,28.93553837083333,111.64957627083336,0.38671714346249997,6.459942366031151,1.0183615809470032,29.71553585625,5.149912812500001,316.9777,11.407554291666667,-5.407102660541666,368.8914625,45.22057611583333,170.33463125,4.877357,16.57253,0.0,0.0,4.0,0.0,0.0,1.9859248328736052,173.79637446560662,21.217076553333328,35.12263851679166,1.2359763865499496,0.8435520886922121,26.223805611542588,55.89156426535462,0.8090769458722074,0.6040854972552739,-29.66775865381204,1.5792046652734544,1.9518596758075069,3.6000001000000004,2.4,0.0,0.8132748649197945,0.8812126834507591,2.1149104402818213,False,
2016-10-15,74.870724375,1.99048594171961,-26.422442770833346,8.073074075208334,32.46518689583333,0.5032978652083332,12.48400330408777,1.4871880765112775,1.9720130124999995,3.647712633333333,371.79737499999993,17.239811229166666,6.599019477541669,393.6676854166667,25.82903124560417,232.18297916666668,9.783449,20.15392,0.0,0.0,0.0,0.0,0.0,1.193431337831947,171.58516218846717,-0.5934115252291754,-4.627006465041668,1.2359763865499496,0.8374338677799347,-0.7334426326898544,31.924072707027577,0.8090769458722074,0.12824955610340422,-32.657515339717435,0.9070565366182319,1.1211004605259145,2.1000001,1.5,0.0,0.7474003070172763,0.8860128039663925,1.3290192059495889,False,
2016-10-16,69.58235916666665,1.6862684322794947,,31.209266113750004,120.27621996041668,0.6038422458187499,7.576151718913209,1.0824261864607447,50.79879325416666,2.0025421770833334,340.46224375,13.989636083333332,-4.266993038729166,378.12343958333327,26.06160823522916,128.54116145833328,4.878119,20.34333,0.0,0.0,22.0,0.0,0.0,1.8793540093637915,169.39279083483402,,55.06578629289583,1.1662941821933837,0.8356343481273608,,30.39550206335094,0.8574166066055106,,,0.9123784014510868,1.0641016215713015,2.7,1.9,0.7,0.5600534850375273,0.8048823153508077,1.5292763991665346,False,
2016-10-17,84.44058770833334,2.042892794593434,,18.629097086041675,75.19071381520833,0.3326771500916665,14.632192015644918,1.7102156445017669,36.50364109166666,2.32802509375,383.8137208333335,17.609106249999996,8.697816359437505,403.65145833333327,18.330939001541665,138.86881390083332,11.93571,22.16136,0.0,0.0,19.0,0.664,0.0,1.3902349626851807,167.22002472845594,,27.805824732229155,1.2359763865499496,0.8369037811164234,,22.65660774919301,0.8090769458722074,,,0.6439688927442466,0.7959303451046058,2.0,1.5,13.900001,0.5306202300697372,0.8410975309259442,1.2616462963889161,False,
2016-10-18,72.9590879166667,1.5151683493551749,,42.96480257083332,160.91694379791667,0.4457822071770834,7.672893557367531,1.0693861421780912,50.71340608333333,2.3509511645833334,308.3306458333332,12.959154229166666,-1.8665937806666664,374.57865,58.66800093727084,259.29861987500004,9.04452,17.87473,0.0,0.0,7.0,38.899,0.0,2.016989011609456,165.06761704748538,,52.579999863999994,1.1662941821933837,0.8381732141054864,,68.42414817405498,0.8574166066055106,,,2.0518572818263645,2.39306921048522,3.4,2.3,0.0,1.0404648741240086,0.8850302934190566,2.0355696748638303,False,
2016-10-19,73.20954875,1.136123710573002,3.3226095000000013,35.56656568749999,135.60052618749998,0.3087989518729166,3.9639728897750683,0.8273247587000853,34.62327889583333,2.29230805625,289.9627312500001,8.726753833333335,-9.190530019125001,354.2109666666667,43.509643364437494,261.4034490687499,5.219361,12.37362,0.0,0.0,2.0,0.0,0.0,1.4682662332601595,162.9363092795113,46.83225286443749,43.81380891495832,1.1040497715109188,0.8496156105378766,51.70513807432378,48.036811815028784,0.9057562673388138,1.0688925255354516,3.668326259295009,1.5155777477860886,1.6732732661502645,2.4,1.7,0.0,0.9842783918530966,0.8795929005328338,1.4953079309058177,False,
2016-10-20,63.43338229166667,0.9246044065707054,16.335299093750002,42.14854266875001,156.92020871875,0.3589156436979167,-1.2170038154822225,0.5656887628727888,47.14893318749998,2.064332766666666,272.01162916666664,5.629241570833332,-12.837940972750006,338.83804791666665,47.85790170735417,215.47796741666667,0.9908974,9.623878,0.0,0.0,1.0,0.0,0.0,1.4599533356290166,160.82683069702657,64.19320080110417,59.986874160249975,1.1662941821933837,0.8610580069702668,74.86815663069946,55.81639233326997,0.8574166066055106,1.0701207839171172,19.051764297429482,1.6621405912276304,1.9385449015362568,2.3,1.6,0.0,1.2115905634601605,0.9273548038753454,1.4837676862005529,False,
2016-10-21,66.060615,1.0014872912580548,3.070555552083336,32.97158737291666,127.51320965625004,0.3732455827666666,0.21149145846320985,0.6282417084913879,39.872357375,2.0595150395833333,291.1121520833332,6.600338224999999,-12.4802288030625,344.76385,39.286714981375006,165.96437625000004,-0.6565713000000001,11.39199,0.0,0.0,3.0,0.0,0.0,1.3625588931766994,158.7398978545621,42.357270533458355,52.352586178062495,1.3130748089755724,0.8623846905743435,55.61826491444746,51.58639576944675,0.7615712320154665,0.8090769458722074,4.031869145000709,1.3657155795971812,1.7932867237945318,2.4,1.6,0.0,1.1208042023715823,0.9546062905542728,1.527370064886837,False,
