date,rh,sw_in,H,sw_out,Rn,theta_1,ws,lw_in,t_avg,G,lw_out,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2018-02-06,68.59833735979166,132.6589375,12.786319879354167,20.835083333333333,36.35033333333333,,2.9458434278541663,235.91458333333333,-0.446326790708333,,310.06666666666666,11.3353137464375,303.3805589104165,-3.647341231,1.961772533,0.0,48.0,0.0,0.0,0.0,151.4612964411778,24.121633625791674,,1.7663071157024293,0.5661529589673411,42.60621311560281,20.021645329052113,0.5661529589673411,,22.584567786550693,0.3914268815796899,0.6913800862114183,1.9,1.3000001,0.0,0.5318307946371837,0.5815010472758212,0.7559514196086723,False,
2018-02-07,58.19211159020833,123.70583333333332,-1.4108698832083393,18.9125625,24.55312500000002,,1.7905730367083332,245.33333333333331,4.644651415000001,,324.41875,13.909740935895831,241.80048383541663,1.188310989,8.123844561,0.0,48.0,0.0,0.0,0.0,153.318603910481,12.498871052687495,,1.7663071157024293,0.5661529589673411,22.076844878609034,24.568874392650176,0.5661529589673411,,-2.4920295140411453,0.4826446656853479,0.8524987073558501,2.6000001,1.7,0.0,0.5014698278563824,0.5207575831323824,0.88528789132505,False,
2018-02-08,47.30068632291668,92.5625,-13.182408145333333,15.457395833333333,10.794291666666664,,3.2353600138958334,272.99583333333334,7.543042534833332,,338.30208333333337,20.013213344604164,288.19699225200003,5.836447292999999,9.204212757999999,0.0,48.0,0.0,0.0,0.0,155.20639940040928,6.8308051992708325,,1.995520228192233,0.5011224571278401,13.631009949985625,39.936772060284355,0.5011224571278401,,-26.30576211029873,0.6963385897094545,1.3895577414360687,3.4,2.2,0.0,0.631617155198213,0.5231100835283442,1.1508421837623573,False,
2018-02-09,60.30244503354166,113.61604166666667,1.7187133489166697,19.2631875,10.672833333333337,,3.844130536208334,234.7,1.301295505,,316.87500000000006,13.2681467770625,307.10000733333334,-4.101431354,6.3056900360000006,0.0,48.0,0.0,0.0,1.0,157.12408569725227,14.98686012597917,,1.7268929990129431,0.5790746737473484,25.880703828739662,22.91266977918537,0.5790746737473484,,2.9680340495542867,0.4589275776362233,0.7925188208739627,2.8,1.8000001,0.0,0.4402882093584121,0.5093284719263064,0.9167913004001988,False,
2018-02-10,60.79843174750001,143.48910416666666,24.17222995918749,22.80543750000001,34.41827083333333,,3.9828054691874986,205.4625,-5.572414282583335,,290.55208333333337,10.3439451833125,298.9624323166667,-7.659924822000001,-3.436853144,0.0,48.0,0.0,0.0,0.0,159.07104810331347,34.5161751425,,1.6143728683171583,0.6194355837027986,55.721976668135106,16.698984455299655,0.6194355837027986,,39.022992212835454,0.3554738435969834,0.573867328499387,2.0,1.3000001,0.0,0.4414363725813459,0.4510102787782542,0.5863134075127584,False,
2018-02-11,54.74614548562499,47.65891666666667,,9.238208333333334,-10.2460625,,1.9431587569583328,248.6395833333333,-3.73561986775,,296.44166666666666,,192.02741627291664,-6.585721,-0.7104511290000001,0.0,48.0,12.0,2.9000000000000004,16.0,161.04665465287363,,,1.5902462933919117,0.6288334103688131,,15.527217310815587,0.6288334103688131,,,,0.5345210745616484,1.8000001,1.2,0.0,,0.4454342288013737,0.5345210745616484,True,0.5345210745616484
2018-02-12,85.388637435,107.781875,,50.093479166666654,63.35533333333333,,2.7447899566041674,281.59374999999994,-7.068731742604169,,275.1479166666667,,296.90562188333337,-8.566422,-5.021588,0.0,48.0,28.0,2.2,28.0,163.05025636124589,,,1.5753217374808597,0.6347909612414335,,10.21413302159633,0.6347909612414335,,,,0.35052025744522697,1.3000001,0.90000004,0.0,,0.3894669354072773,0.35052025744522697,True,0.35052025744522697
2018-02-13,60.31947506500003,158.46289583333333,-2.4400388200833327,49.85381250000001,36.301729166666654,,1.9917940715625009,203.87916666666672,-4.406545959041668,,275.13125,4.9065929570625,161.89086320375003,-8.237205089,-1.629408681,0.0,48.0,0.0,0.0,0.0,165.08118750648603,2.4665541369791675,,1.56552669679496,0.6387626618231805,3.8614563505309394,7.681402264587471,0.6387626618231805,,-3.819945914056532,0.16880185584035848,0.2642638117866155,1.6,1.1,0.0,0.2402398288969232,0.4487915074197992,0.4936706581617791,False,
2018-02-14,72.4828810325,68.192625,-3.9337778465625006,37.405395833333344,0.8187291666666604,,3.066381691833333,265.93125,-3.036656770479167,,295.3208333333333,11.463006967276785,255.380121725,-6.425496,-1.066239988,0.0,48.0,0.0,4.8,4.0,167.13876594323426,7.529229120714282,,1.5591579514371194,0.64137183732942,11.739257451753588,17.872638460408695,0.64137183732942,,-6.133381008655112,0.39487115346784096,0.6156664987225313,2.0,1.3000001,7.5,0.4735895779719796,0.4829123668883738,0.6277861252461228,False,
2018-02-15,79.29278391895834,141.30454166666667,8.669147622791664,66.63241666666666,30.447979166666673,,2.763017807229167,230.72499999999997,-7.332793293583332,,274.1979166666667,6.596306862410714,297.06805656458334,-8.418741913,-5.941417557,0.0,48.0,0.0,0.0,2.0,169.22229344807408,15.265454485202374,,1.5544152942806464,0.6433287189590996,23.728855925943666,10.253400272699595,0.6433287189590996,,13.47545565324407,0.22631061951209655,0.35178068822773106,1.4,1.0,0.0,0.35178068822773106,0.5091711382287014,0.5091711382287014,False,
