date,H_qc_flag,vpd,vp,Rn_qc_flag,rh,LE_qc_flag,G,t_avg,es,LE,sw_in,t_avg_qc_flag,vpd_qc_flag,wd,G_qc_flag,t_dew,Rn,ws,H,t_min,t_max,H_subday_gaps,Rn_subday_gaps,G_subday_gaps,LE_subday_gaps,ppt,rso,flux,energy,ebr_5day_clim,LE_corr,flux_corr,ebr_corr,H_corr,ebr,ebc_cf,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2019-02-26,0.0625,0.5472759854166667,0.9972567383625286,0.0,65.99954891212639,0.0625,2.961492916666668,13.318799999999998,1.544532723779195,26.814368306250003,98.01325622916666,0.0,1.0,248.72320833333345,0.0,6.743425778984996,48.92355208333333,1.4649376998124999,7.243213310416665,9.8174,16.835,0.0,0.0,0.0,0.0,0.0,219.0969097086192,34.05758161666667,45.96205916666666,0.7429926421441112,38.043910785265176,48.32049674966055,0.7048268107240832,10.27658596439537,0.7409933809355185,1.4187882537735466,0.9381293658036564,1.3310069247222545,0.8,0.8,0.3,1.6637586559028181,0.6883405280857462,0.5506724224685969,False,,1.7070096612612387
2019-02-27,0.14583333333333334,0.34176715208333325,1.207155138099558,0.0,77.3022230120108,0.14583333333333334,7.5539614791666665,13.441770833333335,1.5489222901828918,29.91210108333333,125.2710965770833,0.0,1.0,199.41475,0.0,9.08237636184517,82.52637499999999,1.6815377397499995,21.383434766666678,10.587,16.160999999999998,0.0,0.0,0.0,0.0,2.032,221.13504538391015,51.29553585000001,74.97241352083333,0.7423855301951733,42.67152870399049,73.17636846411486,0.7009849890973334,30.50483976012436,0.6841921373619112,1.4265640713472505,1.0466299089582214,1.4930846241172422,5.0,3.3,0.0,0.45244988609613396,0.7584103527888476,2.5027541642031967,False,,1.6765780914289539
2019-02-28,0.14583333333333334,0.24896817291666676,1.342710569236468,0.0,85.981816011292,0.1875,11.603908333333328,13.765362499999995,1.5916787421531349,27.92613390625,213.57083625,0.0,0.9583333333333334,195.4926379166666,0.0,11.093037474910481,124.13357125,1.285785623,64.532800225,9.4222,17.723,0.0,0.0,0.0,0.0,0.0,223.18245065014895,92.45893413125,112.52966291666668,0.7417149711132173,39.62127075949466,131.17964970183957,0.7048268107240832,91.55837894234487,0.8216405500096454,1.4187882537735466,0.9774429774729206,1.3867846151720211,5.3,3.5,0.0,0.39622417576343455,0.8243985282219031,2.8853948487766607,False,,2.1553180679390667
2019-03-01,0.20833333333333331,0.18212145625,1.223715043021564,0.0,87.97954561935862,0.25,-2.5767283333333304,11.909816666666664,1.4058364992715635,14.953635589583332,93.00484799791666,0.0,0.9583333333333334,188.11083958333327,0.0,9.70257833386746,41.919433333333345,0.8552719729999998,14.588411262499996,9.3915,15.479,0.0,0.0,0.0,0.0,0.0,225.23829299671138,29.54204685208333,44.49616166666666,0.7411592033303197,21.216042525710893,41.91390906616361,0.7048268107240832,20.697866540452708,0.6639234879042188,1.4187882537735466,0.52246515511591,0.7412674250844271,6.4,4.2000003,0.0,0.17649223146113274,0.8391511801865412,3.5244352085288275,False,,1.2691939110739685
2019-03-02,0.4583333333333333,0.4783962520833333,1.2152891852653276,0.0,71.41504440969112,0.4583333333333333,8.082762708333334,14.700562500000006,1.6936854373486607,50.82457173958335,127.27342603249998,0.0,0.9583333333333334,196.28541666666672,0.0,8.746702499516683,92.73265104166666,1.6538717130833327,7.032768395833336,11.198,19.204,0.0,0.0,0.0,0.0,15.748,227.3017380055598,57.85734013541669,84.64988833333331,0.7400795387160055,72.1093053871918,82.08731457870995,0.7048268107240832,9.978009191518163,0.6834898577489759,1.4187882537735466,1.7805041123538488,2.5261583204031357,1.2,0.90000004,0.0,2.8068424534771523,0.6614819244465503,0.5953337584611722,False,,1.9991701029327462
2019-03-03,0.08333333333333333,0.42244477083333337,1.289267755810895,0.0,77.39338206077817,0.08333333333333333,10.16875479166667,14.890416666666665,1.7117125266442283,37.96173562083332,221.38307323124997,0.0,0.9791666666666666,236.38979166666667,0.0,10.505512646282265,153.9975770833333,1.7135084670416665,63.68810027916667,11.878,19.286,0.0,0.0,0.0,0.0,0.0,229.37195004690403,101.6498359,143.82882229166663,0.7396922072347024,53.8156322141665,144.10168802773762,0.7054035056163519,90.28605581357112,0.7067417662217034,1.417628339011786,1.3301305036990276,1.8856306966277632,1.1,0.7,0.0,2.6937581380396614,0.6711196818093998,0.4697837772665799,False,,2.616060808824814
2019-03-04,0.10416666666666667,0.2837791604166667,1.1565067302934806,0.0,81.25815467191326,0.125,-0.9645908333333304,12.335270833333334,1.4402858907101477,27.42084487291668,119.62491347291665,0.0,0.9791666666666666,121.83417604166668,0.0,8.877472835513961,82.67631875000002,1.1441467980833335,40.40142236041667,10.465,15.161,0.0,0.0,0.0,0.0,0.0,231.4480929788726,67.82226723333335,83.64090958333334,0.7407866720759343,38.79895908729245,95.96470800914524,0.7067417662217034,57.16574892185279,0.8108743385407648,1.4149439693455192,0.9584463739852508,1.3561479168115107,1.3000001,0.90000004,0.0,1.5068309517091918,0.7153116431073909,0.6437805074091175,False,,1.5808511932949267
2019-03-05,0.3125,0.22125260208333328,1.1563658691517489,0.0,84.52141940478359,0.3333333333333333,-6.323884583333334,11.680750000000002,1.3776184712350814,27.362348775,50.74193199999999,0.0,0.9375,203.40093750000003,0.0,8.789076592238395,32.72664375,1.2953387751249998,-5.696382939583331,10.113,14.468,0.0,0.0,0.0,0.0,1.524,233.52933084979904,21.66596583541667,39.05052833333333,0.7414263870071097,37.73688802429455,29.880699694038235,0.7250822791053798,-7.856188330256307,0.5548187632822041,1.3791538268371681,0.9558042153049124,1.3182010412448664,2.3,1.7,0.4,0.7754123772028626,0.8035866666494409,1.3660973333040496,False,,0.9580404367032141
2019-03-06,0.10416666666666667,0.40212865208333337,1.2020901101128332,0.0,75.5392868752404,0.10416666666666667,2.681813541666666,13.905354166666665,1.604218762196166,37.33149911250001,107.56233454791668,0.0,0.9583333333333334,199.95770833333327,0.0,9.298602322750034,70.82693541666667,1.9882354049374995,10.437208402083328,11.212,18.441,0.0,0.0,0.0,0.0,0.508,235.61482860171813,47.76870751458333,68.145121875,0.7419360942919024,51.48587986257271,65.88039577180298,0.7250822791053798,14.394515909230266,0.7009849890973334,1.3791538268371681,1.3068152641641728,1.8022992725412432,5.5,3.6000001000000004,0.0,0.5006386729103821,0.7176724580594999,2.5836209207814456,False,,1.9347801596742076
2019-03-07,0.02083333333333333,0.2722552666666666,1.0887037250238751,0.0,81.87624389550223,0.0625,-2.929757708333335,11.383464583333335,1.360958991690542,27.64327692083333,124.31683507291662,0.0,0.9791666666666666,208.1028333333333,0.0,7.9896207642045365,69.79155791666668,1.0851808903125002,25.085660352083348,7.3429,14.72,0.0,0.0,0.0,0.0,0.0,237.7037527736603,52.72893727291668,72.72131562500002,0.7426310908776079,37.114329425578774,70.79475974618687,0.7448141283614814,33.680430320608124,0.7250822791053798,1.3426168515357015,0.96534348050826,1.296086424450516,2.8,2.1000001,0.0,0.6171839822533894,0.6799362744020228,1.4278662442378751,False,,1.5094130959870842
2019-03-08,0.2916666666666667,0.3357210645833333,0.8430095124046708,0.0,73.51581874522188,0.2916666666666667,-4.180434583333334,9.205752083333335,1.178730576988004,31.69302105000001,184.62544502083335,0.0,0.9791666666666666,186.6307645833334,0.0,4.0747447863030315,113.71681875,0.9818436531041668,56.82275163750001,4.1643,13.442,0.0,0.0,0.0,0.0,0.0,239.7952722033309,88.51577268750002,117.89725333333334,0.7439718343254444,42.551584137805726,118.84276803694112,0.7448141283614814,76.29118389913539,0.7507874033098765,1.3426168515357015,1.104471194678646,1.4828816380113186,3.3,2.4,0.0,0.6178673491713828,0.5933822075474257,1.4241172981138217,False,,1.8420874372496292
2019-03-09,0.02083333333333333,0.2986599708333333,0.8169601992526275,0.0,77.77560836847292,0.04166666666666666,-6.418176041666667,8.130858333333334,1.1156201700859611,25.88786227083333,179.02025102291665,0.0,0.8958333333333334,230.76914583333325,0.0,3.841704381802453,96.79411875,1.2682278787083336,46.91845229791668,2.9883,13.639,0.0,0.0,0.0,0.0,0.0,241.8885587257633,72.80631456875003,103.21229479166668,0.7453468960966986,34.75748013505613,97.750984838213,0.7448141283614814,62.9935047031569,0.7054035056163519,1.3426168515357015,0.9012444827483874,1.2100260298915615,6.3,4.2000003,0.0,0.2881014151097945,0.5886953879418689,2.4725208059644657,False,,1.8465854570430664
2019-03-10,0.10416666666666667,0.29096105833333336,0.8322646846462645,0.0,78.77721971562062,0.125,-3.711450000000003,8.18315,1.1232257429795978,23.28556417083333,186.67439514791667,0.0,0.9583333333333334,223.6739583333334,0.0,4.098370520660526,93.45645833333332,0.9945202288333334,49.08646677916667,2.8147,14.503,0.0,0.0,0.0,0.0,0.0,243.98278786753812,72.37203095,97.16790833333332,0.7468547814836962,31.26359085327679,97.16790833333334,0.7448141283614814,65.90431748005656,0.7448141283614814,1.3426168515357015,0.8106899691093615,1.0884460138971859,3.5,2.4,0.0,0.4535191724571609,0.5895366568766072,1.4148879765038571,False,,1.8989732894099405
2019-03-11,0.10416666666666667,0.44175023125,0.8509039437905481,0.0,71.9078742120088,0.10416666666666667,1.107290833333333,10.036377083333333,1.2926541750405482,36.55686755833333,251.7103766875,0.0,0.9791666666666666,168.51865833333338,0.0,4.3851309563913965,135.91310416666664,1.6370148849583337,69.91644874791666,2.8244,17.399,0.0,0.0,0.0,0.0,0.0,246.07713953517367,106.47331630624998,134.8058133333333,0.7487131194584337,49.08186642317714,142.95286871166226,0.7448141283614814,93.87100228848513,0.7898273351385391,1.3426168515357015,1.2749800638382682,1.7118097190813235,2.5,1.9,4.9,0.9009524837270124,0.5812193718173637,1.104316806452991,False,,2.680292915714274
2019-03-12,0.14583333333333334,0.5657537687500002,0.8724535723908127,0.0,66.37858409267177,0.14583333333333334,3.171920833333332,11.641547916666665,1.4382073411408127,34.83605193958333,221.50561603125,0.0,0.9791666666666666,223.77458604166665,0.0,4.799333442066424,114.9539375,1.7972586829791666,50.77317171874999,3.5365,19.335,0.0,0.0,0.0,0.0,0.0,248.17079869630265,85.6092236583333,111.78201666666668,0.7510609031290598,46.77147037505755,114.9403863305672,0.7448141283614814,68.16891595550963,0.7658586435564096,1.3426168515357015,1.2168253407902954,1.6337302079207237,3.0,2.2,27.2,0.7426046399639652,0.5823352772975712,1.2811376100546568,False,,2.7193066519089943
2019-03-13,0.5,0.7637841729166669,0.6126654444946569,0.0,45.717627430363635,0.5208333333333334,-1.6572347916666672,11.554902083333333,1.3764496174113237,51.84761939583333,266.82772116666666,0.0,1.0,251.40116458333333,0.0,-0.19191626379681875,130.90212500000004,2.979537486375,89.14404646458334,7.1698,15.324000000000002,0.0,0.0,0.0,0.0,0.0,250.26295605226727,140.99166586041667,132.5593597916667,0.7543930609680328,69.6114875128551,189.29778651028633,0.7448141283614814,119.68629899743121,1.0636115479284327,1.3426168515357015,1.810890622589798,2.4313322661770407,7.3,4.8,0.0,0.5065275554535502,0.6088203211921274,2.9223375417222117,False,,3.568703422084119
2019-03-14,0.14583333333333334,0.5829298729166666,0.6821542549949794,0.0,62.35028188228242,0.125,0.8893520833333342,9.525993749999996,1.265084127911646,36.115868529166654,261.88061316875,0.0,0.9791666666666666,201.19399791666672,0.0,1.3282997370202512,143.8228749999999,1.0708086170833335,73.46571280208333,1.0633,17.462,0.0,0.0,0.0,0.0,0.0,252.3528087007873,109.58158133125,142.9335229166666,0.7590042611078598,48.10398838599103,145.95554060730797,0.7507874033098765,97.85155222131695,0.7666611659403265,1.3319349733246186,1.2589871083048478,1.6768889605160566,4.5,3.0,0.0,0.5589629868386855,0.6274371473111399,1.88231144193342,False,,2.7179208655827827
2019-03-15,0.14583333333333334,0.6503278541666665,0.7984204362918019,0.0,63.14008681595684,0.125,4.934054375000001,11.643210416666665,1.4487482904584688,41.89888343541667,258.063706625,0.0,0.9791666666666666,204.77974999999995,0.0,3.4908078726560188,135.47358958333334,1.1738315665833332,56.60003168541667,4.4723,19.27,0.0,0.0,0.0,0.0,0.0,254.43956078737813,98.49891512083336,130.53953520833335,0.7637547748661745,55.52813208853904,130.53953520833335,0.7545523657919796,75.0114031197943,0.7545523657919796,1.3252890658561491,1.46353278231165,1.9396039939196568,4.5,3.1000001,0.0,0.625678687532835,0.59863462690853,1.8557674032799056,False,,2.9101498267396275
2019-03-16,0.125,0.6685341999999999,0.9404840080532184,0.0,66.02999442410696,0.125,8.154081249999997,13.20233541666667,1.609018208053219,41.46472411250001,261.0817552291666,0.0,1.0,194.07064583333337,0.0,5.867867970478161,140.64729583333332,1.1800143405208334,55.23517749375,5.9118,21.339,0.0,0.0,0.0,0.0,0.0,256.52242414422227,96.69990160625,132.49321458333333,0.7689947499727453,54.141484804494354,126.2633808730103,0.7658586435564096,72.121896068516,0.7298479541790373,1.3057239849854154,1.4505262300959476,1.893986889486752,5.9,4.0,0.0,0.4734967223716881,0.6180515076045632,2.4722060304182527,False,,3.110119450813731
2019-03-17,0.125,0.8241914520833333,1.0120782746451509,0.0,63.28931188162676,0.10416666666666667,10.785205833333338,15.227447916666666,1.8362697267284835,48.52776391874998,263.61430502083334,0.0,1.0,188.09964583333337,0.0,6.9189155036362076,146.3231708333333,1.2810232907916668,46.92161505833332,7.1815,23.768,0.0,0.0,0.0,0.0,0.0,258.600618915232,95.4493789770833,135.53796499999996,0.7745903204887252,63.297537523280745,124.50008324083116,0.7666611659403265,61.2025457175504,0.7042261478330691,1.304357184667725,1.7008994592751128,2.2185804301029424,5.4,3.8,0.0,0.5838369552902479,0.6342895442669384,2.4103002682143657,False,,3.4152804732784188
2019-03-18,0.04166666666666666,1.0533893395833338,1.0740427612872807,0.0,57.73826561264742,0.02083333333333333,13.585289166666668,17.5167875,2.127432100870614,59.752933681250006,260.7310246583333,0.0,0.9791666666666666,216.63283333333337,0.0,7.814644707936572,145.13133333333332,1.2828536198749998,36.075690625,9.9018,26.209,0.0,0.0,0.0,0.0,0.0,260.6733741660709,95.82862430625,131.54604416666666,0.7807671726488294,75.65315990332125,121.3285740350342,0.7898273351385391,45.675414131712934,0.7284797115209084,1.2660995074633568,2.09894434030505,2.6574723954532242,5.4,3.8,0.0,0.6993348409087431,0.6632904989830689,2.5205038961356623,False,,3.6596362939907583
2019-03-19,0.0,1.0878356312500002,0.8843025104898575,0.0,48.999345475577606,0.0,2.6410958333333334,16.760395833333334,1.972138141739857,72.02016666666667,183.60147800000013,0.0,1.0,248.0545833333333,0.0,4.952263246528597,94.53041041666664,1.9037235570208333,1.4295395833333246,10.517,24.032,0.0,0.0,0.0,0.0,0.0,262.73992847794545,73.44970624999998,91.88931458333332,0.7866989755547801,90.1008879280226,91.88931458333332,0.7993280457369103,1.7884266553107298,0.7993280457369103,1.2510508111573737,2.5280205704328904,3.1626821852625944,5.4,3.6000001000000004,0.0,0.8785228048361982,0.6434784750931722,2.316522574683268,False,,3.420012854231095
2019-03-20,0.375,0.5107762354166667,0.9262033679655434,0.0,65.44570409567372,0.3958333333333333,-7.694095000000003,12.3038375,1.4369796033822098,54.01987698750001,102.50912259791666,0.0,0.9791666666666666,198.01084583333332,0.0,5.069593208570677,71.98221875,0.8894689024375002,-3.985550654166666,9.7737,15.879,0.0,0.0,0.0,0.0,12.192,264.79953052401197,50.03432633333334,79.67631375,0.7931322716277559,63.87868887903457,59.165761629902605,0.8456635215196114,-4.712927249131957,0.6279698944196366,1.1825034124719656,1.8881110718121936,2.232697785544019,5.1,3.6000001000000004,0.0,0.6201938120901771,0.6472676107808085,2.330163463537672,False,,1.701454023193281
2019-03-21,0.3541666666666667,0.4920909666666667,0.9365522690368722,0.0,65.47434186868661,0.3541666666666667,-1.6790160416666662,12.090733333333333,1.4286432357035388,64.53833621666666,172.24135828124992,0.0,0.9583333333333334,233.80792625000007,0.0,4.7225077483945075,109.7189520833333,0.7568610025416668,31.29583701875001,7.722,16.180999999999994,0.0,0.0,0.0,0.0,0.0,266.8514396272948,95.83417323541669,111.39796812499998,0.7991512914787282,76.31680281147139,113.32423688230972,0.8456635215196114,37.00743407083835,0.860286546051548,1.1825034124719656,2.255294840042435,2.666893844480595,4.8,3.5,0.0,0.7619696698515986,0.6691604000149045,2.342061400052166,False,,2.0995396342699104
2019-03-22,0.125,0.4196605041666667,1.100953150094208,0.0,76.98748350671805,0.14583333333333334,1.0951666666666635,12.7319375,1.5206136542608746,57.46676565208333,196.8606006491666,0.0,0.9791666666666666,171.99263750000003,0.0,8.139414905451847,111.86491729166669,0.9719846036249996,37.75235838125001,6.4599,18.449,0.0,0.0,0.0,0.0,0.0,268.89492629905317,95.21912403333332,110.76975062500004,0.8041925924668732,66.851899396577,110.76975062500004,0.8596130576811372,43.91785122842303,0.8596130576811372,1.1633141109996232,2.009408873626085,2.3375736974570827,7.1,4.8,24.0,0.48699452030355894,0.7394135898389015,3.5491852312267267,False,,2.3446640001978527
2019-03-23,0.3125,0.2535784895833333,1.18109611685924,0.0,83.00701408453394,0.3541666666666667,-4.992416666666666,12.252685416666667,1.4346746064425735,49.23096530833332,99.80767988333332,0.0,0.9791666666666666,171.723901875,0.0,8.775876164145012,51.54177083333333,1.2040430084583331,-1.4220652208333338,8.2076,15.582,0.0,0.0,0.0,0.0,6.604,270.9292727565889,47.80890008749999,56.53418749999999,0.8085757763284651,57.226241110346756,55.57322767271929,0.860286546051548,-1.6530134376274719,0.8456635215196114,1.1624033929040205,1.720644228114115,2.0000826887405663,5.6,4.0,0.0,0.5000206721851416,0.7302831527521715,2.921132611008686,False,,1.4634073649721038
2019-03-24,0.20833333333333331,0.4628214895833334,0.9509197635626676,0.0,72.69942666363082,0.22916666666666666,-1.170721458333335,11.460904166666666,1.4137412531460012,63.56636951666668,242.58967468541672,0.0,0.9791666666666666,191.85593541666665,0.0,5.9445791324169415,127.05322916666664,0.9308523150625,46.78240898750002,4.7661,18.429,0.0,0.0,0.0,0.0,0.0,272.9537734195348,110.34877850416667,128.223950625,0.8129866798840056,73.86897128428346,128.23369987242728,0.8605286957636462,54.36472858814383,0.8605941243137134,1.1620762967266127,2.219994235333877,2.579802679751221,4.7000003,3.5,0.0,0.7370864799289202,0.7161353527122313,2.5064737344928094,False,,2.6973143974725335
2019-03-25,0.22916666666666666,0.9188289020833332,0.8195356588813026,0.0,58.04617477146071,0.22916666666666666,5.088331249999999,14.204756249999996,1.7383645609646357,79.03451474375002,256.3779073354167,0.0,1.0,239.47604166666667,0.0,3.6115475363662686,131.88962499999994,1.6617989854791662,31.158586181250005,4.7342,22.269,0.0,0.0,0.0,0.0,0.0,274.9677353837236,110.19310092500002,126.80129374999994,0.8157493686223177,91.84413620700188,128.05279064774592,0.8605286957636462,36.208654440744006,0.8690218976965294,1.1620762967266127,2.7674511279389233,3.2159893581271506,3.5,2.7,0.0,1.1911071696767224,0.7083514660235064,1.9125489582634676,False,,3.4822488123554844
2019-03-26,0.1875,0.5635031729166666,1.2262222489921175,0.0,72.51908808653087,0.1875,7.220813395833331,15.13465416666667,1.7897254219087844,76.00615959375,236.96808039583343,0.0,0.9583333333333334,193.7894895833333,0.0,9.509368264931833,134.60622916666668,1.0371748335,44.29400915416667,7.4159,22.023000000000003,0.0,0.0,0.0,0.0,0.0,276.97047887179093,120.30016874791669,127.38541577083336,0.8187055798925541,88.32495646911694,139.7979745941656,0.8605286957636462,51.47301812504868,0.9443794489342244,1.1620762967266127,2.663781234149701,3.095517031870532,5.3,3.8,0.0,0.8146097452290874,0.7452442903101644,2.8319283031786244,False,,2.966066621891487
2019-03-27,0.16666666666666666,0.4889083958333333,1.3321366494165343,0.0,75.17658231698181,0.16666666666666666,4.963502083333335,15.880624999999993,1.821045045249868,71.60834841666666,191.68947036041672,0.0,0.9791666666666666,223.38054166666663,0.0,10.929275255069092,114.78432562500004,1.4261954386875002,22.89562163333333,13.427,20.221,0.0,0.0,0.0,0.0,0.0,278.9613376597281,94.50397005,109.82082354166671,0.8203247333213582,83.21436434274898,109.82082354166671,0.8605286957636462,26.60645919891772,0.8605286957636462,1.1620762967266127,2.5114457582176564,2.918491586139334,8.400001,5.6,0.0,0.5211592118105953,0.9776223855872208,5.474685359288436,False,,2.7820562787017025
2019-03-28,0.16666666666666666,0.56005380625,1.077000659345979,0.0,70.30032300919443,0.16666666666666666,3.442680208333334,14.019533333333335,1.6370544655959796,88.68802978125002,272.7993249229167,0.0,0.9791666666666666,173.6429575,0.0,7.7093718741171156,162.88669166666668,1.0966767520000005,56.94679336666666,8.1427,19.687,0.0,0.0,0.0,0.0,0.0,280.93965947866144,145.63482314791668,159.44401145833336,0.8219054278940546,103.06225721217457,169.23877595816617,0.8605286957636462,66.17651874599163,0.913391615124878,1.1620762967266127,3.1049257020552776,3.608160561455676,7.4,5.1,0.0,0.7074824630305246,1.1210438018812905,5.71732338959458,False,,3.204582949491247
