date,H,sw_out,sw_in,LE,theta_1,ws,rh,wd,G,Rn,t_avg,t_min,t_max,LE_subday_gaps,H_subday_gaps,Rn_subday_gaps,G_subday_gaps,rso,flux,energy,flux_corr,ebr_5day_clim,LE_corr,H_corr,ebc_cf,ebr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2006-02-17,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,218.51234213349116,,,,,,,,,,,,3.5,2.4,0.0,,,,False,
2006-02-18,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,220.3752141048245,,,,,,,,,,,,1.8000001,1.4,1.2,,,,False,
2006-02-19,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,222.25258744267398,,,,,,,,,,,,1.9,1.4,1.5,,,,False,
2006-02-20,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,224.14365765804482,,,,,,,,,,,,2.7,2.0,0.0,,,,False,
2006-02-21,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,226.04761437612896,,,,,,,,,,,,3.5,2.5,0.0,,,,False,
2006-02-22,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,227.96364197402423,,,,,,,,,,,,5.1,3.4,0.0,,,,False,
2006-02-23,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,229.89092023121162,,,,0.8303286027770946,,,1.2043424695420908,,0.8303286027770946,,,5.0,3.4,0.0,,,,False,
2006-02-24,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,231.8286249916356,,,,0.8351250410711785,,,1.1974254762105367,,0.8351250410711785,,,5.6,3.8,0.0,,,,False,
2006-02-25,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,233.77592883619968,,,,0.8399214793652622,,,1.1905874829581822,,0.8399214793652622,,,5.6,3.8,0.0,,,,False,
2006-02-26,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,235.7320017644497,,,,0.8471995169321055,,,1.1803595021173034,,0.8471995169321055,,,5.3,3.6000001000000004,0.0,,,,False,
2006-02-27,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,237.69601188418616,,,,0.8548889789050149,,,1.1697425334466829,,0.8548889789050149,,,5.6,3.8,2.8,,,,False,
2006-02-28,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,239.66712610772015,,,,0.8602574599298869,,,1.1624426948666071,,0.8602574599298869,,,1.1,1.1,20.5,,,,False,
2006-03-01,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,241.6445108534585,,,,0.8638845123394251,,,1.157562134424624,,0.8638845123394251,,,3.9,2.8,0.0,,,,False,
2006-03-02,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,243.62733275148827,,,,0.8667864314287776,,,1.153686725750469,,0.8667864314287776,,,4.5,3.2,0.0,,,,False,
2006-03-03,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,245.61475935180775,,,,0.8692049283046736,,,1.1504766798209871,,0.8692049283046736,,,3.2,2.3,0.0,,,,False,
2006-03-04,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,247.6059598338389,,,,0.8733634805106755,,,1.1449986429651,,0.8733634805106755,,,3.3,2.5,0.0,,,,False,
2006-03-05,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,249.6001057158466,,,,0.8747443371289632,,,1.1431911674697364,,0.8747443371289632,,,4.1,3.0,0.0,,,,False,
2006-03-06,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,251.59637156288537,,,,0.8820590505460177,,,1.1337109452943923,,0.8820590505460177,,,4.6,3.1000001,0.0,,,,False,
2006-03-07,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,253.59393569188475,,,,0.8864800890866157,,,1.1280569211998317,,0.8864800890866157,,,3.1000001,2.3,0.5,,,,False,
2006-03-08,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,255.59198087249507,,,,0.8934616684658089,,,1.1192421961617351,,0.8934616684658089,,,4.5,3.2,0.90000004,,,,False,
2006-03-09,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,257.5896950223124,,,,0.8990612215261314,,,1.1122713070668622,,0.8990612215261314,,,4.4,3.1000001,0.0,,,,False,
2006-03-10,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,259.58627189511293,,,,0.9031504839351796,,,1.1072351925703794,,0.9031504839351796,,,3.0,2.1000001,6.0,,,,False,
2006-03-11,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,261.5809117607423,,,,0.9071076519571741,,,1.1024049878119777,,0.9071076519571741,,,2.1000001,1.6,23.6,,,,False,
2006-03-12,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,263.5728220753142,,,,0.9114150311045278,,,1.0971949834842176,,0.9114150311045278,,,2.2,1.6,3.6000001000000004,,,,False,
2006-03-13,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,265.56121814040006,,,,0.9155115780624072,,,1.0922854761885203,,0.9155115780624072,,,2.8,2.3,0.0,,,,False,
2006-03-14,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,267.5453237499102,,,,0.9194760306332322,,,1.0875759309476636,,0.9194760306332322,,,3.8,2.9,0.0,,,,False,
2006-03-15,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,269.52437182339366,,,,0.9212795090815497,,,1.085446913930528,,0.9212795090815497,,,4.2000003,3.2,0.0,,,,False,
2006-03-16,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,271.49760502451824,,,,0.9252439616523748,,,1.080796029421386,,0.9252439616523748,,,4.7000003,3.4,0.0,,,,False,
2006-03-17,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,273.46427636351865,,,,0.9270474401006922,,,1.0786934484079735,,0.9270474401006922,,,4.4,3.1000001,0.3,,,,False,
2006-03-18,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,275.423649782447,,,,0.9304800606291206,,,1.0747140560152093,,0.9304800606291206,,,3.4,2.5,0.0,,,,False,
2006-03-19,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,277.37500072209133,,,,0.9304800606291206,,,1.0747140560152093,,0.9304800606291206,,,3.5,2.6000001,0.0,,,,False,
2006-03-20,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,279.31761666947455,,,,0.9302434383314242,,,1.0749874267253074,,0.9302434383314242,,,3.7,2.7,0.0,,,,False,
2006-03-21,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,281.2507976848967,,,,0.930006816033728,,,1.0752609365432153,,0.930006816033728,,,3.3,2.5,1.2,,,,False,
2006-03-22,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,283.1738569075222,,,,0.9297701937360316,,,1.0755345855751397,,0.9297701937360316,,,4.5,3.4,0.0,,,,False,
2006-03-23,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,285.0861210385767,,,,0.9293154547000296,,,1.0760608735628812,,0.9293154547000296,,,5.0,3.8,0.0,,,,False,
2006-03-24,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,286.98693080126344,,,,0.9289394534664482,,,1.0764964242485136,,0.9289394534664482,,,5.5,4.1,0.0,,,,False,
2006-03-25,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,288.8756413765715,,,,0.9289157627773568,,,1.0765238787746578,,0.9289157627773568,,,6.9,4.8,0.0,,,,False,
2006-03-26,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,290.75162281420376,,,,0.9286791404796604,,,1.0767981710922274,,0.9286791404796604,,,5.8,4.2000003,0.0,,,,False,
2006-03-27,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,292.61426041791594,,,,0.9280858577348899,,,1.0774865188018543,,0.9280858577348899,,,5.9,4.2000003,0.0,,,,False,
