date,rh,H,sw_in,g_2,vp,theta_1,G,lw_out,g_1,ws,es,LE,wd,sw_out,vpd,Rn,lw_in,t_avg,t_dew,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2019-06-28,,,,7.265104166666667,,80.63541666666664,,,6.287083333333333,,,,,,,,,,,28.218495,35.65346500000001,0.0,0.0,2.0,,3.0,,361.0038037172727,,,0.9371844390750881,1.0670258257669163,,158.75862682239224,1.0670258257669163,,,,5.590046930635466,7.6,6.7000003,0.0,,0.8343353254231145,5.590046930635466,True,5.590046930635466
2019-06-29,,,,7.843208333333334,,80.98125000000002,,,6.771145833333335,,,,,,,,,,,27.919095,34.992985,0.0,0.0,2.0,,4.0,,360.7900555914672,,,0.9376617413098132,1.0664826727419925,,155.17383817432756,1.0664826727419925,,,,5.463823007059274,8.0,6.5,0.0,,0.8405881549321959,5.463823007059274,True,5.463823007059274
2019-06-30,,,,9.052499999999998,,80.81041666666667,,,7.486250000000001,,,,,,,,,,,27.072121000000006,37.815337,0.0,0.0,4.0,,9.0,,360.5529353570867,,,0.9399561485941246,1.0638794176682411,,185.18870310840612,1.0638794176682411,,,,6.520675834250129,9.6,7.7000003,4.2000003,,0.8468409844412772,6.520675834250129,True,6.520675834250129
2019-07-01,,,,6.293041666666667,,80.66458333333328,6.793729166666667,,7.294416666666668,,,,,,,,,,,25.327954,30.953695,0.0,0.0,2.0,,4.0,,360.29244117097846,,,0.9438952499894804,1.0594395935472127,,133.25433985385547,1.0594395935472127,,,,4.692015976726973,6.0,5.5,0.0,,0.8530938139503587,4.692015976726973,True,4.692015976726973
2019-07-02,,,,2.923645833333333,,81.09166666666667,3.671947916666667,,4.420249999999999,,,,,,,,,,,24.666514000000006,34.028566999999995,0.0,0.0,2.0,,3.0,,360.00856884593736,,,0.9434308690502649,1.0599610769644228,,165.95837646015914,1.0599610769644228,,,,5.843557175524192,7.7000003,6.8,0.0,,0.8593466434594399,5.843557175524192,True,5.843557175524192
2019-07-03,,,,7.357312500000003,,80.98958333333334,,,6.224687500000001,,,,,,,,,,,28.644435,36.684873,0.0,0.0,6.0,,7.0,,359.70131192977914,,,0.9444999499423812,1.0587613054516356,,145.04102987507085,1.0587613054516356,,,,5.1070368905142765,7.0,5.9,0.0,,0.8655994729685214,5.1070368905142765,True,5.1070368905142765
2019-07-04,,,,8.115979166666667,,80.81041666666663,,,6.904729166666668,,,,,,,,,,,28.933328000000003,35.629837,0.0,0.0,2.0,,3.0,,359.37066179484617,,,0.950367421317274,1.0522246213090214,,158.46916613136983,1.0522246213090214,,,,5.579854735856658,7.5,6.4,0.0,,0.8718523024776028,5.579854735856658,True,5.579854735856658
2019-07-05,,,,4.995145833333334,,80.52499999999995,,,6.676166666666666,,,,,,,,,,,27.179676,34.138952,0.0,0.0,3.0,,13.0,,359.01660773816803,,,0.956942489122016,1.0449948783416323,,152.1241729823419,1.0449948783416323,,,,5.356441305118773,7.2000003,6.1,21.7,,0.8781051319866842,5.356441305118773,True,5.356441305118773
2019-07-06,,,,5.694020833333332,,80.10624999999997,,,5.607,,,,,,,,,,,31.323989,34.275866,0.0,0.0,2.0,,6.0,,358.6391370925004,,,0.9655210456350288,1.0357102048897278,,153.20742199572203,1.0357102048897278,,,,5.39458356512417,7.6,6.1,4.0,,0.8843579614957655,5.39458356512417,True,5.39458356512417
2019-07-07,,,,7.998145833333335,,79.89166666666664,7.707927083333333,,7.417708333333333,,,,,,,,,,,27.923604,34.556557,0.0,0.0,8.0,,18.0,,358.2382353484726,,,0.972509983855708,1.0282670785911137,,151.76131574665786,1.0282670785911137,,,,5.343664746029082,7.5,6.0,15.6,,0.8906107910048469,5.343664746029082,True,5.343664746029082
2019-07-08,,,,5.225375,,79.41666666666674,,,6.524229166666665,,,,,,,,,,,29.559655,34.395719,0.0,0.0,5.0,,19.0,,357.81388628806513,,,0.972562902181336,1.0282111293337697,,99.33742427666898,1.0282111293337697,,,,3.4977681200043196,4.6,3.9,31.300001,,0.8968636205139282,3.4977681200043196,True,3.4977681200043196
2019-07-09,,,,5.123916666666667,,,,,6.037187500000001,,,,,,,,,,,26.200122,30.490514,0.0,0.0,2.0,,6.0,,357.36607212963133,,,0.9729184317032328,1.027835394432149,,120.54897400093506,1.027835394432149,,,,4.24464758604308,5.5,4.7000003,0.0,,0.9031164500230096,4.24464758604308,True,4.24464758604308
2019-07-10,,,,3.2892083333333337,,79.39375000000003,,,4.586729166666665,,,,,,,,,,,,,0.0,0.0,32.0,,32.0,,356.8947736846707,,,0.970133770814754,1.0307856814016103,,165.28830746150032,1.0307856814016103,,,,5.819963389005383,7.3,6.4,1.2,,0.9093692795320909,5.819963389005383,True,5.819963389005383
2019-07-11,,,,7.2630833333333324,,79.73541666666664,6.511677083333333,,5.760270833333334,,,,,,,,,,,,,0.0,0.0,35.0,,35.0,,356.39997052653666,,,0.9650092708586026,1.036259474595788,,158.6236670626226,1.036259474595788,,,,5.585294865151152,7.2000003,6.1,18.1,,0.9156221090411724,5.585294865151152,True,5.585294865151152
2019-07-12,85.46750000000003,,,6.176520833333336,,79.65624999999996,6.225447916666666,456.71041666666656,6.274375000000003,,,,,22.206645833333337,,172.94907887499997,423.2833333333333,,,,,0.0,0.0,48.0,4.3,48.0,,355.88164117124774,,166.72363095833333,0.9571128814865694,1.044808840569379,,151.85247758046162,1.044808840569379,,,,5.346874643591472,6.7000003,5.8,3.1000001,,0.9218749385502538,5.346874643591472,True,5.346874643591472
2019-07-13,86.04166666666669,,,8.471604166666667,,79.46250000000003,7.718875000000002,462.75208333333336,6.966145833333332,,,,,23.83910416666666,,181.84301285416663,424.30833333333334,,,,,0.0,0.0,48.0,4.1,48.0,,355.3397632705462,,174.12413785416663,0.9538652752027256,1.048366080616017,,121.25159990346901,1.048366080616017,,,,4.269387733072941,5.4,4.6,19.9,,0.9281277680593352,4.269387733072941,True,4.269387733072941
2019-07-14,78.40125000000002,,,6.851416666666667,,79.30624999999998,6.87728125,465.73541666666665,6.903145833333333,,,,,28.16491666666667,,206.3204130833332,411.05625,,,,,0.0,0.0,48.0,0.0,48.0,,354.7743138173159,,199.4431318333332,0.9473409107151732,1.055586208395743,,177.7953972213993,1.055586208395743,,,,6.260350284022571,7.3,6.7000003,0.0,,0.9343805975684164,6.260350284022571,True,6.260350284022571
2019-07-15,76.84916666666666,,,7.696833333333334,,79.24791666666668,7.459739583333333,467.2312499999999,7.222645833333334,,,,,29.30504166666667,,210.78254604166665,415.1791666666666,,,,,0.0,0.0,48.0,0.0,48.0,,354.18526936344284,,203.32280645833328,0.9374290329007684,1.0667474175678269,,162.95666311614303,1.0667474175678269,,,,5.737863905172738,6.7000003,6.1,2.5,,0.940633427077498,5.737863905172738,True,5.737863905172738
2019-07-16,83.99333333333333,,,6.257041666666668,,79.42708333333337,6.621270833333334,461.03750000000014,6.985499999999999,,,,,,,133.18565406250002,425.5333333333333,,,,,0.0,0.0,48.0,7.899999999999999,48.0,,353.57260625016795,,126.56438322916668,0.9276318110293372,1.0780139146913903,,161.35073324215392,1.0780139146913903,,,,5.681317539519474,7.1,6.0,4.1,,0.9468862565865792,5.681317539519474,True,5.681317539519474
2019-07-17,80.63000000000002,28.94001341666666,,7.439375000000001,4.376255829003512,79.43958333333335,7.112208333333332,472.41458333333344,6.785041666666665,2.674754833333333,5.220891335253512,,226.0909179583333,,0.8446355062500001,213.39025349999997,427.39791666666673,33.53126456250001,29.872194447825297,30.495417,37.124169,0.0,0.0,0.0,0.0,48.0,,352.9363008509349,,206.2780451666666,0.920719641151858,1.0894204284156879,,187.0185618077014,1.086106948635264,,26.645638767923284,,6.671973602669626,8.6,7.0,0.0,,0.9531390860956608,6.671973602669626,True,6.671973602669626
2019-07-18,82.55770833333334,-2.8913291666666727,,8.705541666666667,4.342943401918817,79.31874999999995,8.318885416666665,469.36875,7.932229166666665,3.3256334166666672,,,229.6873011875,23.04550000000001,0.71575391875,171.1436782083334,431.8541666666668,33.01755063541666,,28.956025,37.153472,0.0,0.0,2.0,0.6,46.0,,352.27632982670616,,162.82479279166677,0.920719641151858,1.102005540075424,,172.19632031377492,1.086106948635264,,-2.66210355278524,,6.140108259870349,8.0,6.4,1.9,,0.959391915604742,6.140108259870349,True,6.140108259870349
2019-07-19,82.74979166666664,34.28395225000001,,6.880312500000001,4.051105141088806,79.11458333333334,7.166302083333331,463.40416666666647,7.452291666666666,2.7554628125,,,246.8598743333334,23.91577083333333,0.68638545,177.5934555416666,425.25,31.86551085416667,,28.475976,36.937898,0.0,0.0,0.0,6.4,29.0,,351.59267039366426,,170.4271534583333,0.920719641151858,1.1026613795780422,,138.26830385135787,1.086106948635264,,31.565908212887443,,4.924788200080499,6.6,5.1,13.6,,0.9656447451138234,4.924788200080499,True,4.924788200080499
2019-07-20,77.19562499999998,34.4251469375,,7.073666666666668,4.384398729892168,78.80833333333334,7.05284375,476.64999999999986,7.032020833333335,2.740499770833333,5.414043588225503,,245.34447670833345,30.408041666666673,1.0296448583333335,234.8047747916667,428.8208333333332,34.15988568750001,29.90055098865859,30.676228,37.950216,0.0,0.0,0.0,0.0,48.0,,350.88530060317606,,227.75193104166667,0.7883869382359827,1.1017085707046348,,204.19538598142486,1.2684126936926452,,27.14033619237944,,7.289231809671786,9.1,7.5,0.0,,0.9718975746229048,7.289231809671786,True,7.289231809671786
2019-07-21,69.86895833333332,4.019344229166658,,8.937395833333332,4.181500897486543,78.57499999999997,8.567385416666667,480.7833333333333,8.197375,3.237881354166667,5.570109168319878,,260.4653365625,32.05022916666666,1.3886082708333332,230.90551302083333,423.95416666666665,34.68014864583333,29.080272170144926,31.195395,38.52933,0.0,0.0,1.0,0.0,24.0,,350.1541996338466,,222.3381276041667,0.7633887061979331,1.1044688995803695,,213.62099877059364,1.3099486433071723,,3.0683219908676636,,7.629573152229493,9.5,7.8,0.0,,0.9781504041319862,7.629573152229493,True,7.629573152229493
2019-07-22,71.00874999999998,16.027519406250004,,8.496354166666666,4.076135377002254,78.43333333333341,8.520010416666667,476.82916666666665,8.543666666666669,3.887384270833332,5.343918404085586,227.2543289583334,242.7102738125,32.94639583333334,1.2677830270833332,232.51438654166665,417.9625,33.9604016875,28.67658339515154,30.623185,37.516689,0.0,0.0,1.0,0.0,18.0,,349.3993480954368,243.2818483645834,223.994376125,0.7476712200183001,1.1082192093929475,181.89483637505515,169.91152138671725,1.3374862817048432,1.086106948635264,11.983314988337922,8.110796401798003,6.064209041052353,10.1,8.0,0.0,0.7580261301315441,0.9844032336410676,7.875225869128539,False,
2019-07-23,78.95249999999999,,,6.098229166666666,,78.17499999999997,6.830260416666667,462.99166666666673,7.562291666666668,,,,218.77322587500007,26.79406250000001,,198.76293837499995,423.85833333333335,31.86984319791668,,27.443461500000005,34.368055,0.0,0.0,9.0,2.5,21.0,,348.6207283443705,,191.93267795833327,0.7325878948149858,1.1084355872442773,,157.00577901909017,1.3650239201025138,,,,5.592196090873881,6.8,5.6,3.1000001,,0.9986064447989076,5.592196090873881,True,5.592196090873881
2019-07-24,84.26562500000001,3.5142360208333323,,0.3606666666666665,,78.42500000000003,2.3334270833333326,437.2520833333333,4.306187499999999,2.9247535416666666,,,119.01542452083332,17.40583333333333,,119.572857,404.4604166666666,27.204751145833335,,25.752669,28.637832,0.0,0.0,0.0,0.2,14.0,,347.8183248105004,,117.23942991666668,0.7476712200183001,1.112621056546953,,119.8521000168065,1.3374862817048432,,2.6274931331287137,,4.249569395329639,5.0,4.2000003,0.0,,1.011802164711664,4.249569395329639,True,4.249569395329639
2019-07-25,73.9547916666667,48.37963877083331,,0.04037499999999993,3.1339283061427303,78.90000000000005,0.9274479166666668,442.17083333333335,1.8145208333333327,4.005934427083333,3.7949895853093967,236.89936541666668,47.70470933333334,32.00585416666667,0.6610612791666669,197.5741552083333,374.0708333333332,27.99420922916667,24.31628519975932,25.782489,30.490793,0.0,0.0,5.0,0.0,9.0,,346.9921243347509,285.27900418750005,196.64670729166664,0.7633887061979331,1.1151432479622247,217.7787699121304,180.84630006454057,1.3099486433071723,1.4507184387500265,36.9324698475898,8.406118317965161,6.41713578689817,6.4,5.3,0.0,1.210780337150598,1.0134810392935891,5.371449508256021,False,
2019-07-26,71.80916666666666,26.27448883333333,,0.017666666666666598,2.9547812642522917,79.14166666666664,0.7104270833333336,439.79166666666674,1.4031874999999998,3.0350761458333344,3.7511510663356233,200.98355269791665,51.72583610416668,27.253125,0.7963698020833333,166.78014145833333,377.1104166666667,27.78973975000001,23.348857350681637,25.566398,30.374342,0.0,0.0,0.0,0.0,4.0,,346.14211651720046,227.25804153124997,166.069714375,0.7633887061979331,1.1166563720115386,173.48622229761705,153.4285742611267,1.3099486433071723,1.3684496440939335,20.057648036490367,7.1302707932595455,5.443168195707314,6.2000003,5.3,0.0,1.0270128671145875,1.0521785468178804,5.576546298134764,False,
2019-07-27,70.3747916666667,69.05101739583334,,0.0644583333333335,2.8922271174317205,79.33124999999995,0.4578124999999999,439.675,0.8511666666666665,2.772464395833333,3.788550063265053,205.72747908333332,51.47590743750002,33.68168750000001,0.8963229458333332,210.66592135416667,363.9291666666666,27.92248354166666,22.96842751584877,25.283718,31.035674,0.0,0.0,0.0,0.0,5.0,,345.2682940751131,274.7784964791667,210.20810885416668,0.7633887061979331,1.116826284639554,209.76280091824435,157.05003408678814,1.3099486433071723,1.3071736289193112,52.712766831456186,7.299509901499423,5.572363419584645,6.0,5.3,0.0,1.051389324449933,1.0358130829497645,5.489809339633752,False,
2019-07-28,65.27979166666665,62.05540739583335,,-0.7878750000000005,2.6908338079061256,79.3291666666666,-0.12501041666666665,441.3229166666665,0.5378541666666665,2.0923921458333323,3.905411859989458,214.36387756250005,92.29707291666664,34.92335416666667,1.2145780520833336,210.8903498958332,357.88125000000014,28.396721750000008,21.613995189634352,24.664675,32.346639,0.0,0.0,0.0,0.0,4.0,,344.3706532103748,276.4192849583334,211.01536031249992,0.7641981504740799,1.1148042728453698,211.23910632052605,163.81647876171468,1.3085611361132417,1.3099486433071723,47.42262755881138,7.609440780369368,5.815120570500312,6.4,5.7000003,0.0,1.0201965376212894,0.9975779714839248,5.686194736731763,False,
