date,rh,sw_in,sw_out,H,Rn,theta_1,ws,t_avg,G,LE,wd,t_min,t_max,Rn_subday_gaps,H_subday_gaps,LE_subday_gaps,G_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2008-09-08,80.8075,277.834375,34.26604166666666,148.9683333333334,166.19291666666663,6.079166666666667,1.3847916666666664,20.120625000000004,-2.541875000000001,14.086875,195.258125,16.35,26.05,0.0,0.0,0.0,0.0,293.2864825481289,163.05520833333338,168.7347916666666,1.135402787449875,0.9047983322204723,185.13333804988685,15.994277141457955,0.8807447110870752,0.9663401763368802,169.1390609084289,0.4960702583928807,0.5632395541502565,7.5,5.7000003,0.0,0.09881395166773176,0.09441590826841036,0.5381707054547116,False,
2008-09-09,77.40000000000002,279.20166666666665,34.27395833333333,139.89687499999994,167.1964583333334,6.06125,1.6225000000000005,19.691250000000004,-0.2885416666666705,8.480416666666665,212.74916666666667,15.43,26.07,0.0,0.0,0.0,0.0,291.55643107632517,148.3772916666666,167.4850000000001,1.135402787449875,0.9076829723209144,168.46799055259638,9.628688722069711,0.8807447110870752,0.8859139126886977,158.8393018305267,0.2985151051854965,0.3389348825235054,7.5,5.6,0.0,0.06052408616491167,0.07467215878274325,0.4181640891833622,False,
2008-09-10,74.23166666666665,275.8391666666666,34.965625,137.103125,166.0772916666666,6.061458333333333,1.630625,19.016458333333336,-3.780416666666667,11.222083333333332,180.16020833333337,16.07,23.85,0.0,0.0,0.0,0.0,289.81139828116807,148.32520833333334,169.8577083333333,1.135402787449875,0.9094671070010552,168.40885499075011,12.74158469766145,0.8807447110870752,0.8732321293435561,155.66727029308868,0.3947669697726055,0.4482195178729569,7.4,5.5,0.0,0.08149445779508308,0.08070821776071943,0.4438951976839569,False,
2008-09-11,79.97166666666669,240.22395833333331,30.151875,122.07124999999996,154.30937500000005,6.040416666666667,1.5108333333333337,18.097708333333326,-6.335624999999998,13.946041666666668,186.02416666666667,15.02,23.4,0.0,0.0,0.0,0.0,288.05187079048363,136.0172916666666,160.645,1.143636358621574,0.9080060028119668,155.55432015123517,15.949200308851411,0.8744038194145043,0.8466948343656298,139.60511984238371,0.4901566376307146,0.5605609522141848,6.7000003,5.1,0.0,0.10991391219885976,0.08634072184335212,0.4403376814010958,False,
2008-09-12,85.60333333333331,92.49250000000002,11.406041666666667,48.78645833333332,51.502708333333324,5.959583333333327,1.3406250000000002,17.684583333333332,-17.24833333333333,6.306041666666666,182.17166666666665,16.18,20.2,0.0,0.0,0.0,0.0,286.2783509249574,55.09249999999999,68.75104166666665,1.143636358621574,0.9072193747956732,63.005786087359034,7.2118185289825885,0.8744038194145043,0.8013333131316192,55.793967558376465,0.22154833033909752,0.253370725767695,6.5,5.0,0.0,0.050674145153539005,0.08507360062865532,0.4253680031432766,False,
2008-09-13,81.39729166666669,238.0245833333333,30.577500000000004,116.33624999999996,146.04999999999995,5.9449999999999985,1.3810416666666665,18.693125,0.5322916666666678,14.498958333333327,242.96020833333338,15.77,23.6,0.0,0.0,0.0,0.0,284.49135650965223,130.8352083333333,145.51770833333333,1.143636358621574,0.9067730377792884,149.62790123782833,16.581535912139252,0.8744038194145043,0.8991016270929225,133.04636532568904,0.5098813849384635,0.5831188903999494,6.4,5.0,0.0,0.11662377807998987,0.09516117165235242,0.4758058582617621,False,
2008-09-14,66.81270833333333,268.18729166666674,32.938541666666666,,156.8577083333334,5.946666666666665,,,0.16270833333332893,,,13.41,26.96,0.0,8.0,9.0,0.0,282.6914206591382,,156.69500000000005,1.135402787449875,0.9072791952482452,,13.046280469556315,0.8807447110870752,,,,0.4593723286397581,6.6,5.1,0.0,,0.09007300561563884,0.4593723286397581,True,0.4593723286397581
2008-09-15,31.19208333333334,269.25937500000003,36.10145833333333,112.16791666666666,144.88250000000005,5.943124999999998,1.1964583333333334,28.066666666666674,2.8887500000000084,12.158333333333333,201.52895833333332,22.32,30.72,0.0,0.0,0.0,0.0,280.8790915365024,124.32625,141.99375,1.1204384250036727,0.9086042398237576,139.29990773661288,13.622663850669653,0.8925077698908102,0.8755755094854526,125.67724388594324,0.4314556502380177,0.4834194892116202,6.9,5.3,0.0,0.09121122437955098,0.086171669446935,0.4567098480687555,False,
2008-09-16,55.66708333333333,255.77916666666675,33.59812500000002,118.7514583333333,140.46145833333333,5.963333333333333,1.7672916666666667,24.280208333333345,3.2612500000000018,15.679999999999994,201.26583333333332,17.16,31.09,0.0,0.0,0.0,0.0,279.0549320865625,134.4314583333333,137.20020833333334,1.135402787449875,0.9105843627298106,152.63385251261838,17.803115707214037,0.8807447110870752,0.9798196370571592,134.83073680540434,0.5543913642536593,0.6294575003117439,6.9,5.2000003,0.0,0.12104951230709425,0.10204362032963316,0.5306268563271785,False,
2008-09-17,69.38479166666666,259.90312500000005,33.53875,122.71395833333328,154.47604166666662,5.94958333333333,1.4597916666666668,22.23791666666667,-0.908750000000002,7.1570833333333335,190.24479166666663,16.28,27.04,0.0,0.0,0.0,0.0,277.21951974367573,129.87104166666663,155.38479166666662,1.130091532054806,0.9127475019639909,146.76616444663682,8.088159269210584,0.8848840749932309,0.8358027852897443,138.67800517742623,0.2525517418044391,0.2854065848188884,7.5,5.6,0.0,0.050965461574801495,0.09721371997025853,0.5443968318334478,False,
2008-09-18,59.03270833333331,240.88770833333342,30.75979166666667,109.63125000000004,142.48291666666668,5.954166666666663,1.3785416666666668,23.59354166666667,-2.396458333333333,11.854374999999996,234.23708333333332,17.66,28.75,0.0,0.0,0.0,0.0,275.3734461145934,121.48562500000004,144.879375,1.1152659304952812,0.9147322212234904,135.48877860742584,13.220780564814994,0.8966471337969658,0.8385294663232776,122.26799804261084,0.4188524200684478,0.4671318340078378,7.2000003,5.4,0.0,0.08650589518663662,0.09716398952342356,0.5246855434264873,False,
2008-09-19,43.02083333333334,259.57708333333335,34.11979166666665,118.96770833333336,145.3104166666666,5.920624999999994,1.4266666666666663,23.65145833333333,-2.937500000000004,19.750625000000007,199.93062500000005,18.01,27.5,0.0,0.0,0.0,0.0,273.5173166368736,138.71833333333336,148.2479166666666,1.108054389921626,0.9169351224356488,153.70745821261144,21.884766734945817,0.902482774397682,0.9357186020039632,131.8226914776656,0.6978908385880365,0.7733010073835587,7.2000003,5.3,0.0,0.14590585044972804,0.09957185359473968,0.5277308240521202,False,
2008-09-20,74.474375,271.64208333333335,36.96729166666667,126.59375,143.98479166666667,5.881458333333333,2.0516666666666667,18.012708333333336,-2.7670833333333333,11.141041666666672,183.6033333333333,14.62,22.64,0.0,0.0,0.0,0.0,271.65175021342355,137.73479166666667,146.751875,1.096846509854178,0.9195741289061128,151.07392552507562,12.220012668223312,0.9117045922249838,0.9385555834749412,138.85391285685233,0.3915383220606054,0.4294574420263361,6.4,4.9,0.0,0.08764437592374208,0.08998828224686473,0.4409425830096372,False,
2008-09-21,79.53479166666666,256.6247916666666,32.76333333333332,127.3566666666667,149.02562499999996,5.871458333333334,1.2379166666666668,16.860416666666666,-4.831874999999996,12.017291666666667,213.418125,13.33,22.09,0.0,0.0,1.0,0.0,269.7773788238007,139.37395833333338,153.85749999999996,1.0791771414958156,0.923306058664586,150.40918995312362,12.96878646935482,0.9266319323757446,0.9058639217024416,137.4404034837688,0.4218662198385641,0.455268381219027,6.2000003,4.7000003,0.0,0.0968656068424138,0.09946345932271553,0.4674782886558008,False,
2008-09-22,77.188125,235.57625,29.197499999999994,121.38916666666668,140.39833333333334,5.844791666666667,1.3627083333333336,18.02020833333333,-4.95666666666667,11.980624999999998,206.02645833333332,13.57,23.44,0.0,1.0,1.0,0.0,267.89484711295785,133.36979166666666,145.35500000000005,1.0779743199734395,0.9277188501740457,143.76921047687432,12.914806087231787,0.9276658835663536,0.9175452627475259,130.85440438964253,0.42104748703278266,0.4538783785106895,5.4,4.2000003,0.0,0.1080662728787637,0.12706166574408792,0.533659034243669,False,
2008-09-23,52.68874999999999,263.2914583333333,35.99145833333331,109.31687500000002,146.36583333333337,5.818125000000001,1.2749999999999997,22.746666666666673,-1.8500000000000048,7.263125,200.23979166666663,17.23,27.02,0.0,0.0,0.0,0.0,266.0048119581721,116.58000000000004,148.21583333333336,1.0733157947206318,0.9320103096798412,125.12715534853129,7.795626781530287,0.9316922427851584,0.7865556423908827,117.331528567001,0.2564194219453189,0.275219015647045,6.9,5.1,0.0,0.053964512871969614,0.14046839533838454,0.7163888162257611,False,
2008-09-24,38.37645833333333,257.47291666666666,35.512916666666655,101.83500000000002,139.71874999999997,5.843541666666668,1.6570833333333326,27.37833333333333,5.589374999999998,18.102500000000006,204.37,23.43,30.41,0.0,0.0,0.0,0.0,264.1079420149495,119.93750000000004,134.12937499999998,1.0779743199734395,0.9364498652821099,129.28954500181442,19.514030127319195,0.9276658835663536,0.8941926405010091,109.77551487449524,0.6419643062935098,0.6920210365239671,8.3,5.9,0.0,0.11729170110575712,0.1488728215129054,0.8783496469261419,False,
2008-09-25,24.86395833333334,249.30916666666667,34.53708333333333,96.57729166666668,130.07958333333335,5.865624999999999,1.4279166666666667,29.08875,2.863541666666668,41.259374999999984,203.6135416666667,24.67,32.58,0.0,0.0,0.0,0.0,262.2049172427479,137.83666666666664,127.21604166666668,1.06869736035852,0.9420544137295284,147.30568182728385,44.09378515254229,0.9357186020039632,1.0834849509610454,103.21189667474155,1.4655998628437863,1.5662827047629633,7.9,5.6,0.0,0.2796933401362435,0.17725972121785188,0.9926544388199704,False,
2008-09-26,31.322500000000005,250.473125,34.791666666666664,100.40958333333334,131.2229166666667,5.86375,1.2333333333333332,27.45645833333334,1.7362500000000018,32.35854166666666,189.28854166666667,24.85,31.1,0.0,0.0,0.0,0.0,260.2964284114089,132.768125,129.48666666666668,1.0654669980200475,0.9467544592867592,141.46005557650042,34.47695824988996,0.9385555834749412,1.0253420558101218,106.98309732661049,1.1476095327984943,1.222740083810001,7.0,5.1,0.0,0.2397529576098042,0.2122655981140122,1.082554550381462,False,
2008-09-27,36.60895833333335,251.10895833333333,35.05145833333335,108.44312499999997,133.345625,5.8606250000000015,1.23125,26.52062500000001,0.6081249999999981,19.399166666666673,179.775,23.52,29.71,0.0,0.0,0.0,0.0,258.3831765892337,127.84229166666664,132.7375,1.0654669980200475,0.9508067895165584,136.21174272208663,20.669171872423913,0.9385555834749412,0.9631211350723544,115.54257084966277,0.6873763308370069,0.7323767957269409,6.8,5.0,0.0,0.14647535914538815,0.2386491123210193,1.1932455616050963,False,
2008-09-28,31.43958333333333,247.0179166666666,35.29520833333333,100.60708333333334,130.28437499999998,5.8468750000000025,1.1570833333333337,26.524583333333336,-0.962083333333336,37.14374999999999,173.19666666666663,23.11,31.14,0.0,0.0,1.0,0.0,256.46587261368364,137.75083333333333,131.24645833333332,1.0779743199734395,0.9533453604226928,148.49186088827454,40.040008647513424,0.9276658835663536,1.0495584801494644,108.45185224076117,1.3161303721639168,1.4187547429297882,6.3,4.8,0.0,0.29557390477703915,0.2629205945640717,1.262018853907544,False,
2008-09-29,31.369375000000005,165.27666666666667,24.26458333333333,36.607708333333335,75.02999999999999,5.861041666666669,1.2120833333333334,27.30125,-12.230000000000002,44.34041666666666,179.15854166666668,21.66,31.94,0.0,0.0,0.0,0.0,254.5452365457241,80.948125,87.25999999999998,1.0779743199734395,0.9558566007242502,87.25999999999998,47.79783050358896,0.9276658835663536,0.9276658835663536,39.462169496411015,1.5723153530882017,1.6949155735290524,6.6,4.8,0.0,0.35310741115188593,0.22621295209507145,1.0858221700563429,False,
2008-09-30,24.189375,231.271875,32.17583333333332,,132.39229166666664,5.85875,1.4027083333333341,30.597291666666663,6.048541666666669,,162.67624999999995,26.25,34.2,0.0,8.0,9.0,0.0,252.6219971088685,,126.34374999999996,1.0779743199734395,0.9585205794597882,,27.381578508222702,0.9276658835663536,,,,0.9740643716968446,6.8,5.0,0.0,,0.19481287433936886,0.9740643716968446,True,0.9740643716968446
2008-10-01,25.762291666666666,232.0385416666666,33.27145833333333,,120.00687500000002,5.903333333333329,1.6900000000000002,30.451250000000005,7.7472916666666665,,156.93520833333338,26.19,34.76,0.0,9.0,10.0,0.0,250.6968911140184,,112.25958333333335,1.0389421016242386,0.9603640226283328,,25.817516908928976,0.9625175439869476,,,,0.9182945279834108,7.7000003,5.4,0.0,,0.17005454221915012,0.9182945279834108,True,0.9182945279834108
2008-10-02,37.931041666666665,226.26375,34.98041666666666,96.31041666666664,108.1760416666667,5.895416666666666,1.6599999999999997,25.40854166666666,-3.471458333333333,13.867083333333335,200.6004166666667,19.65,28.72,0.0,0.0,0.0,0.0,248.7706628712184,110.1775,111.64750000000004,1.0382909932974058,0.9622433652142232,114.39630591402495,14.398067728304571,0.9631211350723544,0.9868335609843476,99.99823818572037,0.4908278898530405,0.5096221772935832,7.5,5.3,0.0,0.0961551277912421,0.134711579701684,0.7139713724189253,False,
2008-10-03,72.95729166666669,229.75791666666663,39.29645833333333,111.13625000000003,120.21812500000004,5.842291666666665,2.088125,18.859583333333333,-2.1868750000000032,11.09645833333333,194.03166666666672,15.83,23.16,0.0,0.0,0.0,0.0,246.84406358948561,122.23270833333336,122.40500000000004,1.0389421016242386,0.9632609830898256,126.99270688305593,11.528577741419124,0.9625175439869476,0.9985924458423538,115.4641291416368,0.3902889166195176,0.4054875872733288,6.9,4.9,0.0,0.08275256883129159,0.08937023301605403,0.4379141417786648,False,
2008-10-04,84.54208333333334,59.15104166666666,9.344583333333334,27.7675,17.968750000000007,5.7858333333333345,1.84375,15.753125,-19.198333333333327,1.9202083333333333,209.92666666666665,14.27,17.69,0.0,0.0,0.0,0.0,244.91785076588852,29.687708333333337,37.167083333333345,1.0779743199734395,0.9641401372932922,32.00258720219482,2.0699352723323314,0.9276658835663536,0.7987634667772783,29.932651929862484,0.06733725840846552,0.07258783534174139,4.6,3.2,0.5,0.02268369854429418,0.09297239767561304,0.2975116725619617,False,
