date,H_qc_flag,vpd,vp,Rn_qc_flag,rh,LE_qc_flag,G,lw_out,sw_out,t_avg,es,LE,sw_in,t_avg_qc_flag,vpd_qc_flag,wd,G_qc_flag,t_dew,Rn,ws,lw_in,H,t_min,t_max,H_subday_gaps,Rn_subday_gaps,G_subday_gaps,LE_subday_gaps,ppt,rso,flux,energy,ebr_5day_clim,LE_corr,flux_corr,ebr_corr,H_corr,ebr,ebc_cf,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2018-12-23,1.0,0.11573750624999996,,0.9166666666666666,91.7777799878185,0.9583333333333334,,,,,1.4100881487082253,,,1.0,1.0,,0.9166666666666666,10.351809685102344,,,,,7.736455,15.387615,0.0,3.0,3.0,0.0,,138.9493075937882,,,1.0940091277118629,13.96732769786666,,1.0940091277118629,,,0.9140691559781732,,0.4918033047362354,2.2,1.4,0.0,,0.3512880748115967,0.4918033047362354,True,0.4918033047362354,
2018-12-24,1.0,0.1097258875,,1.0,92.02885594866012,0.8541666666666666,,,,,1.3726609412995392,,,1.0,1.0,,1.0,9.980460256597679,,,,,8.150523,15.445489000000002,0.0,10.0,10.0,0.0,,139.08143563554137,,,1.0907416921127802,19.649265904100577,,1.0907416921127802,,,0.9168073497428963,,0.6918699207403639,3.2,2.0,0.0,,0.34593496037018195,0.6918699207403639,True,0.6918699207403639,
2018-12-25,1.0,0.10808481875000003,,1.0,91.7436455399372,1.0,,,,,1.3006759989157644,,,1.0,1.0,,1.0,9.197267943965832,,,,,8.017837,14.299647,0.0,0.0,0.0,0.0,,139.25295739134722,,,1.0882147067892287,13.541644567874151,,1.0882147067892287,,,0.918936303434544,,0.47681458430027396,2.2,1.4,2.5,,0.3405818459287672,0.47681458430027396,True,0.47681458430027396,
2018-12-26,1.0,0.12159749999999997,,0.8541666666666666,90.30708260445616,0.8333333333333334,,,,,1.2505579451613185,,,1.0,1.0,,0.8541666666666666,8.366078936013473,,,,,6.7302550000000005,14.125404,0.0,7.0,7.0,0.0,,139.46383637146528,,,1.0866021823448615,5.712344144090525,,1.0866021823448615,,,0.9203000106644584,,0.20113723889241145,0.8,0.6,28.0,,0.33522873148735244,0.20113723889241145,True,0.20113723889241145,
2018-12-27,1.0,0.12225131875,,1.0,90.42260700910414,1.0,,,,,1.2682034064532732,,,1.0,1.0,,1.0,8.622817887317161,,,,,7.40388,13.802678,0.0,0.0,0.0,0.0,,139.71402481289266,,,1.0838224984889548,3.747417553680468,,1.0838224984889548,,,0.9226603077479764,,0.13195024681837508,0.6,0.4,0.0,,0.3298756170459377,0.13195024681837508,True,0.13195024681837508,
2018-12-28,1.0,0.12768019583333334,,1.0,90.08599868280241,1.0,,,,,1.2910549680906585,,,1.0,1.0,,1.0,8.837841876938409,,,,,7.40388,13.802678,0.0,0.0,0.0,0.0,,140.00346358809477,,,1.0810428146330486,10.138165614409944,,1.0810428146330486,,,0.9250327428885804,,0.3569747528649753,1.7,1.1,0.0,,0.324522502604523,0.3569747528649753,True,0.3569747528649753,
2018-12-29,1.0,0.12276245624999994,,1.0,90.74206855322431,1.0,,,,,1.3465454923562958,,,1.0,1.0,,1.0,9.55214173403152,,,,,8.029321000000001,14.460185,0.0,0.0,0.0,0.0,,140.33208209978164,,,1.078399208415628,8.15803641765096,,1.078399208415628,,,0.9273003839359164,,0.2872524621135729,1.3000001,0.90000004,0.0,,0.3191693881631082,0.2872524621135729,True,0.2872524621135729,
2018-12-30,1.0,0.11586527708333333,,1.0,91.47016423438043,1.0,,,,,1.3581429966800196,,,1.0,1.0,,1.0,9.787790496058618,,,,,9.729613,13.842941,0.0,0.0,0.0,0.0,,140.6997981623874,,,1.075755602198207,16.93366415106889,,1.075755602198207,,,0.9295791701726605,,0.5962509200712175,3.0,1.9,0.0,,0.31381627372169346,0.5962509200712175,True,0.5962509200712175,
2018-12-31,1.0,0.10997015208333336,,1.0,91.70019559395706,1.0,,,,,1.3167297238278228,,,1.0,1.0,,1.0,9.380004113977455,,,,,8.468516000000001,14.299647,0.0,0.0,0.0,0.0,,141.10651787101432,,,1.0729759183423009,8.76042512706901,,1.0729759183423009,,,0.9319873660771016,,0.3084631592802787,1.5,1.0,0.0,,0.3084631592802787,0.3084631592802787,True,0.3084631592802787,
2019-01-01,1.0,0.10713385625,,1.0,91.52005650109304,1.0,,,,,1.2571697226241796,,,1.0,1.0,,1.0,8.672152678344224,,,,,7.40388,13.802678,0.0,0.0,0.0,0.0,,141.55213545869222,,,1.069214625473898,6.025876806450177,,1.069214625473898,,,0.9352659196527352,,0.2121770313872048,1.0,0.7,0.0,,0.30311004483886395,0.2121770313872048,True,0.2121770313872048,
