date,rh,H,sw_in,theta_3,g_2,vp,theta_1,P_1_1_1,g_3,lw_out,g_1,wd,es,ws,LE,sw_out,P_2_1_1,vpd,Rn,lw_in,t_avg,theta_mean,G,t_dew,theta_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2014-07-21,77.11274999999998,35.48503308333333,194.73964332708331,38.95225458333332,,2.4437120842840336,,0.0,,,,,4.481714234284033,,103.49548354166664,,,2.038002149999999,,427.0056985125,30.380679770833336,36.782550625000006,,20.297486496587275,34.61284666666666,23.781163,37.616222,48.0,48.0,0.0,0.0,0.0,,353.1293511712684,138.98051662499998,,1.1911634373912041,0.8395153583542864,165.54850991344034,123.2800359299564,0.8395153583542864,,42.26847398348392,3.680943372053759,4.384605159897924,13.900001,9.8,0.0,0.4474086897855024,0.5126239595935226,5.023714804016522,False,
2014-07-22,69.11925000000001,33.09449256250001,185.92847442291668,37.83181,,2.39279842753788,,0.0,,433.4294626791668,,,4.771831921287879,,98.14804166666666,,,2.37903349375,,432.9324193458335,31.46397372916668,35.81491604166667,,19.89690829628951,33.79802208333333,23.917984,38.923454,48.0,48.0,0.0,0.0,0.0,,352.2506302114696,131.24253422916667,,1.1770671440502836,0.8495692068669964,154.48127494304683,115.52683509871157,0.8495692068669964,,38.954439844335226,3.4944341790796183,4.113183659240944,12.3,8.900001,0.0,0.4621554154028684,0.4281012319887654,3.810101392801244,False,
2014-07-23,66.40006249999999,24.58165420833333,123.04338195833333,38.46471812500001,,2.0801160972377564,,0.0,,,,,3.4721080243210913,,49.1368927083333,,,1.3919919270833336,,402.97329112500006,26.266875770833327,36.264159479166665,,17.62076957509606,34.063600833333346,20.982081,32.168349,48.0,48.0,0.0,0.0,0.0,,351.34487072220566,73.71854691666664,,1.1636261317223906,0.8593825565947093,85.78082758483637,57.176972387056026,0.8593825565947093,,28.60385519778034,1.7406541794003083,2.025470689441993,9.0,6.9,0.5,0.29354647673072365,0.38280793160159904,2.6413747280510336,False,
2014-07-24,59.53187500000002,77.7226413958333,288.7947298979166,38.22150229166667,,2.015125377412953,,0.0,,,,,3.6477645190796206,,71.11956645833334,,,1.6326391416666668,,405.51503901041673,26.67256995833333,35.9583421875,,17.26933283750493,33.695182083333336,17.343573000000006,33.606936,48.0,48.0,0.0,0.0,0.0,,350.4121256196576,148.84220785416667,,1.1504169678095209,0.8692500440984229,171.23060144166487,81.81715599692356,0.8692500440984229,,89.41344544474131,2.520371146537963,2.899477732154809,11.3,8.1,0.0,0.3579602138462727,0.3466785753969634,2.8080964607154035,False,
2014-07-25,78.83079166666666,49.94226743750002,56.67038766041668,36.77829437500001,,2.017123564311525,,0.0,,444.24100338958334,,,4.973684422644858,,88.29728541666663,,,2.9565608583333334,,435.6605191020835,32.14761179166666,34.76640583333334,,17.17402110146647,32.754517291666666,24.892458,39.772724,48.0,48.0,0.0,0.0,0.0,,349.4524515870118,138.23955285416665,,1.1355773663718034,0.8806093090733428,156.9817073585503,100.26839883123777,0.8806093090733428,,56.713308527312535,3.1458030880746857,3.5723027858801384,16.5,11.2,0.0,0.3189556058821552,0.33206312384805703,3.7191069870982383,False,
2014-07-26,69.85085416666668,42.28446266666665,227.16257719166663,36.37209333333333,,1.88374370040104,,0.0,,,,,4.8086220587343735,,72.26491874999998,,,2.924878358333334,,432.0399494145832,31.605451187500005,34.37035822916666,,16.077540063292275,32.36862312499999,25.843291,39.858983,48.0,48.0,0.0,0.0,0.0,,348.4659093701036,114.54938141666665,,1.1245156416113802,0.8892717566534203,128.8125711399496,81.26303147415051,0.8892717566534203,,47.5495396657991,2.573253237366704,2.89366351524598,16.300001,11.0,0.3,0.2630603195678164,0.3149404051607642,3.4643444567684063,False,
2014-07-27,76.47472916666669,41.649086499999996,85.15131696875002,36.22427270833333,,1.874951924254319,,0.0,,,,,3.7203033388376516,,59.387217499999984,,,1.8453514145833332,,408.32600734375006,27.468808124999995,34.20128010416666,,15.059585459136427,32.1782875,20.485204,32.507949,48.0,48.0,0.0,0.0,0.0,,347.45256408337644,101.036304,,1.1178354321391193,0.894586064503586,112.94196054357941,66.38513593765235,0.894586064503586,,46.55682460592707,2.1062183008198283,2.354405444476254,11.900001,8.3,0.0,0.28366330656340405,0.32614134907818954,2.706973197348973,False,
2014-07-28,90.77408333333334,71.69228460416666,69.24404445,37.173093125,,1.4413412093157492,,0.0,,418.56613860416655,,,2.9271154968157496,,60.19760125,,,1.4857742875,,384.4198872604167,23.1151451875,34.82397770833334,,12.1515971130507,32.47486229166667,15.678087,29.957672,48.0,48.0,0.0,0.0,0.0,,346.4124855256523,131.88988585416666,,1.1200404792187368,0.8928248742380553,147.72201095620534,67.42375015186843,0.8928248742380553,,80.29826080433689,2.125988920836813,2.381193649707789,9.3,6.9,0.0,0.3451005289431577,0.3262108288585927,2.2508547191242902,False,
2014-07-29,90.3829375,65.18770385416668,49.09048069791666,37.334371458333344,,1.5329317760602077,,0.0,,417.48289653958335,,,2.8529431989768743,,49.75403833333334,,,1.3200114229166664,,382.76069475625,22.724047395833324,34.8834496875,,13.07875253563325,32.43252791666668,15.226149,28.659829,48.0,48.0,0.0,0.0,0.0,,345.3457485051385,114.94174218750004,,1.1302748076120022,0.8847405898683689,129.91575553756493,56.23573610512851,0.8847405898683689,,73.68001943243642,1.756492330238738,1.9853190306325463,7.8,5.8,0.0,0.3422963845918184,0.34353110145540544,1.992480388441352,False,
2014-07-30,83.6815625,19.226757083333336,95.88818967291668,38.635690000000004,,1.6412710619442905,,0.0,,,,,2.3685842994442896,,27.880729583333334,,,0.7273132375000001,,369.0186130145833,20.007150583333328,35.841877500000024,,14.096133082806865,33.048065,14.096922,24.756497,48.0,48.0,0.0,0.0,0.0,,344.25243317304154,47.10748666666667,,1.1366432480673685,0.8797835219628475,53.544406653090256,31.69044303208797,0.8797835219628475,,21.853963621002286,0.981714583142418,1.1158592524581004,4.0,3.0,1.0,0.3719530841527001,0.35257082483483665,1.0577124745045101,False,
