date,rh,H,sw_in,g_2,vp,theta_1,g_3,lw_out,g_1,ws,es,LE,wd,sw_out,G,vpd,Rn,lw_in,t_avg,t_dew,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2013-03-01,56.81815441666668,13.758976645833336,151.11756881249997,,0.5960957993076547,,,344.61305625,,2.0583392916666665,1.0263551934764046,53.60191341666667,296.67369102083336,17.5855669375,,0.43025939416875,70.01574460416666,281.0967958333334,7.160027520833332,-0.5394069950943141,2.418204,10.734803,0.0,48.0,0.0,0.0,0.0,1.8111928241740178,224.3790871936173,67.3608900625,,0.8675726414991638,1.1526412339052117,58.440465325257904,46.50355361230697,1.1526412339052117,,11.93691171295093,1.864342946987342,1.617452935178144,3.6000001000000004,2.4,0.0,0.6739387229908934,0.6715661359957381,1.6117587263897717,False,
2013-03-02,61.3293371875,32.665242375,170.08161933333338,,0.5862230806482617,,,346.79241666666667,,1.49952725,0.9377157381586784,53.81879921874998,256.3502710416666,20.184304979166665,,0.35149265751041664,84.24945210416669,281.14455,5.948444083333335,-0.8221651710707185,2.37032,8.987202,0.0,48.0,2.0,0.0,2.0,1.663182768106993,226.38523336216545,86.48404159374998,,0.8693638306404262,1.1502663956738794,75.18609768920844,46.78811744928046,1.1502663956738794,,28.397980239927968,1.869733428916836,1.6254786160395998,2.7,1.9,0.0,0.8555150610734736,0.7631376773578354,1.4499615869798872,False,
2013-03-03,66.74256981250001,35.44881660416668,152.81563060416667,,0.4870495732703514,,,329.91868125,,1.4796465416666669,0.7476056661599347,43.27662864583333,273.7548121666666,22.22473041666667,,0.2605560928895834,55.47103020833333,254.79881875,2.625917,-3.4020089235578546,-0.872274,6.8080289999999986,0.0,48.0,7.0,0.0,5.0,1.441088090097671,228.39753882640477,78.72544525,,0.8713128745709081,1.1476933592797718,68.59449400265216,37.70748370713874,1.1476933592797718,,30.88701029551341,1.4987575758843852,1.3058867717287492,3.1000001,2.1000001,0.0,0.6218508140684132,0.7036689712958375,1.477704910088156,False,
2013-03-04,54.68931135416666,48.66419757291666,234.75490164583337,,0.40169676943620297,,,330.8953875,,2.2084572291666658,0.7640885122403697,57.1456540625,265.7713860625001,32.69387339583334,,0.3623917428041666,102.69434904166668,231.52870625,2.7366405,-6.073340779009942,-1.63198,8.96915,0.0,48.0,4.0,0.0,5.0,2.1878231345835912,230.4151846630673,105.80985163541666,,0.8714116186486789,1.1475633083143033,92.20393408259501,49.79738690534057,1.1475633083143033,,42.406547177254424,1.9792775030280751,1.7247654126686105,3.8,2.6000001,0.0,0.6633712870505699,0.7255592749850137,1.8864541875169631,False,
2013-03-05,66.78424652083334,,128.5183422708333,,0.6027964352809699,,,343.60935416666666,,1.5186553541666672,0.9685854479538871,,152.06392229166667,15.57472466666667,,0.36578901267291664,80.06362412499998,310.7293520833333,5.444191770833334,-0.8432499614442648,-3.119161,13.555156,0.0,48.0,8.0,12.954,4.0,1.6187566110542226,232.43735260981362,,,0.8726091355360102,1.1459884606705826,,52.421127522971624,1.1459884606705826,,,,1.8203051343560763,3.5,2.4,8.3,,0.7584604726483652,1.8203051343560763,True,1.8203051343560763
2013-03-06,84.55479314583334,-1.662874874999999,61.838838458333356,,0.9086545702960076,,,340.82834583333334,,4.957400979166668,1.0445983331251738,,247.8272944375,6.242225979166667,,0.1359437628291667,41.474433270833345,326.7061645833333,7.276169354166665,4.878036821517134,3.96652,13.47926,0.0,48.0,1.0,20.066000000000006,24.0,1.4604280317518648,234.46322575602986,,,0.8744674237115775,1.1435531763500275,,45.68465535717147,1.1435531763500275,,-1.4541299078959606,,1.58914602937283,3.5,2.3,1.8000001,,0.6909330562490567,1.58914602937283,True,1.58914602937283
2013-03-07,56.8241729375,17.62398152083334,230.85312066666665,,0.6185316404957791,,,345.46652083333333,,3.616543791666668,1.065475197331196,98.9342681875,317.81055258333333,31.25397850000001,,0.4469435568354165,111.63052395833334,257.4979020833333,7.702689395833333,-0.01490227152138009,4.1564190000000005,12.30449,0.0,48.0,2.0,0.0,0.0,2.7321913341567394,236.49198923284627,116.55824970833334,,0.873856895978998,1.1443521297382242,101.85523029086912,86.45439250428245,1.1443521297382242,,15.400837786586642,3.4428358074279783,3.0085458120443604,5.6,3.7,0.0,0.813120489741719,0.7082036167942175,2.620353382138605,False,
2013-03-08,48.76570122916667,31.893361083333346,245.56115874999992,,0.5260460388418041,,,345.44523333333336,,3.842541666666667,1.0466785892209711,85.68030035416669,323.25860864583336,38.31588295833333,,0.5206325503791668,108.79524812499996,246.99520416666675,7.410217479166665,-2.2792956518898184,3.177619,11.548239,0.0,48.0,0.0,0.0,0.0,2.9370320495788507,238.52283090100067,117.57366143750002,,0.8719796746924209,1.1468157217686714,102.52184305266809,74.71148043037519,1.1468157217686714,,27.810362622292928,2.9807789841145267,2.5991786888981894,4.5,3.1000001,0.0,0.8384447113076511,0.7231477267087666,2.2417580251119493,False,
2013-03-09,55.497471625,42.10976475,246.00688418750008,,0.6035142689151585,,,354.1243729166668,,2.4150219791666667,1.1358510912172417,65.01918964583334,210.10186391666664,38.65054552083335,,0.5323368223020833,105.42757791666668,252.19560416666664,8.213422291666669,-0.4985519383402621,1.495774,15.768677,0.0,48.0,4.0,0.0,4.0,2.8855128901720435,240.5549420351693,107.12895439583336,,0.8693385652044716,1.1502998256666508,93.13133150632902,56.52368903746619,1.1502998256666508,,36.60764246886284,2.263716806385407,1.9679363204923384,5.6,3.8,0.0,0.5178779790769312,0.7231477267087666,2.7479613614933127,False,
2013-03-10,68.71411610416669,,243.84256804166668,,0.7313965619289378,,,362.79854583333326,,1.2572256874999996,1.2141541045018551,,92.33688927083334,37.179324625,,0.4827575425729166,118.35789514583333,274.49319375,8.284362333333334,1.6998452557498602,-2.065921,18.291493,0.0,48.0,11.0,0.0,16.0,2.4723498460952396,242.58751800339337,,,0.8688685532293069,1.1509220770890134,,62.307227211798065,1.1509220770890134,,,,2.1694431801263003,4.1,3.0,0.0,,0.7231477267087666,2.1694431801263003,True,2.1694431801263003
