date,lw_in,theta_1,es,sw_out,vpd,H,vp,Rn,rh,ws,LE,wd,t_avg,sw_in,t_dew,lw_out,G,t_min,t_max,H_subday_gaps,G_subday_gaps,LE_subday_gaps,Rn_subday_gaps,rso,flux,energy,flux_corr,ebr,ebr_corr,LE_corr,ebc_cf,ebr_5day_clim,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2018-05-25,-37.433125,,3.3952079169809313,25.317062500000013,0.5674826041666666,13.591650625,2.8277253128142648,137.67031249999997,85.25208333333333,1.8834283333333333,101.75340000000004,199.1304375,25.97408333333334,203.56685416666667,22.633671731611237,2.460125,9.772548541666668,22.953000000000007,31.266,3.0,0.0,3.0,0.0,354.862886136571,115.34505062500004,127.8977639583333,139.86180955812029,0.9018535356300468,0.8247072663325425,123.38123374672743,1.2125514601647454,,16.480575811392825,3.603550914784959,4.369490923500505,6.0,4.9,0.0,0.8917328241751502,0.8456298504070779,4.1435863476402295,False,,4.077948850365675
2018-05-26,-44.67979166666667,,3.6720723423427613,43.2493125,0.78096975,29.96362854166667,2.89110259234276,188.136,82.63888541666662,1.8109041666666663,111.48605864583335,189.2892020833333,27.03745833333333,286.78489583333334,22.979895636363977,9.911708333333333,19.251694375000003,21.896,34.791,5.0,0.0,5.0,0.0,355.4589223790502,141.44968718750005,168.884305625,175.71581082646796,0.8375537718796836,0.8049912328446744,138.49350663343802,1.2422495540307992,,37.222304193029935,3.952295885814843,4.909737801551252,6.5,5.4,0.0,0.909210687933734,0.8456298504070779,4.566401272843769,False,,5.602857390472283
2018-05-27,-58.86125000000001,,4.219979408129056,55.85352083333333,1.1954809645833333,32.44581041666667,3.0244984435457236,200.79808333333332,76.47626041666666,1.5528212499999998,85.9859341666667,163.55741666666663,29.29877083333332,333.7462083333333,23.66922789745329,17.30947916666667,32.399347916666656,22.998,36.699,2.0,0.0,2.0,0.0,356.03034843389474,118.43174458333336,168.39873541666668,147.1217818917354,0.7032816742376321,0.8049912328446744,106.81598837146336,1.2422495540307992,,40.30579352027202,3.0549825224716365,3.795050676112276,6.6,5.7000003,0.0,0.6657983308115519,0.88974881420699,5.0715684955390214,False,,6.511617387585212
2018-05-28,-46.05895833333333,,3.717002121869829,41.123145833333346,0.8099442291666668,19.77834,2.9070578927031634,132.686125,81.807925,2.1174022916666666,99.88508541666666,100.67086249999998,27.286895833333343,236.09814583333332,23.072004389018193,15.303583333333336,12.14477708333333,23.071,34.803000000000004,4.0,0.0,5.0,0.0,356.5772208976176,119.66342541666666,120.54134791666668,144.63102402315184,0.9927168352173484,0.8273703807663804,120.72596232432764,1.2086485366731592,,23.90506169882421,3.5418852762409023,4.280894456192773,7.0,5.6,2.0,0.7644454516242808,0.9871427197686286,5.527999136563053,False,,5.069554293223764
2018-05-29,-22.617625,,3.0459470836770848,14.761458333333335,0.14112731250000002,9.609584375,2.904819771177085,112.19345833333333,96.08386041666664,2.771856041666666,,109.46674104166668,24.2519375,153.38379166666667,23.07694335034553,3.153854166666667,-3.492268125000003,21.976,28.755,0.0,0.0,1.0,0.0,357.09959720910433,,115.68572645833332,,,0.8273703807663804,130.99803612568323,1.2086485366731592,,11.614610092881,,4.631517623241669,5.6,4.6,22.7,,1.0068516781005494,4.631517623241669,True,4.631517623241669,2.9210430368032663
2018-05-30,-46.49854166666666,,3.774541898415265,30.38458333333333,0.8446268541666667,1.6696120833333317,2.929915044248597,234.8507916666668,80.910625,3.1851549999999995,179.43501395833337,233.914875,27.67402083333333,312.1086875000001,23.22274383777379,-0.42218749999999977,15.958950416666665,22.867,32.78,0.0,0.0,0.0,0.0,357.59753536970385,181.10462604166668,218.89184125000008,221.71484219705,0.8273703807663804,0.8168358250040348,219.67084261693225,1.2242362166167975,,2.043999580117688,6.3650816565344845,7.792363485652754,8.2,6.4,0.0,1.2175567764902329,0.9997733408561328,6.398549476825067,False,,5.935176351051374
2018-05-31,-41.55208333333333,,4.1035417443101885,31.48974999999999,1.1166576041666665,-19.802155000000006,2.9868841401435238,207.88635416666668,74.61273125000002,5.015962916666668,213.51879583333337,208.17629166666674,29.271416666666664,274.9350833333333,23.50897072228543,-6.6615416666666665,13.224196041666666,25.854,32.849000000000004,0.0,0.0,0.0,0.0,358.0710936757665,193.71664083333337,194.662158125,237.15492746951503,0.9951427781302028,0.8168358250040348,261.39744278757445,1.2242362166167975,,-24.242515318059407,7.585878701222494,9.286907440898572,7.8,6.3,18.1,1.4741122475768214,1.163425582086114,7.3295813890483394,False,,6.185664086743248
2018-06-01,-35.89089583333333,,,24.298416666666665,,6.51970625,3.1043307659398782,194.66377083333336,,2.5844422916666665,101.9223109375,,26.45218749999999,258.7854375,,3.2545416666666664,10.42425625,20.284,32.704,3.0,0.0,4.0,0.0,358.52033046366813,108.4420171875,184.23951458333332,133.44855962445868,0.5885926123543417,0.8126128711517734,125.4254203395011,1.2305982780984377,,8.023139284957622,3.6112036736473647,4.4439410226532,5.0,4.4,1.0,1.009986574166676,1.2360268795002305,5.438518387677722,False,,4.634716260536083
2018-06-02,-59.54722916666668,,3.972789782248045,36.663895833333335,0.7956581854166668,3.766484999999999,3.1771315968313787,193.1033125,83.33821041666666,1.5397366666666663,114.18023958333336,158.92043750000005,28.449979166666665,290.4532083333333,24.450410607065944,0.14081250000000026,18.12196,22.182,34.263000000000005,2.0,0.0,3.0,0.0,358.9453038673238,117.94672458333336,174.9813525,146.2812091245496,0.67405310850671,0.8063012692416892,141.60989686983584,1.2402312115178495,,4.671312254713807,4.053353900903067,5.0270960192276135,6.5,5.8,9.900001,0.8667406644672329,1.2412924762643842,7.199496599091178,False,,5.418127054156397
2018-06-03,-65.13979166666667,,3.3764097785953204,38.23627083333333,1.1408113437499998,-13.214065,2.2355984348453206,223.93693750000003,68.61685624999997,3.631749375,247.60832916666672,145.16901541666667,25.915875000000003,328.5229583333333,18.68051826200806,0.058562500000000024,8.949406666666668,21.232,29.654,0.0,0.0,0.0,0.0,359.3460715881511,234.39426416666672,214.98753083333332,290.70308222025994,1.090269111227563,0.8063012692416892,307.0915780642856,1.2402312115178495,,-16.388495844025613,8.768443720760978,10.874897578925466,8.3,6.6,0.0,1.6477117781914408,1.221803962231698,8.063906034208902,False,,6.190679085386154
