date,rh,H,sw_in,theta_3,g_2,vp,theta_1,G,g_1,ws,es,theta_4,LE,sw_out,wd,vpd,Rn,t_avg,theta_mean,t_dew,theta_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2014-01-27,30.153541666666676,39.770155625,,6.908333333333334,,0.4038402489695737,4.674999999999999,1.1658069791666654,1.1658069791666654,3.5634509375000007,1.2357873744279069,19.02083333333334,1.4369939374999998,,164.17471250000003,0.8319471254583334,54.13908333333333,10.031294166666667,9.9484375,-6.9588028260933426,9.189583333333333,5.91059,12.0912,0.0,0.0,0.0,0.0,0.0,,190.3512572080186,41.20714956249999,52.97327635416666,1.3089088865889689,0.808283903402528,53.936404253357,1.880894134768223,0.7639951185647543,0.7778856132476843,52.05551011858877,0.05011725208368769,0.06559891662375833,2.8,1.9,0.0,0.03452574559145175,0.0647600792948907,0.12304415066029233,False,
2014-01-28,33.439166666666665,46.7565963125,,6.9187499999999975,,0.3635650663775835,4.572916666666667,-2.5311302708333323,-2.5311302708333323,2.452568458333333,1.0590897440213334,19.100000000000016,3.4076354791666668,,145.25665624999996,0.6955246776437498,74.0380208333333,7.6178510416666665,9.934374999999998,-8.366536866885411,9.145833333333332,1.61574,11.3901,0.0,0.0,0.0,0.0,0.0,,191.72897848522027,50.16423179166666,76.56915110416662,1.3046908919322335,0.8147240914740491,65.44881631936488,4.445910972693882,0.7664650732090346,0.655149378937504,61.002905346671,0.11857350595647595,0.1547017732458866,2.7,1.9,0.0,0.08142198591888769,0.058840435170141425,0.11179682682326872,False,
2014-01-29,25.62937499999999,53.6136203125,,6.866666666666667,,0.23148125537125186,4.437500000000001,-0.8821065000000002,-0.8821065000000002,2.113887270833334,0.9372555089754184,19.060416666666672,3.6025540416666684,,184.09939583333332,0.7057742536041666,79.68500000000002,5.3605985208333315,9.852083333333336,-14.027684964478695,9.043750000000003,-1.7527400000000002,11.630999999999998,0.0,0.0,0.0,0.0,0.0,,193.13523414460303,57.21617435416667,80.56710650000002,1.302186675393047,0.8153133977184744,74.50613986096124,4.691197870441705,0.7679390512102757,0.7101679188909018,69.81494199051953,0.12508749428178173,0.16288726831204015,3.3,2.3,0.0,0.07082055144001748,0.05407378792902562,0.12436971223675893,False,
2014-01-30,17.628124999999994,15.205112145833327,,6.881249999999999,,0.2785290866441897,4.527083333333334,6.514058583333334,6.514058583333334,5.350438124999998,1.5626851352379394,19.0,3.275723187500001,,200.74925000000007,1.2841560485937502,42.941458333333344,13.259263958333335,9.875520833333336,-11.068078770789628,9.093749999999998,8.54491,19.273,0.0,0.0,0.0,0.0,0.0,,194.56944439700038,18.480835333333328,36.427399750000006,1.2855360517917085,0.8124073478433554,23.75778008822603,4.2110602532213015,0.7778856132476843,0.5073333660971321,19.54671983500473,0.11459815783104373,0.14732006336072306,5.8,3.7,0.0,0.03981623334073595,0.05454295893515749,0.2018089480600827,False,
2014-01-31,28.97708333333334,36.639868750000026,,6.918750000000002,,0.4359464712138335,4.541666666666667,8.136259749999995,8.136259749999995,6.726382291666668,1.5834871227388334,19.077083333333352,2.601516208333332,,223.0231666666666,1.1475406515250002,67.2712708333333,13.577935833333335,9.933854166666665,-4.950414871458958,9.197916666666668,9.33459,18.5823,0.0,0.0,0.0,0.0,0.0,,196.0310148090793,39.24138495833335,59.13501108333331,1.302186675393047,0.8121730532494169,51.09960861671085,3.387659742310708,0.7679390512102757,0.66358971173666,47.711948874400136,0.09103938264742233,0.11855027101948235,6.8,4.3,0.0,0.027569830469647057,0.055695992474298336,0.2394927676394829,False,
2014-02-01,42.103125,44.90822741666665,,7.0,,0.5220755679800387,4.460416666666666,1.2725135208333338,1.2725135208333338,4.8795847708333335,1.2468868565362887,19.168750000000017,2.673741187500001,,207.58305041666665,0.7248112885562502,57.99168749999999,10.126371458333328,9.970833333333333,-2.4649135932580903,9.254166666666666,7.20925,13.2188,0.0,0.0,0.0,0.0,0.0,,197.5193365355098,47.581968604166654,56.71917397916666,1.3046908919322335,0.8063959069266172,62.07976105806171,3.4884057747153254,0.7664650732090346,0.8389044703232779,58.591355283346395,0.09325906040399913,0.12167424669925568,4.0,2.7,0.0,0.04506453581453913,0.045078918763305234,0.12171308066092415,False,
2014-02-02,46.447708333333324,60.56351485416666,,7.0,,0.440216663784806,4.429166666666668,0.3816682083333348,0.3816682083333348,2.6575200416666664,0.9783184901181392,19.200000000000017,3.4039503958333337,,195.79966666666664,0.5381018263333333,83.83943749999997,6.487515000000001,9.961979166666664,-4.997513341432415,9.218750000000002,2.35394,9.78279,0.0,0.0,0.0,0.0,1.0,,199.03378657381387,63.96746525,83.45776929166666,1.3261323707900452,0.8034885851843113,84.82932634541233,4.5140888084781725,0.7540725360653466,0.7664650732090346,80.31523753693416,0.11831811092213272,0.1569054769445674,2.6000001,1.9,0.0,0.08258182997082496,0.03218461111885966,0.06115076112583335,False,
2014-02-03,33.35958333333334,61.85043333333334,,6.962500000000001,,0.3593213439405509,4.400000000000002,3.8025594791666686,3.8025594791666686,3.330731854166667,1.1174386988968006,19.200000000000017,2.3062370833333325,,203.24311666666668,0.7581173549562501,87.34652083333332,8.32826041666667,9.933854166666665,-8.133749794385851,9.172916666666667,3.51115,12.7966,0.0,0.0,0.0,0.0,0.0,,200.57372804207333,64.15667041666667,83.54396135416664,1.3261323707900452,0.8014780437717572,85.08023744164973,3.0583756509247517,0.7540725360653466,0.7679390512102757,82.02186179072498,0.08030303253222854,0.10649245091359434,3.7,2.5,0.0,0.042596980365437735,0.035712724894522214,0.08928181223630552,False,
2014-02-04,42.26625,73.51173277083333,,6.972916666666667,,0.33547826964916583,4.281249999999999,-4.354247854166668,-4.354247854166668,4.6472122916666665,0.8515425873616661,19.200000000000017,0.40139289583333343,,209.58603125,0.5160643177125,88.01187499999995,4.444874895833334,9.905729166666667,-8.831014156529939,9.168749999999996,-0.566817,8.74025,0.0,0.0,0.0,0.0,0.0,,202.13851047960082,73.91312566666667,92.3661228541666,1.3261323707900452,0.797719199720648,98.0185885728392,0.5323001125697401,0.7540725360653466,0.8002189913651061,97.48628846026945,0.013925022091331013,0.018466422559280545,3.8,2.6000001,0.0,0.007102469941935982,0.035654967488560375,0.09270291903575373,False,
2014-02-05,42.19604166666666,46.86958583333334,,6.912499999999998,,0.31691346436188433,4.11875,-7.312056958333334,-7.312056958333334,4.333052291666667,0.7538801702785509,19.160416666666674,-0.6348261666666666,,133.48010624999998,0.4369667059166668,37.245229166666654,2.7693696666666656,9.8046875,-9.08308132529922,9.027083333333335,-2.56827,5.58588,0.0,0.0,0.0,0.0,0.0,,203.72747017060232,46.234759666666676,44.55728612499999,1.3261323707900452,0.7961774634467166,61.31341144966464,-0.841863529441223,0.7540725360653466,1.0376475698488623,62.15527497910586,-0.02198830505078512,-0.029159403106652406,2.3,1.5,0.0,-0.0194396020711016,0.03804717129506694,0.057070756942600415,False,
