date,lw_in,theta_2,sw_in,t_avg,es,ws,wd,theta_mean,Rn,t_dew,H,sw_out,lw_out,vp,LE,theta_1,vpd,rh,G,t_min,t_max,LE_subday_gaps,H_subday_gaps,Rn_subday_gaps,ppt,G_subday_gaps,ASCE_ETo,rso,flux,energy,flux_corr,ebr_5day_clim,LE_corr,H_corr,ebc_cf,ebr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2008-03-31,,,,,,,,,,,,,,,,,,,,-5.2,-0.3,9.0,9.0,2.0,,0.0,,265.575648817877,,,,0.7395399639400321,10.898355214128829,,1.3533161213129317,,0.7389256539926836,,0.3837417741202271,1.1,1.0,3.0,,0.3837417741202271,0.3837417741202271,True,0.3837417741202271
2008-04-01,,,,,,,,,,,,,,,,,,,,-7.9,5.5,8.0,8.0,0.0,,0.0,,267.91854136980567,,,,0.7365320589719742,19.510340660467037,,1.2877930476960386,,0.7765222849968614,,0.6869782266806119,2.4,1.8000001,1.6,,0.3816545491750872,0.6869782266806119,True,0.6869782266806119
2008-04-02,239.54166666666663,25.75643749999999,279.3958333333333,4.3875,0.8882681542476951,1.7181250000000003,171.25,24.02620833333333,127.8125,3.522113288205175,50.89583333333334,46.3125,344.83333333333326,0.8394285709143618,30.45833333333333,22.29597916666667,0.04883958333333335,54.33958333333333,11.8125,-4.8,11.3,2.0,2.0,0.0,0.0,0.0,1.9975353647409186,270.2482001769096,81.35416666666667,116.0,110.09790528597912,0.7332358014382595,41.21975352832304,68.87815175765608,1.3533161213129317,0.7013290229885057,0.7389256539926836,1.0565954230790446,1.4299076197583287,3.0,2.3,0.0,0.6216989651123169,0.4095818526489123,0.9420382610924982,False,
2008-04-03,253.5625,25.423000000000002,243.47916666666663,6.304166666666667,0.9992759003411544,1.8656250000000003,215.875,23.469875,104.04166666666669,5.3549079196026215,48.8125,41.6875,351.35416666666674,0.9421509003411545,25.5625,21.51675,0.05712500000000001,49.38127083333333,9.416666666666666,-0.7,12.9,0.0,0.0,0.0,0.0,0.0,2.012776954023473,272.56388289099914,74.375,94.625,106.04865556978231,0.7302274443848854,36.448655569782346,69.6,1.425864276568502,0.7859973579920739,0.7013290229885057,0.8883737211583799,1.2667003532419616,3.7,2.8,0.0,0.4523929833007006,0.4618229694757886,1.293104314532208,False,
2008-04-04,253.89583333333331,24.81458333333332,268.4791666666667,8.795874999999997,1.2220939921819596,3.489583333333333,249.16666666666663,22.67613541666667,117.5625,7.74253717116493,56.0,47.4375,357.22916666666674,1.1436814921819594,30.0625,20.5376875,0.07841250000000001,46.01874999999999,7.9375,-1.5,16.7,0.0,0.0,0.0,0.0,0.0,2.0807768994775655,274.8648599643581,86.0625,109.625,122.71344430217671,0.73003506759156,42.865044814340585,79.84839948783609,1.425864276568502,0.7850627137970353,0.7013290229885057,1.0472403454638155,1.4932225975781117,5.8,4.0,0.0,0.3733056493945279,0.4618229694757886,1.8472918779031544,False,
2008-04-05,282.0,24.425,220.04166666666663,8.783333333333333,1.226620800023713,4.0616666666666665,159.95833333333334,22.12714583333333,99.89583333333331,7.851685048157897,38.72916666666666,37.91666666666666,364.33333333333326,1.158502050023713,23.95833333333333,19.82929166666666,0.06811874999999999,53.57710416666666,8.104166666666666,1.6,19.4,0.0,0.0,0.0,0.0,0.0,2.578733207402765,277.1504149554828,62.6875,91.79166666666666,88.40494669803059,0.7294067787294459,33.787201297020665,54.617745401009934,1.4102484019626018,0.682932364956877,0.7090949357633229,0.8345890639682481,1.1769778937566855,4.7000003,3.4,0.0,0.3461699687519663,0.4618229694757886,1.5701980962176811,False,
2008-04-06,248.60416666666663,23.448208333333334,214.02083333333331,-1.4666666666666668,0.5583396485451756,5.881875000000001,286.9375,21.014729166666662,106.33333333333331,-2.0521212479933872,56.70833333333334,42.583333333333336,313.5833333333333,0.5402813152118422,24.27083333333333,18.58125,0.01805833333333333,69.74585416666666,-10.729166666666666,-7.3,2.9,0.0,0.0,0.0,0.0,0.0,0.8404863017914201,279.4198448074885,80.97916666666667,117.0625,114.67950103115822,0.7263917596087619,34.371396630125886,80.30810440103234,1.4161605478506805,0.6917600996618616,0.7061346268385381,0.8373053095458235,1.185758745884697,3.3,2.3,1.1,0.5155472808194335,0.4218539705666565,0.97026413230331,False,
2008-04-07,261.9166666666667,22.760791666666666,186.58333333333331,0.3937500000000001,0.6680623910632808,4.040625,146.125,20.449166666666667,91.64583333333331,-0.2520141893609278,,32.958333333333336,323.875,0.6421873910632807,,18.137541666666664,0.02587500000000001,67.08541666666666,-5.333333333333333,-8.5,9.7,14.0,14.0,0.0,3.0,0.0,1.4106656109511726,281.67246009905307,,96.97916666666666,,0.7256517430045084,25.01563657659405,,1.4161605478506805,,0.7061346268385381,,0.8645160704435778,3.1000001,2.1000001,3.2,,0.4116742996553085,0.8645160704435778,True,0.8645160704435778
2008-04-08,304.4375,24.137541666666664,123.85416666666669,4.4,0.8509673557398075,4.076249999999999,116.125,23.185479166666678,71.60416666666667,3.948298053025452,,19.20833333333333,337.4583333333333,0.8322881890731408,,22.23341666666668,0.018679166666666663,80.70208333333333,5.375,0.9,9.4,6.0,6.0,0.0,1.2,0.0,1.1643421546189408,283.90758526784214,,66.22916666666667,,0.7271683039841002,29.80837469031414,,1.4161605478506805,,0.7061346268385381,,1.0340606994856771,3.3,2.4,0.8,,0.4308586247856988,1.0340606994856771,True,1.0340606994856771
2008-04-09,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,286.12455880645206,,,,0.7286628985505209,36.31233434508419,,1.4161605478506805,,0.7061346268385381,,1.2785929005107524,2.6000001,1.9,8.2,,0.6729436318477644,1.2785929005107524,True,1.2785929005107524
2008-04-10,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,288.32273343097705,,,,0.7292568572707943,27.19647357135504,,1.4065880039331369,,0.7109402306885705,,0.9576145035679952,2.0,1.4,6.8,,0.6840103596914252,0.9576145035679952,True,0.9576145035679952
2008-04-11,,,,,,,,,,,,,,,,,,,,3.0,10.3,2.0,2.0,0.0,,0.0,,290.50147622239535,,,,0.7300295277543494,48.665527250457885,,1.4258212939183854,,0.7013501651752161,,1.7135609363673847,4.3,2.9,0.0,,0.5908830815059948,1.7135609363673847,True,1.7135609363673847
2008-04-12,259.8125,28.152270833333322,205.20833333333331,4.656249999999999,0.8622361961953391,7.034583333333335,323.0208333333333,26.10012500000001,94.8125,4.052232259281964,28.20833333333333,35.104166666666664,335.2708333333333,0.8349153628620053,39.72916666666666,24.04797916666667,0.02732083333333333,70.26458333333332,0.04166666666666666,0.7,9.2,3.0,3.0,0.0,0.2,0.0,1.337101782254081,292.6601687410456,67.9375,94.77083333333331,98.20962503215848,0.729709756451311,57.43200090043735,40.77762413172111,1.4455878569590943,0.7168608485381402,0.6917600996618616,1.3785505663382343,1.9928159589026335,3.5,2.4,0.5,0.8303399828760974,0.5908830815059948,1.4181193956143874,False,
2008-04-13,238.02083333333331,27.650375,300.0208333333333,6.2375,1.0043260416647777,2.6593750000000003,222.66666666666663,25.48566666666666,132.0625,5.333346080707526,51.75,49.33333333333334,356.47916666666674,0.9494656249981112,33.0,23.32095833333333,0.05486041666666667,52.62083333333336,12.854166666666664,-2.2,13.4,1.0,1.0,0.0,0.0,0.0,2.3057150849036234,294.79820711454397,84.75,119.20833333333331,119.20833333333331,0.7288857595245479,46.41740412979351,72.7909292035398,1.4065880039331369,0.7109402306885705,0.7109402306885705,1.1467766005467388,1.6130422095202654,4.0,3.0,0.0,0.5376807365067552,0.5908830815059948,1.7726492445179844,False,
2008-04-14,278.4791666666667,27.373562499999995,301.6875,15.287499999999996,2.0011010988738693,5.562500000000001,162.47916666666666,25.070177083333334,135.625,13.999637886523221,32.1875,51.58333333333334,392.95833333333326,1.8610656822072016,45.95833333333334,22.76679166666666,0.1400354166666667,40.66666666666666,20.33333333333333,1.8,27.5,0.0,0.0,0.0,0.0,0.0,3.558267465537478,296.91500209957275,78.14583333333334,115.29166666666669,109.91899172402492,0.7311813005892851,64.64444034742709,45.27455137659784,1.4065880039331369,0.677809902421395,0.7109402306885705,1.6109335032153889,2.265919740756749,8.3,5.6,0.0,0.4046285251351338,0.5908830815059948,3.3089452564335704,False,
2008-04-15,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,299.00997911804257,,,,0.7330142575043372,151.0309466393521,,1.4065880039331369,,0.7109402306885705,,5.317947733553953,14.0,9.0,0.0,,0.5908830815059948,5.317947733553953,True,5.317947733553953
2008-04-16,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,301.08257826821017,,,,0.7337362086542665,49.50933214188094,,1.4065880039331369,,0.7109402306885705,,1.7432721340374906,5.5,3.7,0.5,,0.4711546308209434,1.7432721340374906,True,1.7432721340374906
2008-04-17,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,303.1322543114035,,,,0.7357725662635299,46.21729333177854,,1.4065880039331369,,0.7109402306885705,,1.6273562193292257,4.8,3.5,0.0,,0.4649589198083501,1.6273562193292257,True,1.6273562193292257
2008-04-18,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,305.1584766350736,,,,0.7371157459488021,54.721725473638614,,1.440143876365435,,0.6943750665549828,,1.9268056145711416,5.9,4.2000003,0.0,,0.4587632087957569,1.9268056145711416,True,1.9268056145711416
