date,rh,sw_in,sw_out,H,Rn,theta_1,ws,lw_in,t_avg,G,lw_out,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2004-10-22,,70.85416666666667,7.395833333333332,,48.6875,26.0,3.8797916666666654,391.77083333333326,,5.9375,406.35416666666674,,,,,0.0,0.0,48.0,1.5500000000000005,48.0,186.16055845324462,,42.75,1.1382516772379805,0.8785403263595849,,,0.8785403263595849,,,,,4.3,3.0,1.2,,,,False,
2004-10-23,,,18.95833333333333,,67.60416666666667,26.0,4.65,325.7916666666667,,5.0625,401.97916666666674,,,,,0.0,0.0,48.0,0.2,48.0,184.25718900696543,,62.54166666666667,1.1261257998919585,0.8880002572500701,,,0.8880002572500701,,,,,3.9,2.7,0.0,,,,False,
2004-10-24,,,20.4375,,72.52083333333333,26.0,2.181041666666666,285.625,,-1.2916666666666667,379.125,,,,,0.0,0.0,48.0,0.0,48.0,182.37351665695263,,73.8125,1.1180269168445294,0.8944328485599939,,,0.8944328485599939,,,,,4.1,2.8,0.0,,,,False,
2004-10-25,,,15.6875,,84.75,26.58333333333333,2.035624999999999,342.5625,,2.645833333333333,402.08333333333326,,,,,0.0,0.0,48.0,0.0,48.0,180.51025625686776,,82.10416666666667,1.1103523605589742,0.9006150079210705,,,0.9006150079210705,,,,,3.3,2.4,0.0,,,,False,
2004-10-26,,,2.2916666666666665,,10.0625,29.52083333333333,2.314791666666667,391.39583333333326,,3.4791666666666665,401.72916666666674,,,,,0.0,0.0,48.0,8.6,48.0,178.66811213415443,,6.583333333333334,1.1058762902931392,0.9042602764681084,,,0.9042602764681084,,,,,2.0,1.5,16.1,,,,False,
2004-10-27,,,3.520833333333333,,,31.27083333333333,,393.4375,,,394.64583333333326,,,,,0.0,0.0,48.0,0.0,48.0,176.847777642171,,,1.1037207920823633,0.9060262406702732,,,0.9060262406702732,,,,,2.2,1.7,0.0,,,,False,
2004-10-28,,,8.625,,56.16666666666666,31.0,3.0700000000000003,385.375,,4.625,409.89583333333326,,,,,0.0,0.0,48.0,0.0,48.0,175.0499347340991,,51.54166666666666,1.1036625825520106,0.9060740264363132,,,0.9060740264363132,,,,,3.1000001,2.2,0.0,,,,False,
2004-10-29,,,8.979166666666666,,23.70833333333333,30.60416666666667,5.057708333333332,374.27083333333326,,6.333333333333332,422.97916666666674,,,,,0.0,0.0,48.0,4.2,48.0,173.27525355936544,,17.375,1.1018556675555098,0.9075598823378758,,,0.9075598823378758,,,,,5.4,3.6000001000000004,5.1,,,,False,
2004-10-30,,,19.5625,,51.02083333333334,31.79166666666667,5.118541666666666,278.4583333333333,,-3.5416666666666665,380.125,,,,,0.0,0.0,48.0,0.0,48.0,171.5243920832392,,54.5625,1.1030293933179802,0.9065941542971384,,,0.9065941542971384,,,,,4.5,3.0,0.0,,,,False,
2004-10-31,,,10.041666666666666,,35.875,31.97916666666667,2.7991666666666664,321.0208333333333,,-3.3541666666666665,370.64583333333326,,,,,0.0,0.0,48.0,31.700000000000006,48.0,169.79799573021333,,39.22916666666666,1.0994896886487049,0.909512849755799,,,0.909512849755799,,,,,3.2,2.2,26.300001,,,,False,
2004-11-01,,23.20833333333333,1.7916666666666667,,20.854166666666668,37.54166666666666,2.270625,378.33333333333326,,-1.2083333333333333,378.75,,,,,0.0,0.0,48.0,28.450000000000006,48.0,168.09669705169162,,22.0625,1.101051533417833,0.9082227031607201,,,0.9082227031607201,,,,,2.1000001,1.5,27.6,,,,False,
2004-11-02,,43.40729166666667,,,25.25,31.66666666666667,4.0910416666666665,337.9791666666667,,-5.229166666666667,351.9375,,,,,0.0,0.0,48.0,0.0,48.0,166.42111541844662,,30.47916666666667,1.1020471379453771,0.9074022022908832,,,0.9074022022908832,,,,,2.5,1.7,0.0,,,,False,
2004-11-03,,,3.458333333333333,,12.104166666666664,34.5625,2.811875,321.9791666666667,,-7.208333333333332,340.8541666666667,,,,,0.0,0.0,48.0,15.3,48.0,164.7718567382246,,19.3125,1.1016853517439409,0.9077001871877708,,,0.9077001871877708,,,,,1.2,0.90000004,16.300001,,,,False,
2004-11-04,,,11.833333333333336,,42.458333333333336,31.58333333333333,4.3777083333333335,291.5416666666667,,-5.3125,347.9375,,,,,0.0,0.0,48.0,0.25,48.0,163.14951319880404,,47.77083333333334,1.1022458159465545,0.9072386445316186,,,0.9072386445316186,,,,,2.7,1.8000001,0.0,,,,False,
2004-11-05,,,18.64583333333333,,49.66666666666666,30.0,3.148333333333333,247.52083333333331,,-6.416666666666668,345.54166666666674,,,,,0.0,0.0,48.0,0.0,48.0,161.55466303673288,,56.08333333333333,1.1027997909933718,0.9067829067134908,,,0.9067829067134908,,,,,3.0,2.0,0.0,,,,False,
2004-11-06,,,17.666666666666668,,46.9375,30.0,3.505208333333333,281.9791666666667,,-0.5208333333333334,377.33333333333326,,,,,0.0,0.0,48.0,0.0,48.0,159.98787033188532,,47.45833333333334,1.0996542037221897,0.9093767810054536,,,0.9093767810054536,,,,,3.5,2.3,0.0,,,,False,
2004-11-07,,,17.416666666666668,,41.75,29.9375,3.8902083333333337,271.5208333333333,,-1.75,369.75,,,,,0.0,0.0,48.0,0.0,48.0,158.44968482789957,,43.5,1.0946851375816622,0.9135046833733056,,,0.9135046833733056,,,,,3.4,2.2,0.0,,,,False,
2004-11-08,,,17.458333333333332,,44.60416666666666,29.0,3.1160416666666677,253.875,,-5.0,348.58333333333326,,,,,0.0,0.0,48.0,0.0,48.0,156.94064177846892,,49.60416666666666,1.0899010739862387,0.9175144642646956,,,0.9175144642646956,,,,,2.8,1.8000001,0.0,,,,False,
2004-11-09,,,13.541666666666664,,23.64583333333333,29.0,3.3158333333333334,273.2708333333333,,-3.8333333333333335,355.97916666666674,,,,,0.0,0.0,48.0,0.25,48.0,155.46126181937555,,27.479166666666664,1.0883460698179548,0.9188253881114008,,,0.9188253881114008,,,,,3.8,2.4,0.0,,,,False,
2004-11-10,,,12.270833333333336,,30.125,29.04166666666667,3.326041666666667,311.7916666666667,,-0.4166666666666667,373.77083333333326,,,,,0.0,0.0,48.0,3.35,48.0,154.0120508660675,,30.54166666666667,1.0843909191227392,0.9221766637523944,,,0.9221766637523944,,,,,3.6000001000000004,2.4,7.9,,,,False,
2004-11-11,,,1.3125,,,38.16666666666666,,340.1875,,,346.79166666666674,,,,,0.0,0.0,48.0,15.65,48.0,152.59350003649016,,,1.0850838449198712,0.9215877691680552,,,0.9215877691680552,,,,,1.6,1.1,13.0,,,,False,
2004-11-12,,,18.541666666666668,,51.5625,31.22916666666667,3.987708333333334,239.6875,,-7.229166666666668,327.5833333333333,,,,,0.0,0.0,48.0,0.0,48.0,151.20608559879798,,58.79166666666666,1.0847565629361478,0.9218658214828088,,,0.9218658214828088,,,,,2.4,1.5,0.0,,,,False,
2004-11-13,,,15.666666666666664,,,30.54166666666667,,235.625,,,326.3333333333333,,,,,0.0,0.0,48.0,0.0,48.0,149.85026894347968,,,1.0834196434043752,0.9230033866265799,,,0.9230033866265799,,,,,2.6000001,1.6,0.0,,,,False,
2004-11-14,,,5.625,,,30.8125,,288.1041666666667,,,334.0416666666667,,,,,0.0,0.0,48.0,0.0,48.0,148.52649657934353,,,1.0839368302802723,0.9225629871266859,,,0.9225629871266859,,,,,1.2,0.90000004,0.0,,,,False,
2004-11-15,,80.51171875,7.854166666666668,,38.0625,30.85416666666667,1.6,323.0416666666667,,-1.2708333333333333,355.97916666666674,,,,,0.0,0.0,48.0,0.0,48.0,147.23520015272175,,39.333333333333336,1.08496139094237,0.921691784010328,,,0.921691784010328,,,,,1.3000001,0.90000004,0.3,,,,False,
2004-11-16,,,2.770833333333333,,24.27083333333333,32.895833333333336,2.4093750000000003,365.33333333333326,,0.6666666666666666,368.125,,,,,0.0,0.0,48.0,3.95,48.0,145.9767964891629,,23.604166666666664,1.0850541260456317,0.9216130108130158,,,0.9216130108130158,,,,,0.90000004,0.7,2.3,,,,False,
2004-11-17,,,10.6875,,65.83333333333333,32.8125,2.2806249999999992,352.54166666666674,,3.8958333333333335,387.33333333333326,,,,,0.0,0.0,48.0,0.2,48.0,144.75168765679862,,61.93749999999999,1.090481048039838,0.9170264827596228,,,0.9170264827596228,,,,,2.2,1.5,0.0,,,,False,
2004-11-18,,,1.3958333333333333,,,37.29166666666666,,364.77083333333326,,,370.4375,,,,,0.0,0.0,48.0,14.2,48.0,143.56026105048372,,,1.0959344682804897,0.91246331687057,,,0.91246331687057,,,,,1.0,0.7,16.2,,,,False,
2004-11-19,,,2.0,,,33.770833333333336,,361.9375,,,362.875,,,,,0.0,0.0,48.0,0.25,48.0,142.40288949572778,,,1.0994473607010384,0.9095478653588036,,,0.9095478653588036,,,,,1.5,1.1,0.6,,,,False,
