date,rh,es,H,sw_in,vpd,t_dew,vp,Rn,theta_1,ws,t_avg,G,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2002-04-28,54.90583333333333,0.9791306029218444,90.10397916666666,262.65904166666667,0.0513625,5.033882956608925,0.9277681029218444,164.46960416666673,16.579041666666665,0.8653125000000003,5.8963125000000005,2.7899583333333378,26.32270833333333,242.52858333333333,-1.4580000000000002,12.92,0.0,0.0,0.0,0.1,0.0,2.5779060251519748,325.0391477405485,116.4266875,161.67964583333338,1.1337914372193023,0.7583162128308192,132.0035813513076,29.84446131275451,0.8819964300070615,0.7201072645842993,102.15912003855308,0.9144390577177968,1.0367831734993254,4.3,3.5,0.0,0.2962237638569501,0.39862291365505625,1.395180197792697,False,
2002-04-29,41.384375,1.235038260487988,103.96458333333334,276.7827291666666,0.07652083333333333,8.440768582653577,1.158517427154655,143.45560416666663,16.308979166666663,1.2150416666666668,9.546666666666667,4.98654166666667,37.71666666666668,307.46852083333323,3.218,15.73,0.0,0.0,0.0,0.0,0.0,2.9875782722553272,326.8541434064622,141.68125000000003,138.46906249999995,1.1337914372193023,0.7557842187155597,160.63698806452732,42.762833707121366,0.8819964300070615,1.0231978713656713,117.87415435740593,1.314816288848232,1.4907274498125864,6.3,4.6,0.0,0.32407118474186664,0.4113014109748392,1.8919864904842605,False,
2002-04-30,61.279375,1.052515189674803,106.32127083333334,250.3447500000001,0.04201041666666666,6.750065257088567,1.0105047730081365,87.01916666666666,16.187312499999994,1.6113333333333333,7.511729166666669,3.8210416666666664,33.098125,273.96875,3.649,12.19,0.0,0.0,0.0,0.0,0.0,2.538580739803511,328.64028462290884,139.41939583333334,83.198125,1.1337914372193023,0.7546958867045344,158.0725171781218,37.52637071301412,0.8819964300070615,1.6757516570635858,120.54614646510771,1.1515799649860634,1.3056515035745029,5.1,3.8,0.4,0.34359250094065863,0.3910196789587758,1.485874780043348,False,
2002-05-01,56.68187499999999,1.3148862170759108,79.94041666666669,264.9106458333334,0.06535833333333334,9.536850503382633,1.2495278837425778,145.59318750000003,15.921624999999995,1.2621874999999998,10.4299375,7.191270833333332,39.46458333333333,271.2111041666666,3.5780000000000003,16.88,0.0,0.0,0.0,0.0,0.0,2.9516116418217866,330.3971850194384,119.40500000000004,138.4019166666667,1.211790215413228,0.7528713880885295,144.69381067141654,47.82279593869328,0.8252253461701651,0.8627409422918638,96.87101473272324,1.3769078243435824,1.668523429065469,5.5,4.3,0.0,0.3880287044338299,0.3792237762372023,1.6306622378199698,False,
2002-05-02,64.846875,1.1230211790152167,123.88104166666666,299.7308541666667,0.04299166666666667,7.601554770508546,1.0800295123485502,94.30502083333334,15.774479166666666,2.6755416666666667,8.32635416666667,5.470291666666667,42.645625,234.33958333333348,2.689,13.92,0.0,0.0,0.0,0.0,0.0,2.7872214869679355,332.1244707987923,166.52666666666667,88.83472916666668,1.1590964923300249,0.7514397874899433,193.02047521274463,49.43039435072165,0.8627409422918638,1.8745671679173892,143.590080862023,1.4849153302544444,1.7211601507050076,5.0,3.9,0.0,0.44132311556538656,0.4386743443437167,1.7108299429404952,False,
2002-05-03,55.46854166666666,0.8591597585990426,119.97437499999997,303.191125,0.040808333333333335,3.669434893337817,0.8183514252657095,124.21166666666672,15.793687500000004,1.6545208333333332,4.489520833333334,1.5303750000000005,35.85937499999999,223.21895833333332,-0.063,9.62,0.0,0.0,0.0,0.0,0.0,2.660743447321725,333.82178048346225,155.83374999999995,122.68129166666672,1.1590964923300249,0.7481739917497852,180.626353011634,41.56447577964699,0.8627409422918638,1.27023238737501,139.061877231987,1.244077136118148,1.4420054446625283,4.4,3.5,0.0,0.4120015556178652,0.5413604295695497,1.894761503493424,False,
2002-05-04,40.457520833333334,1.088000117573192,104.82772916666664,296.56758333333335,0.06851875,6.731170707886709,1.0194813675731922,101.46416666666669,15.5928125,1.7106875,7.821687499999999,2.9296249999999997,40.485416666666666,219.23750000000004,2.086,13.17,0.0,0.0,0.0,0.0,0.0,2.892943277599514,335.48876465545,145.31314583333332,98.53454166666668,1.211790215413228,0.7467939013272322,176.08904829174878,49.05983178359429,0.8252253461701651,1.4747432055340992,127.0292165081545,1.4090205471187185,1.7074373123146565,4.8,3.8,0.0,0.44932560850385705,0.5730985222752505,2.177774384645952,False,
2002-05-05,70.08145833333334,0.781098005580155,116.06208333333336,240.2085625,0.02392083333333335,2.761794471823567,0.7571771722468217,64.13370833333335,15.637770833333335,2.788520833333333,3.3513125,-0.3616458333333321,42.0991875,216.375,0.48,5.739,0.0,0.0,0.0,0.1,0.0,1.8022856340893132,337.1250856905648,158.16127083333333,64.49535416666667,1.2695031386097124,0.7469523753001733,200.7862297294174,53.445050664168775,0.7877097500484662,2.4522893606354716,147.34117906524867,1.4589819752890183,1.8521821968044068,3.3,2.6000001,0.4,0.7123777406025511,0.5656155487355499,1.4706004832739843,False,
2002-05-06,78.14291666666666,0.6384641258828138,85.69833333333334,205.04295833333344,0.014462499999999996,0.06082021295194433,0.6240016258828136,77.2074583333333,15.831729166666667,1.7465833333333332,0.5227916666666665,-1.871479166666668,57.26875,223.4604166666666,-2.325,4.104,0.0,0.0,0.0,0.9,0.0,1.6464729348160723,338.7304174886006,142.9670833333333,79.0789375,1.211790215413228,0.7513500043312044,173.24611270950095,69.39771089894631,0.8252253461701651,1.8079034424726983,103.84840181055463,1.979393517568768,2.3986096970422044,2.9,2.3,0.4,1.0428737813226976,0.5673473542324028,1.3048989147345262,False,
2002-05-07,59.482312500000006,0.6470062836672184,142.56166666666667,318.45789583333334,0.02770625,-0.1961919315304629,0.6193000336672184,114.86910416666667,15.72845833333333,1.7800625000000003,0.5356249999999999,0.17370833333333527,32.53145833333333,241.82814583333337,-3.595,4.838,0.0,0.0,0.0,0.0,0.0,2.313851894375196,340.3044452007096,175.09312500000004,114.69539583333334,1.257906492948743,0.7562092136887985,220.25077880818586,40.921532662591474,0.7949716498050925,1.5265924471321597,179.32924614559437,1.1244062119321974,1.4143978747014112,3.2,2.5,0.0,0.5657591498805645,0.5532090797721224,1.3830226994303059,False,
2002-05-08,45.764375,0.8829323277128637,114.2954166666667,293.689375,0.053556249999999986,3.3849756861646525,0.8293760777128637,181.7395208333334,15.589770833333333,0.9704791666666668,4.3652083333333325,3.136562499999999,26.391874999999995,240.2218333333333,-4.263,11.86,0.0,0.0,0.0,0.0,0.0,2.690854620492164,341.84686495527814,140.68729166666668,178.6029583333334,1.246519795321856,0.7610684230463924,175.3694940127196,32.89799462316,0.8022335495617189,0.7877097500484662,142.47149938955963,0.9155111929333499,1.1412028248301476,4.0,3.4,0.0,0.3356478896559258,0.5377443625186625,1.8283308325634529,False,
2002-05-09,60.2123125,0.8243205418821992,144.16854166666667,293.8065625000001,0.0336625,3.34769932383766,0.7906580418821995,105.78129166666668,15.378375000000005,1.7403749999999996,4.0875,3.4673125000000007,28.09064583333334,251.21150000000003,0.985,6.666,0.0,0.0,0.0,0.0,0.0,2.438926615020682,343.3573835835798,172.2591875,102.31397916666668,1.256748220162854,0.767679343147032,216.4864272973244,35.30286915426678,0.7957043295994612,1.6836329590836705,181.18355814305758,0.9741836242731368,1.2243035359170638,3.6000001000000004,2.7,0.0,0.4534457540433569,0.4781210657001409,1.2909268773903804,False,
2002-05-10,61.93270833333332,0.8766181889539472,96.96083333333333,218.72016666666667,0.03701458333333333,3.939744305934063,0.8396036056206132,126.74477083333332,15.305145833333327,0.6809791666666666,4.670916666666666,1.9676041666666664,26.668791666666664,238.9436458333333,-0.6709999999999999,9.87,0.0,0.0,0.0,0.0,0.0,2.2093113105618363,344.8357183464512,123.629625,124.77716666666667,1.2516131109238602,0.7745823971001312,154.73645954860027,33.37900930249698,0.7989689395805901,0.9908032719661582,121.35745024610323,0.9253853584275036,1.1582244472648393,4.7000003,3.7,0.0,0.3130336343959025,0.3670924698278731,1.358242138363131,False,
2002-05-11,41.24354166666668,1.2552820711037131,102.29395833333332,317.2311875000001,0.08270000000000001,8.369221256643113,1.1725820711037132,193.96758333333332,15.116520833333333,0.926625,9.492625000000002,5.219541666666669,34.5375,212.98356249999995,1.135,16.92,0.0,0.0,0.0,0.0,0.0,3.4688534478761857,346.28159666319345,136.8314583333333,188.74804166666667,1.246519795321856,0.7784599525561013,170.56312143525767,43.05167743092861,0.8022335495617189,0.7249424000646362,127.51144400432909,1.203927439935214,1.500719386010409,5.3,4.4,0.0,0.34107258772963844,0.3336219650545099,1.4679366462398438,False,
