date,rh,H,sw_out,sw_in,LE,g_2,theta_2,Rn,theta_1,wd,lw_in,t_avg,theta_mean,G,lw_out,g_1,ws,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2017-02-28,,,,,,,,,,,,,,,,,,,,,,,,,172.06384710767196,,,,,,,,,,,,2.4,1.6,0.0,,,,False,
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,174.4252589556581,,,,,,,,,,,,2.6000001,1.8000001,0.0,,,,False,
2017-03-02,,,,,,,,,,,,,,,,,,,,,,,,,176.8032914537608,,,,,,,,,,,,1.9,1.4,0.0,,,,False,
2017-03-03,,,,,,,,,,,,,,,,,,,,,,,,,179.19709817373902,,,1.080115353767222,0.9258270392252124,,,0.9258270392252124,,,,,2.4,1.7,0.0,,,,False,
2017-03-04,,,,,,,,,,,,,,,,,,,,,,,,,181.60582330514717,,,1.0738772553010498,0.93120512150121,,,0.93120512150121,,,,,2.1000001,1.5,1.0,,,,False,
2017-03-05,,,,,,,,,,,,,,,,,,,,,,,,,184.02860235172116,,,1.0759485998993537,0.9294124274092108,,,0.9294124274092108,,,,,2.8,1.9,0.0,,,,False,
2017-03-06,,,,,,,,,,,,,,,,,,,,,,,,,186.4645628390474,,,1.0948757567224292,0.9133456411470424,,,0.9133456411470424,,,,,3.2,2.1000001,0.0,,,,False,
2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,188.91282503192198,,,1.1065550925787528,0.9037055693897412,,,0.9037055693897412,,,,,1.6,1.2,3.5,,,,False,
2017-03-08,,,,,,,,,,,,,,,,,,,,,,,,,191.3725026598027,,,1.1144807375721628,0.897278854884874,,,0.897278854884874,,,,,1.5,1.1,0.90000004,,,,False,
2017-03-09,,,,,,,,,,,,,,,,,,,,,,,,,193.84270364874573,,,1.1202117806667853,0.8926883445242547,,,0.8926883445242547,,,,,0.8,0.7,3.9,,,,False,
