date,lw_in,theta_1,RH_3_1_1,theta_mean,es,sw_out,RH_2_1_1,vpd,H,vp,Rn,rh,RH_1_1_1,theta_2,ws,LE,wd,t_avg,sw_in,t_dew,lw_out,G,t_min,t_max,H_subday_gaps,ppt,LE_subday_gaps,G_subday_gaps,Rn_subday_gaps,rso,flux,energy,flux_corr,ebr,ebr_corr,LE_corr,ebc_cf,ebr_5day_clim,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2020-07-24,436.5543145833333,61.28633979166667,91.12158875000002,54.570690729166664,8.42777239540993,24.160651391666665,43.976040625,inf,-0.3467932083333337,-inf,112.01489327083338,73.24738618055551,84.64452916666669,47.85504166666666,2.509497895833333,77.42814366666667,100.6108975,42.467948541666665,159.461557075,,459.8403270833333,-1.468394666666664,40.08962,45.85888,1.0,0.19,0.0,0.0,0.0,346.63205765778,77.08135045833333,113.48328793750004,113.61055053756084,0.6792308529233417,0.6784700020694772,114.12169061343086,1.4739045159694435,0.6950062066671555,-0.5111400758700325,2.7865619081133417,4.107126180396683,6.4,4.9,6.8,0.8381890000940309,0.9078618728972516,4.4485232637769885,False,,
2020-07-25,438.61282708333323,61.50765354166666,90.70601375,55.3934496875,8.259830340419299,24.420760429374994,37.24484895833333,,6.749120312499998,-inf,119.76202868749998,65.69349145833333,69.12961166666668,49.27924583333334,2.3480835458333336,4.867948270833342,113.30394333333331,42.11210375,167.43565646125,,461.86569166666663,-3.4237883749999987,40.06494,44.3612,3.0,0.1,1.0,0.0,0.0,346.03589592079805,11.61706858333334,123.18581706249998,17.103269872584022,0.09430524438896454,0.6792308529233417,7.166853875795216,1.472253499227987,0.6893822498603757,9.936415996788806,0.17513133018420898,0.2578377136881536,6.0,4.9,1.1,0.052619940544882664,0.7688138061048552,3.767187723233589,False,,
2020-07-26,431.30086458333335,62.02961333333334,95.136598125,57.45450395833334,7.570395372522582,12.057289966666666,35.82686687499999,inf,,-inf,50.20280998541667,64.90915499999998,63.763999999999996,52.87939458333334,1.80834456875,94.256266875,92.11928479166664,40.472278333333335,78.72940913020834,,447.77017500000017,-7.385031000000003,38.92287,41.89209,3.0,0.34999998,0.0,0.0,0.0,345.4215765614192,,57.587840985416676,,,0.6784700020694772,138.92473740548357,1.4739045159694435,0.683199753159617,,3.385544722237505,4.9899696551223744,3.9,3.2,34.8,1.5593654939893855,0.5603811510367818,1.7932197100387572,False,,
2020-07-27,435.1244562499999,63.096142291666666,95.11228541666668,62.54577583333334,,16.22800278958334,,,,-inf,81.77097445833331,69.54497697916668,,61.99540937500001,14.273261817708333,149.68967854166667,,34.97787229166667,113.09605815416668,,450.2215375,-1.8617737708333315,27.96347,40.34259,3.0,1.7499998900000002,1.0,0.0,0.0,344.78896386564173,,83.63274822916667,,,0.6777091512156126,220.8759882807648,1.4755592398395263,0.6813414296606006,,5.347790279223746,7.890981359232602,3.8,3.3,6.1,2.3912065070467308,0.6468516609609801,2.134610450326944,False,,
2020-07-28,437.38664166666666,62.33521770833334,89.63847958333334,58.0367303125,4.391581416633623,36.2827279875,56.59524062500002,inf,8.16542276666667,-inf,186.43328430833336,68.88714541666668,60.42771604166666,53.73824291666666,29.4781325,32.29875052083334,81.32745187500002,30.43135166666667,247.0756112770833,,461.7462395833333,13.516087708333332,27.21956,34.39753,1.0,0.4399999800000001,0.0,0.0,0.0,344.13792370724406,40.4641732875,172.9171966,65.63294505977788,0.2340089596820355,0.6165222854261014,52.38861803431886,1.6220013836302167,0.6816011912601266,13.244327025459011,1.1488011161807408,1.8633569999610995,6.4,5.3,9.6,0.3515767797930472,0.60858419313437,3.2254963396903835,False,,
2020-07-29,436.9061187499999,62.18965458333336,86.31477083333334,57.82797593749999,4.6444896642314095,38.34178905208333,52.85051083333333,inf,2.503865878125,-inf,201.73336475,65.42389145833333,57.106392708333324,53.46629729166666,29.32814145833333,0.014870414583340857,81.1748577083333,31.44034979166665,270.8456077104168,,467.6765604166666,1.322582541666662,28.2838,34.88029,1.0,0.0,0.0,0.0,0.0,343.46832401693285,2.5187362927083408,200.41078220833333,4.190755344425221,0.012567868180315944,0.6010220319969062,0.024741879318356502,1.6638325165509866,0.6833725895022261,4.1660134651068645,0.0005294297245003579,0.000880882390852326,6.7000003,5.7000003,0.4,0.00015454076256804546,0.7475752562817417,4.261179174688924,False,,
2020-07-30,422.9483416666666,59.75679687499999,83.79922645833334,52.95322104166669,4.7945615680937514,42.95097454791665,52.04337604166666,inf,-2.263097769791667,-inf,199.63456754166666,63.93345145833333,55.95775187499999,46.14964520833334,29.31403125000001,104.13753293750004,80.846754375,32.03077625,291.03055956250006,,471.3933416666666,4.776379166666667,28.24122,35.11023,1.0,0.0,0.0,0.0,0.0,342.78003525892626,101.87443516770836,194.858188375,189.6735423447763,0.5228132110704705,0.5371040889958579,193.8870603874757,1.8618365052285268,0.6855110914544419,-4.21351804269939,3.709728019216048,6.906907050645553,7.2000003,6.4,0.0,1.0792042105819717,0.4383240118804884,2.805273717836961,False,,
2020-07-31,414.88354583333336,56.30971500000001,81.956989375,49.87521302083335,4.661697044882289,47.690217070833356,50.88419041666666,,22.624397,-0.6147801291686816,211.05496045833328,62.530629861111116,54.75070979166668,43.44071104166667,29.23796458333333,,80.86151458333335,31.52922166666667,313.89238364166664,,470.03075000000007,2.148032979166666,27.33156,34.32074,1.0,0.0,1.0,0.0,0.0,342.07293091423213,,208.90692747916665,,,0.5513949669212457,82.47974078669566,1.8135820237597984,0.6863342361808135,41.03119969760512,,2.9367710050047786,7.6,6.7000003,0.0,,0.4383240118804884,2.9367710050047786,True,2.9367710050047786,
2020-08-01,421.1235604166666,51.56599520833333,80.202270625,46.15369052083334,4.762241946942616,41.50959481666667,49.77787145833334,2.9829699583333333,5.381154727083333,1.779271988609282,175.68901564583336,61.20644104166664,53.63918104166668,40.74138583333333,29.494650624999995,,80.23715,31.88409250000001,266.734237225,,470.65919791666647,-1.2275519625000002,28.290840000000006,36.16431,0.0,0.0,0.0,0.0,0.0,341.34688796983306,,176.91656760833337,,,0.5513949669212457,100.07069446892727,1.8135820237597984,0.6849467375825337,9.759165480108397,,3.5643446456437258,6.5,5.8,0.0,,0.6145421600739847,3.5643446456437258,True,3.5643446456437258,18.472897457649033
2020-08-02,429.7235270833333,43.93616895833333,85.20619624999998,40.65236687500001,4.4238656366033045,32.62662678958333,51.79511854166666,inf,11.33173352083333,-inf,144.48918270833337,64.52823819444443,56.583399791666686,37.36856479166667,30.42379895833334,24.484659375000003,79.81676812500002,30.543959166666664,209.86961224791676,,462.47733541666656,-7.34210214583333,26.869940000000003,35.02194,2.0,0.0,0.0,0.0,0.0,340.60178741296767,35.81639289583333,151.83128485416668,64.95596631180149,0.2358960008158716,0.5513949669212457,44.40493810038184,1.8135820237597984,0.6864253073150336,20.551028211419663,0.8709650516669029,1.5795665610261194,5.4,4.9,12.5,0.3223605163843724,0.8193380331777901,4.014756440709335,False,,
