date,rh,sw_in,sw_out,H,Rn,theta_1,ws,t_avg,G,LE,wd,t_min,t_max,Rn_subday_gaps,H_subday_gaps,LE_subday_gaps,G_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2008-11-17,,150.91854166666667,24.065625000000008,28.23604166666667,16.735833333333325,,1.2941666666666665,15.398125000000006,,,185.29145833333328,14.3,16.17,0.0,0.0,48.0,48.0,160.90845565555136,,,,,,23.488829269287468,,,,,0.8234187182077173,3.3,2.1000001,0.0,,0.39210413285585904,0.8234187182077173,True,0.8234187182077173
2008-11-18,,152.26333333333338,26.31208333333333,38.33958333333333,17.006875000000008,,1.3870833333333332,13.509791666666665,,,189.99541666666664,12.27,14.58,0.0,0.0,48.0,48.0,159.67715802000563,,,,,,20.12450058295201,,,,,0.7042057708602982,2.8,1.8000001,0.0,,0.3912254065209764,0.7042057708602982,True,0.7042057708602982
2008-11-19,,148.21583333333334,25.942708333333343,37.98375,17.338750000000005,,1.3760416666666664,11.644374999999995,,,168.77666666666667,10.4,12.7,0.0,0.0,48.0,48.0,158.48069596708308,,,,,,17.880101704248887,,,,,0.6245546882977502,2.3,1.6,0.0,,0.3903466801860938,0.6245546882977502,True,0.6245546882977502
2008-11-20,,148.79958333333337,23.542916666666674,35.403541666666676,17.192500000000006,,1.4537499999999997,10.18208333333333,,,203.59041666666667,9.21,11.78,0.0,0.0,48.0,48.0,157.3194722327807,,,,,,20.09784658331627,,,,,0.7010423558789756,2.7,1.8000001,0.0,,0.3894679538512112,0.7010423558789756,True,0.7010423558789756
2008-11-21,,149.84375,24.110833333333336,24.849166666666665,9.651874999999997,,1.5535416666666668,11.435833333333333,,,125.97749999999998,9.87,13.47,0.0,0.0,48.0,48.0,156.19387449258372,,,,,,14.465055189954581,,,,,0.5051660346301499,2.0,1.3000001,0.0,,0.3885892275163285,0.5051660346301499,True,0.5051660346301499
2008-11-22,,147.57812499999997,25.62770833333333,38.904166666666654,13.32145833333334,,1.5152083333333335,10.111874999999998,,,188.02937500000004,9.06,11.42,0.0,0.0,48.0,48.0,155.1042754621549,,,,,,13.338995970579386,,,,,0.4652526014177351,1.7,1.2,0.0,,0.3877105011814459,0.4652526014177351,True,0.4652526014177351
2008-11-23,,150.18062500000005,22.07020833333333,35.742916666666666,9.073958333333335,,1.395625,9.487291666666666,,,145.27312500000005,8.26,10.52,0.0,0.0,48.0,48.0,154.0510330135866,,,,,,16.64585819866264,,,,,0.5802476622698449,2.2,1.5,0.0,,0.3868317748465633,0.5802476622698449,True,0.5802476622698449
2008-11-24,,120.19604166666667,20.902916666666673,19.777083333333334,11.476458333333328,,1.796458333333333,9.802083333333334,,,119.54312500000003,7.76,12.09,0.0,0.0,48.0,48.0,153.03449030595345,,,,,,19.923679679273167,,,,,0.6947155259163301,2.7,1.8000001,0.0,,0.3859530485116807,0.6947155259163301,True,0.6947155259163301
2008-11-25,,88.0508333333333,16.77729166666666,12.006458333333333,15.265833333333326,,1.6020833333333335,6.7650000000000015,,,133.51791666666665,3.65,9.16,0.0,0.0,48.0,48.0,152.05497592885203,,,,,,11.075467698531261,,,,,0.3850743221767981,1.4,1.0,0.0,,0.3850743221767981,0.3850743221767981,True,0.3850743221767981
2008-11-26,,34.260416666666664,4.450625,,0.6499999999999949,,,,,,,2.57,10.37,0.0,4.0,48.0,48.0,151.11280405756114,,,,,,7.637870699253272,,,,,0.26893691708934075,0.90000004,0.7,16.5,,0.38419559584191537,0.26893691708934075,True,0.26893691708934075
