date,rh,H,sw_in,t_dew,vp,theta_1,lw_out,LE,wd,es,ws,sw_out,vpd,Rn,lw_in,t_avg,theta_mean,G,theta_2,t_min,t_max,Rn_subday_gaps,H_subday_gaps,LE_subday_gaps,G_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2013-01-28,68.91793750000001,11.679645833333336,139.63829166666667,2.265619491359221,0.7299688773775596,,,30.62210416666667,260.6455,1.1166147107108928,2.804479166666667,,0.3866458333333333,,,8.208645833333332,,,,3.639,14.27,3,0,0,3,1.758735866168531,156.1185193347687,42.30175000000001,,1.5810578941816584,0.6324879080519636,66.88151577519898,48.41531952916139,0.6324879080519636,,18.466196246037587,1.0661384310825015,1.6856265827534371,2.5,1.6,0.0,1.053516614220898,1.112875035312448,1.7806000564999167,False,
2013-01-29,70.175625,,116.90414583333336,3.3013799571202815,0.7842901492250905,53.5826041666667,352.9874583333333,,251.420875,1.158873482558424,2.569875,15.692854166666672,0.3745833333333333,59.60297916666668,311.3788333333334,8.853083333333332,52.39583333333336,-3.5847083333333347,51.20906250000004,4.988,14.51,0,2,2,0,1.6711581197092802,157.55563592044012,,63.18768750000001,1.5810578941816584,0.6324879080519636,,47.99065364732593,0.6324879080519636,,,,1.6718664714271911,2.3,1.5,0.0,,1.1145776476181275,1.6718664714271911,True,1.6718664714271911
2013-01-30,76.5804166666667,,148.32287499999995,4.041864418634064,0.8265858512580989,53.59737500000002,353.44743749999986,,,1.1630233512580987,,20.161354166666666,0.33643749999999994,74.57770833333333,299.8630625,8.600687499999998,52.56939583333331,-3.6733125,51.54141666666669,2.088,16.47,0,8,25,0,,159.02320861590064,,78.25102083333334,1.5810578941816584,0.6324879080519636,,44.87047791157729,0.6324879080519636,,,,1.5627923638933294,2.0,1.4,0.0,,1.1162802599238069,1.5627923638933294,True,1.5627923638933294
2013-01-31,81.92812500000002,,143.57616666666667,4.4798200628582405,0.8609766120789523,53.59502083333336,353.8172083333334,,,1.1410807787456192,,19.335625,0.2801041666666667,76.44462499999999,306.02083333333337,8.00895833333333,52.68073958333331,-2.4901250000000017,51.76645833333336,0.6659999999999999,17.36,0,38,39,0,,160.52073422885078,,78.93475,1.5810578941816584,0.6324879080519636,,48.175955849284506,0.6324879080519636,,,,1.6769743083442292,2.0,1.5,0.0,,1.1179828722294862,1.6769743083442292,True,1.6769743083442292
2013-02-01,81.40375,,148.64018750000002,5.460282836213274,0.9182104417258652,53.578937500000016,357.036875,,,1.216502108392532,,20.417145833333333,0.2982916666666667,77.80075000000002,306.6139375,9.103333333333332,52.654406249999994,-2.1530208333333367,51.72987499999999,2.081,18.44,0,40,40,0,,162.0476940589528,,79.95377083333338,1.5810578941816584,0.6324879080519636,,57.838920511062746,0.6324879080519636,,,,2.0154339841318465,2.5,1.8000001,0.0,,1.1196854845351656,2.0154339841318465,True,2.0154339841318465
2013-02-02,81.00458333333334,,76.93814583333334,5.532186155631318,0.9195832784286816,53.51379166666667,356.0811874999998,,,1.1937291117620146,,10.173541666666663,0.2741458333333333,31.171312500000024,320.4874375,9.100270833333333,52.5976458333333,-2.675937500000003,51.68149999999999,4.581,16.9,0,37,37,0,,163.6035539856958,,33.847250000000024,1.5810578941816584,0.6324879080519636,,45.054362139336604,0.6324879080519636,,,,1.5699433355771828,1.9,1.4,0.0,,1.121388096840845,1.5699433355771828,True,1.5699433355771828
2013-02-03,75.24733333333334,,149.38916666666668,5.683116126593528,0.9271200505172548,53.43816666666665,365.0246666666666,,,1.2705367171839217,,21.10960416666666,0.3434166666666667,66.48860416666666,303.2331875000001,10.2348125,52.524895833333346,1.9927916666666647,51.611625,6.718,16.84,0,23,25,0,,165.18776458233685,,64.4958125,1.5810578941816584,0.6324879080519636,,45.07402179060143,0.6324879080519636,,,,1.572326992805134,1.8000001,1.4,0.0,,1.1230907091465243,1.572326992805134,True,1.572326992805134
2013-02-04,85.155625,,119.44487499999998,6.14340490739177,0.9630844744345171,53.41622916666666,359.01354166666664,,,1.1878136411011841,,15.672937499999994,0.22472916666666676,61.48379166666666,316.72485416666666,8.974375,52.47890625,-0.13612499999999686,51.54158333333334,1.545,17.05,0,27,43,0,,166.79976125622855,,61.61991666666666,1.5810578941816584,0.6324879080519636,,48.4249203882529,0.6324879080519636,,,,1.6871899821783054,2.1000001,1.5,0.0,,1.1247933214522037,1.6871899821783054,True,1.6871899821783054
2013-02-05,77.58229166666669,10.395541666666668,121.80737500000004,5.399634343234696,0.9092386645017062,53.37168750000002,360.60164583333335,,248.4241458333333,1.193092831168373,4.417875,17.622937500000006,0.2838541666666667,49.78722916666667,306.20404166666657,9.417229166666667,52.42157291666667,-2.7012916666666658,51.471458333333395,6.312,13.71,0,0,20,0,1.7664338074208816,168.43896441575617,,52.48852083333333,1.5810578941816584,0.6324879080519636,,45.2459215800959,0.6324879080519636,,16.43595321637769,,1.5770943072610362,1.9,1.4,0.0,,1.126495933757883,1.5770943072610362,True,1.5770943072610362
2013-02-06,71.84375000000001,18.299229166666674,152.34529166666667,3.830886742218436,0.8139645678530206,53.33714583333333,360.60185416666667,,258.68418749999995,1.1950895678530211,2.3414583333333323,21.206083333333336,0.381125,72.67054166666667,302.132625,9.194541666666668,52.398,-2.0541249999999995,51.45885416666672,4.095,15.36,0,0,16,0,1.7601306928938896,170.10477966401768,,74.72466666666666,,,,58.273613168295725,,,,,2.030757495734267,2.5,1.8000001,0.0,,1.1281985460635624,2.030757495734267,True,2.030757495734267
