date,sw_in,ws,lw_in,g_1,H,t_avg,LE,lw_out,sw_out,Corrected_Soil_Heat_Flux_Plates_Average_Plate_1_2_3_and_4,wd,G,g_2,Rn,t_min,t_max,Rn_subday_gaps,LE_subday_gaps,H_subday_gaps,ppt,G_subday_gaps,rso,flux,energy,ebr_corr,ebr,LE_corr,ebr_5day_clim,ebc_cf,flux_corr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2018-06-04,357.7359166666667,2.233852875,312.89166666666665,3.464457409974246,11.831877083333335,15.149087770833333,142.32699666666662,401.3041666666666,73.09285416666668,-3.634580657416547,222.7760625,-3.634580657416552,-10.733618724807338,196.24374999999992,7.0739600000000005,21.49253,0.0,0.0,0.0,108.72000000000004,0.0,371.5902436417553,154.15887374999997,199.87833065741646,0.7724722545454318,0.7712635644041983,184.2486844403496,0.8180299597226429,1.2945448773282595,199.56558030775642,15.316895867406796,4.988190768653204,6.4574368066961165,7.8,6.0,0.0,1.0762394677826863,0.983637171650134,5.901823029900804,False,
2018-06-05,338.03737500000005,1.4261145937499995,311.22291666666666,2.0784493320429878,9.206053958333333,13.231356458333332,133.0267922916667,403.25416666666655,72.69918750000002,2.1254284196366195,201.08759375000008,2.1254284196366133,2.1724075072302456,173.28104166666665,2.796953,21.40273,0.0,0.0,0.0,0.0,0.0,372.1365685159884,142.23284625000005,171.15561324703003,0.7712635644041983,0.8310147914618169,172.47903107471438,0.815470193103037,1.2965736307957199,184.415357880772,11.93632680605756,4.653695615260294,6.033859020496161,6.6,5.4,0.0,1.1173813000918815,0.9539148196493455,5.151140026106467,False,
2018-06-06,303.84452083333326,1.2881615020833337,321.62708333333325,5.49830713262559,7.644037916666669,16.1107911875,112.8729566666667,390.3979166666668,58.79827083333333,6.432105005910767,148.66674875,6.4321050059107625,7.365902879195932,176.2768125,4.645392,26.44808,0.0,0.0,0.0,6.35,0.0,372.6475956224217,120.51699458333336,169.84470749408925,0.7712635644041983,0.7095716808692875,146.348099243948,0.8111498974017557,1.2965736307957199,156.2591572395007,9.911057995552657,3.9595502427746783,5.133848434592438,7.8,6.1,0.0,0.8416144974741704,0.9476032072729056,5.780379564364724,False,
2018-06-07,307.9168125,1.75755565625,325.00625,0.030134132946842005,0.6171797916666663,15.91232422916667,134.24474041666667,392.63958333333335,65.96108333333335,0.20974554557182226,168.60348333333334,0.20974554557182165,0.3893569581968069,174.31056249999997,7.180752,23.69702,0.0,0.0,0.0,0.254,0.0,373.1232713494935,134.86192020833334,174.10081695442813,0.7718679094748151,0.7746196862685267,173.92190913599165,0.806595197206288,1.2955584598411505,174.72150163632847,0.7995925003367482,4.708370382711314,6.099969081387156,8.2,6.3,4.3,0.968249060537644,0.9878946317916324,6.2237361802872835,False,
2018-06-08,351.6287083333333,1.7605251458333335,310.94375,6.394975776987719,0.02850854166666987,16.111655666666667,144.46100979166667,391.9833333333333,75.2741875,8.235709213955746,143.19273333333334,8.235709213955746,10.07644265092375,195.28387500000005,5.5247730000000015,25.58472,0.0,0.0,0.0,0.0,0.0,373.5635472602332,144.48951833333334,187.0481657860443,0.7735459704069793,0.7724722545454318,186.7516803373206,0.8027856033469256,1.292747992047426,186.7885346973164,0.03685435999578784,5.067654089132894,6.551199648117477,9.3,6.9,3.2,0.9494492243648516,0.9679009423325412,6.678516502094536,False,
2018-06-09,197.86556249999992,3.1326522562500005,359.86874999999986,-29.944344267013488,9.244442500000003,9.208638354166666,49.60101333333333,402.13333333333327,43.25389583333334,-32.61528113131492,189.54530208333333,-32.61528113131492,-35.28621799561637,112.35172916666664,4.271694,12.8853,0.0,0.0,0.0,2.54,0.0,373.96838005843085,58.84545583333334,144.96701029798157,0.7724722545454318,0.40592308355104895,64.21073772095737,0.7999764206812625,1.2945448773282595,76.17808340308801,11.967345682130652,1.7285521927136602,2.2376883862719987,3.8,3.0,3.6000001000000004,0.745896128757333,0.9320939052804804,2.7962817158414417,False,
2018-06-10,335.36002083333335,2.14403260625,335.8979166666666,0.07497175496314441,46.78770083333333,7.6637267980000034,108.0133679166667,405.8770833333333,72.25310416666666,1.8908299144105796,189.43267083333333,1.8908299144105765,3.70668807385802,193.12406249999995,-0.5189978,13.70204,0.0,0.0,0.0,0.0,0.0,374.3377315597443,154.80106875,191.23323258558938,0.7724722545454318,0.8094883230126668,139.82815211949344,0.7971783851916521,1.2945448773282595,200.39693055525225,60.5687784357588,3.758642175598845,4.865730974131428,5.4,4.0,0.0,1.216432743532857,0.9530323357926836,3.812129343170734,False,
2018-06-11,361.1441875,1.9177858687500005,322.31666666666666,5.213845882047546,35.20263541666668,11.687541499999995,99.22774125,400.20416666666665,78.94435416666668,6.8761210172726885,226.2463047916667,6.876121017272693,8.538396152497848,204.28891666666667,6.273786,18.3382,0.0,0.0,0.0,1.016,0.0,374.6715686669999,134.4303766666667,197.41279564939398,0.7712635644041983,0.6809608071475551,128.65607274817074,0.794267423888665,1.2965736307957199,174.29888156393628,45.642808815765534,3.466183001711455,4.494161479531429,6.2000003,4.8,0.0,0.9362836415690478,0.891690924837422,4.2801164392196265,False,
2018-06-12,373.0747916666666,1.812734616666667,295.08125,12.849646645425926,13.537466458333332,15.179206806249995,108.79389854166664,391.0083333333332,81.84752083333333,14.179873883131206,108.40470125000002,14.179873883131206,15.5101011208365,195.31312499999993,0.6753687,25.74357,0.0,0.0,0.0,0.0,0.0,374.96986334896576,122.33136499999998,181.1332511168687,0.7095716808692875,0.6753666941089175,153.32333783161215,0.7927671864967576,1.4093008880722415,172.40170133358953,19.078363501977343,3.8130529527164936,5.373738912529838,8.0,6.2000003,0.0,0.8667320407274557,0.8161136963407598,5.05990516214682,False,
2018-06-13,363.83629166666674,3.095861829166667,302.4354166666667,7.234742755233627,15.72673375,17.382565458333335,144.6903289583333,392.6625,77.243625,9.484969735994989,194.38588104166664,9.484969735995,11.735196716756361,196.38064583333335,4.0527989999999985,27.07498,0.0,0.0,0.0,0.0,0.0,375.23259262188736,160.41706270833333,186.89567609733842,0.7044736929520204,0.8583240985456798,205.387838333642,0.7922195816859033,1.4194994220573498,227.7119278026168,22.32408946897482,5.08188979765824,7.213739630735015,10.0,7.3,0.0,0.9881835110595912,0.7640599855384538,5.577637894430713,False,
