date,lw_out,es,rh,H,LE,t_avg,Rn,sw_out,G,g_2,ws,vpd,g_3,sw_in,t_dew,vp,wd,g_1,theta_1,lw_in,t_min,t_max,G_subday_gaps,LE_subday_gaps,H_subday_gaps,ppt,Rn_subday_gaps,ASCE_ETo,rso,flux,energy,H_corr,ebr,flux_corr,ebr_5day_clim,ebc_cf,LE_corr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2013-10-23,383.44587291666664,1.7941651849425908,82.20322725,0.6587152604166654,91.18448336458336,15.642190166666666,55.17786495833334,13.0618728125,-3.2620555555555564,-3.4137916666666666,1.8800569166666667,0.30226903930000004,-2.6904583333333325,110.66135710416668,12.341983109094373,1.4918961456425908,219.44127110416665,-3.6819166666666665,24.27083333333333,341.0242645833333,10.524761,20.162614,0,3,4,0.254,0,1.518893708983398,199.0800560287096,91.84319862500004,58.43992051388889,0.5138173154016967,1.571583222861716,71.64040153791522,1.334667789837188,0.7800294699058368,71.12658422251354,1.2820028455087953,3.1972887274159807,2.493979431182195,3.3,2.4,0.8,1.0391580963259146,0.9692463219760709,2.3261911727425697,False,
2013-10-24,354.05110625,1.2226582729709785,62.75720812500001,,87.42714323958334,9.7337514375,73.87151208333334,22.57593993750001,-9.032986111111109,-9.669208333333334,1.5300381041666669,0.4758444990208334,-7.5075208333333325,181.1179228750001,2.529470980941403,0.7468137739501449,264.82495439583334,-9.922229166666668,23.7375,269.38064375,5.24187,13.921611,0,1,4,0.0,0,1.7594868382662816,197.26806402633358,,82.90449819444446,,,,1.3352414697639092,0.7800294699058368,68.19574819655386,1.2820028455087953,3.0482842770877783,2.377751568779076,4.2000003,2.8,0.0,0.8491969888496701,0.8400681209547527,2.3521907386733067,False,
2013-10-25,346.20188750000005,1.105927433529309,60.34315264583335,43.36937469791666,94.89513020208334,8.283223437499998,86.34450437500004,21.72734802083333,-9.436097222222225,-9.728187499999997,1.5371402708333333,0.4543347941062501,-7.682229166666667,177.82062100000005,0.6024011179353841,0.6515926394230589,290.7930571458333,-10.897875,23.322916666666657,276.4531229166667,3.887126,12.266403,0,9,10,0.0,0,1.6601401541917984,195.4733508246314,138.26450490000002,95.78060159722223,33.82939035576354,1.443554358547794,107.85038846393995,1.3389372033532303,0.7800294699058368,74.02099810817644,1.2820028455087953,3.30410097147486,2.5772961292948957,3.7,2.5,0.0,1.0309184517179582,0.8400681209547527,2.1001703023868816,False,
2013-10-26,349.5045,1.2073176885534609,67.05466910416668,29.49044468750001,72.1119386625,9.0780654375,71.53897791666667,22.26041037500001,-9.260388888888887,-8.805000000000003,1.5533668125,0.4562000416333333,-7.356291666666667,177.65282027083333,2.5944851627532963,0.7511176469201275,218.86733762500003,-11.619875,23.022916666666674,265.65107083333334,2.048322,15.698796,0,3,2,0.0,0,1.7267798071975122,193.69664293978764,101.60238335,80.79936680555555,21.83652891733134,1.2574650936870229,75.23261875506631,1.3440023989261825,0.7404611611905293,53.396089837734976,1.3505097261174086,2.512725925801428,1.860575956772473,4.2000003,2.8,0.0,0.6644914131330262,0.8646044007331627,2.4208923220528558,False,
2013-10-27,362.73579791666674,1.4482050112745375,64.80004268749998,23.0847135625,69.11819801041669,11.85951120833333,71.31452000000002,19.955366729166673,-6.264687499999997,-5.640041666666665,1.1350266041666666,0.572478580225,-4.897666666666666,164.09357395833337,4.746026228333388,0.8757264310495375,186.87178929166672,-8.256354166666664,22.75833333333334,289.91212083333335,5.498268,18.609692000000006,0,5,3,0.0,0,1.7416086128464072,191.93865832819236,92.20291157291668,77.57920750000002,17.093333810239507,1.1885003023898726,68.27267496842957,1.3522618580348646,0.7404611611905293,51.17934115819008,1.3505097261174086,2.4148051140075686,1.7880693987668728,4.3,2.9,0.0,0.6165756547471976,0.8296936616146123,2.406111618682376,False,
2013-10-28,374.30840208333336,1.66999207671049,78.50060468750002,,,14.199102208333333,44.29389089583332,11.454726979166667,-4.585729166666668,-3.849958333333335,0.8864235416666665,0.41652075615208345,-3.654500000000001,95.13434699999999,10.028192417282275,1.2534713205584056,155.96139670833338,-6.252729166666665,22.52083333333334,334.92267708333327,8.689282,20.252053,0,20,21,0.0,0,1.328268796087615,190.20010589801998,,48.87962006249999,,,,1.3586160533478453,0.7404611611905293,46.78152475739357,1.3505097261174086,,1.6380803179440782,2.9,2.2,0.0,,0.7445819627018536,1.6380803179440782,True,1.6380803179440782
2013-10-29,384.33020833333336,1.8671929700810328,74.84655024999998,,74.77778259374998,16.04822010416666,75.9449158541667,17.142851624999995,-2.6074236111111118,-1.9625625,1.1068925208333336,0.5126028065062499,-1.9485833333333344,150.97475825,11.219182738607543,1.354590163574783,151.44684660416672,-3.911125,22.28125,326.44321875,11.047763,21.874345,0,8,5,0.0,0,1.7925844645437787,188.48168503936856,,78.55233946527783,,,,1.361235871087937,0.7151448253190404,53.476944270752504,1.3983181652106342,2.6230253689538383,1.8758430192879043,2.6000001,1.9,0.0,0.9872857996252128,0.6655545962681654,1.2645537329095142,False,
2013-10-30,391.8173458333334,2.0068885091387947,79.12955560416665,,,17.071742,70.63826624999999,14.086159187499995,-1.8695347222222225,-1.2606875000000002,1.1225516875,0.4715565849250001,-1.3567500000000006,122.45945895833329,13.070935780418147,1.5353319242137946,171.5586095416666,-2.9911666666666665,22.02083333333333,354.08231041666664,10.749879,22.99662,0,11,9,0.0,0,1.6017587271062215,186.78408517369166,,72.5078009722222,,,,1.3680539158893743,0.7151448253190404,58.49348037553733,1.3983181652106342,,2.053826071335315,3.8,2.7,0.0,,0.7606763227167832,2.053826071335315,True,2.053826071335315
2013-10-31,404.8567416666667,2.3818255094902665,84.28765347916666,,49.93028689583332,19.911721250000006,46.73849233333331,12.186106395833335,0.21375694444444493,1.0099583333333335,1.8136717708333332,0.3824655177895834,0.2658958333333333,99.50396325000004,16.981212008752784,1.999359991700684,131.88149643750003,-0.6345833333333339,21.8125,364.2773895833332,13.961474,24.418845,0,4,6,0.0,0,1.4872667680550211,185.1079853232003,,46.52473538888886,,,,1.3626263492595845,0.7952507031967723,39.70709576472803,1.2574650936870229,1.7579450423918437,1.398007031143393,4.9,3.3,0.0,0.4236384942858767,0.8332135956621541,2.7496048656851078,False,
2013-11-01,426.44628125,2.9743831059883488,82.749556875,-31.319125447916655,107.03108200416668,23.85458114583333,34.719171020833336,7.739897416666667,3.800319444444445,4.716104166666667,2.7176715833333325,0.4802190509270834,3.0528333333333326,68.0628453125,20.630808827308247,2.4941640550612663,151.58261618750004,3.632020833333333,21.71666666666667,400.84250625,21.646586,27.019444,0,3,5,9.906,0,1.7120139582182579,183.45405370084987,75.71195655625003,30.9188515763889,-24.21439760090147,2.4487312010665776,58.53673731228562,1.3566566183145676,0.7731505032338699,82.75113491318706,1.2934092338002534,3.7826987600667934,2.924595449927777,7.1,4.6,11.900001,0.6357816195495167,0.8297170535937605,3.8166984465312983,False,
