date,theta_14,theta_10,WS_1_3_1,theta_6,theta_30,theta_9,theta_11,theta_39,theta_15,g_3,WD_1_1_1,es,theta_4,sw_out,WD_1_3_1,theta_16,theta_17,theta_7,theta_8,lw_in,theta_32,theta_20,sw_in,theta_22,g_2,theta_5,theta_27,theta_13,lw_out,wd,ws,theta_12,theta_21,SW_IN_1_1_1,theta_28,t_avg,theta_mean,t_dew,theta_19,theta_2,rh,WS_1_2_1,WD_1_4_1,theta_3,theta_34,theta_36,theta_38,theta_24,WS_1_1_1,WS_1_4_1,theta_25,Rn,theta_23,theta_40,H,vp,theta_1,theta_26,SW_IN_1_1_2,LE,g_1,vpd,theta_29,theta_18,theta_37,theta_33,theta_31,theta_35,G,WD_1_2_1,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2018-05-15,,,2.524375,,,,,,,,,2.2857196391714094,,64.25750000000001,,,,,,313.6791666666667,,,339.46479166666666,,,,,,413.9229166666667,188.17294920951235,2.705031395915997,,,340.8941666666667,,18.673251627899575,,6.033005900169811,,,43.34666666666666,3.444166666666668,,,,,,,,0.9572916666666664,,176.39291666666668,,,62.68467769524227,0.9775002641714088,,,338.03541666666666,,,1.308219375,,,,,,,9.584694444444443,185.12125,9.327640601608607,26.104784181455496,0.0,10.0,0.0,0.0,48.0,5.70656970421324,343.5733375813702,,166.8082222222223,1.4168171121492354,0.7058073984461225,,,0.7058073984461225,,88.81272402817875,,,8.6,6.3,0.0,,,,False,
2018-05-16,,,,,,,,,,,,2.8944086526459487,,63.92895833333333,,,,,,332.6187500000001,,,346.4296875,,,,,,438.0125,187.49056806288115,2.200710955827566,,,,,22.83607794689904,,,,,41.70916666666667,2.730625,,,,,,,,,,,,,56.26110212032058,1.1550667528415501,,,345.47291666666666,,,,,,,,,,,186.34354166666665,15.0376437933261,28.9345698541463,5.0,17.0,0.0,0.0,48.0,6.16222336583712,344.94646032119033,,,1.4168171121492354,0.7058073984461225,,,0.7058073984461225,,79.71169223244583,,,8.900001,6.6,0.0,,,,False,
2018-05-17,,,3.4218749999999982,,,,,,,,,1.8808586590419556,,4.511041666666666,,,,,,364.3791666666668,,,17.422187500000003,,,,,,389.0583333333332,,3.3337719161776604,,,17.15479166666667,,16.47459334883151,,11.829865315411633,,,74.34458333333333,4.409374999999998,,,,,,,,1.5945833333333328,,-12.035416666666665,,,-27.848411618364572,1.4268617840419555,,,17.68958333333334,,,0.453996875,,,,,,,,,13.575010151503804,19.391763645429894,0.0,10.0,0.0,2.49,48.0,1.1853782276575624,346.2841334795912,,,1.4168171121492354,0.7058073984461225,,,0.7058073984461225,,-39.456106127074506,,,2.3,2.2,11.1,,,,False,
2018-05-18,,,3.4379166666666663,,,,,,,,,1.2202352908237162,,11.148541666666665,,,,,,354.1708333333333,,,66.25833333333333,,,,,,363.3,,3.150269824189305,,,69.03125000000001,,9.802994026933986,,8.138507036836709,,,90.25895833333334,3.3725000000000014,,,,,,,,2.1358333333333333,,48.75354166666666,,,7.800861024446887,1.1089417491570497,,,63.48541666666666,,,0.11129354166666666,,,,,,,1.0044722222222224,,8.15055453288045,16.225387700311998,0.0,12.0,0.0,4.4830000000000005,48.0,1.5689089717093434,347.5860764401982,,47.74906944444444,1.4168171121492354,0.7058073984461225,,,0.7058073984461225,,11.052393388934364,,,0.5,0.6,0.8,,,,False,
2018-05-19,,,3.2289583333333334,,,,,,,,,1.4277907673815458,,65.30208333333333,,,,,,280.92291666666665,,,357.5285416666666,,,,,,380.3104166666666,,3.0791618579867355,,,,,11.802099770542808,,,,,52.69770833333333,3.8252083333333338,,,,,,,,1.5587499999999992,,,,,48.524367505532894,,,,355.325,,,,,,,,,,,,4.797111406977759,16.8159686772536,1.0,11.0,0.0,0.0,48.0,,348.85201759090415,,,1.4168171121492354,0.7058073984461225,,,0.7058073984461225,,68.75015423805732,,,6.3,4.6,0.0,,,,False,
2018-05-20,,,1.9897916666666668,,,,,,,,,1.6412454895026956,,65.57187500000005,,,,,,277.6916666666666,,,361.04291666666654,,,,,,387.6729166666667,182.10376317032242,2.0775215223192247,,,,,13.970629221958964,,2.0854499680272918,,,46.15791666666666,2.5904166666666666,,,,,,,,0.7995833333333332,,,,,78.83739723748438,0.7202629895026954,,,360.03750000000014,,,0.9209825,,,,,,,5.837798611111111,,7.1953647910827385,19.314354713352397,7.0,10.0,0.0,0.0,48.0,4.913131503637515,350.08169419179063,,,1.4168171121492354,0.7058073984461225,,,0.7058073984461225,,111.69817348337472,,,6.2000003,4.8,0.0,,,,False,
2018-05-21,,,2.058958333333333,,,,,,,,132.67234247102007,1.9452712356777464,,63.63479166666668,,,,,,306.79166666666663,,,349.4772916666668,,,,,,402.79375,129.09150265210786,2.2205223566259216,,,,,16.393906927128654,,6.307433264502535,,,51.475624999999994,2.6966666666666668,,,,,,,3.3141727598370245,0.8122916666666669,,,,,76.75429008523156,0.9898729023444124,,,345.45416666666665,,,0.9553983333333336,,,,,,,,,7.33403538269999,22.460066074527006,3.0,12.0,0.0,0.0,48.0,4.946724384809667,351.2748522550721,,,1.4168171121492354,0.7058073984461225,,,0.7058073984461225,,108.7467916236225,,,7.1,5.4,0.0,,,,False,
2018-05-22,,,2.3306250000000004,,,,,,,,,2.491123665978669,,55.049375,,,,,,348.3979166666666,,,303.58458333333334,,,,,,425.175,,2.4158940990043374,,,,,20.27438381063389,,13.30166573831537,,,65.90166666666669,3.0149999999999992,,,,,,,,,,,,,45.053068368865006,1.5660374159786692,,,301.73125,,,0.9250862500000004,,,,,,,,,11.8031344016506,27.756601560029306,3.0,11.0,0.0,0.498,48.0,5.096120245664297,352.4312464374392,,,1.4168171121492354,0.7058073984461225,,,0.7058073984461225,,63.83195821983738,,,7.1,5.6,7.5,,,,False,
2018-05-23,,,3.01625,,,,,,,,,2.764603640373219,,35.75041666666667,126.65249999999996,,,,,377.03333333333336,,,204.71645833333332,,,,,,428.82291666666663,123.67804492163002,3.0774382486549623,,,,,22.362520512056093,,17.461422648948172,,,73.66041666666669,3.9266666666666663,115.60166666666665,,,,,,,1.1037500000000002,,,,,13.532401631441758,2.0540700987065534,,,202.31041666666678,,,0.7105335416666668,,,,,,,13.253557870370365,125.93125,17.248614649409,28.465997456419807,1.0,11.0,0.0,0.0,48.0,4.173142567534361,353.5506399450452,,,1.4168171121492354,0.7058073984461225,,,0.7058073984461225,,19.172938199902912,,,7.1,5.5,0.0,,,,False,
2018-05-24,,,2.9287499999999986,,,,,,,,,2.9443828373481824,,59.44375,223.13666666666668,,,,,357.9520833333333,,,336.10552083333334,,,,,,440.27708333333334,224.10947737013058,2.920483181491996,,,,,23.479538591066397,,14.231974012460833,,,56.266875,3.9658333333333338,228.92708333333331,,,,,,,0.9179166666666668,,,,,47.08721122079518,1.658799504014849,,,331.2729166666666,,,1.2855833333333335,,,,,,,,219.89895833333333,17.5827563821638,28.2455536732948,2.0,11.0,0.0,0.498,48.0,6.075799981946518,354.6328044512815,,,1.4168171121492354,0.7058073984461225,,,0.7058073984461225,,66.71396662100811,,,8.1,6.2000003,0.0,,,,False,
